"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_B1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.94942808151242,14.3084127902985,-144.295370230396,8.41558348432455e-15,6.82840443918094e-11,21.6122489238925,"MX1_HUMAN",43,-177.483902546644,1.80390998458002e-16,1.46369256148823e-12,-0.0799393653869487,"Non-significant",11.8345501342548,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.49072384834288,13.521364569664,-119.37069272553,3.76258194646606e-14,1.10902540361142e-10,21.0328612144107,"IFIT2_HUMAN",29,-133.902546691526,1.97706092896169e-15,6.03789549345653e-12,-0.00653934478762608,"Non-significant",11.2191144082072,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-5.10543584823612,13.5254485607147,-114.814151233517,5.11633744453415e-14,1.10902540361142e-10,20.8957018529751,"IFIT3_HUMAN",30,-130.290515458215,2.49414596457532e-15,6.03789549345653e-12,-0.101923704147325,"Non-significant",11.2191144082072,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-5.43090677261355,13.2665162086487,-112.328195268554,6.08174638874735e-14,1.10902540361142e-10,20.8157136770848,"IFIT1_HUMAN",34,-127.60704654451,2.97653216339982e-15,6.03789549345653e-12,-0.225981473922751,"Non-significant",11.2191144082072,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-4.96732521057128,14.9644265174866,-110.681399279689,6.83402393154681e-14,1.10902540361142e-10,20.7605784169856,"ISG15_HUMAN",15,-107.109588403389,1.31746427853693e-14,2.13798103120973e-11,-0.298700571060174,"Non-significant",10.6699961522973,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-2.9654982089996,13.3383990526199,-72.3161159404771,1.96666771295997e-12,2.6595903038262e-09,18.7604950137488,"RIGI_HUMAN",56,-92.7734800014099,4.46442505972767e-14,6.03739082243839e-11,-0.136628389358526,"Non-significant",10.2191507097628,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-2.8073983192444,10.6917634010315,-61.6099521073418,6.96027555947466e-12,7.05945948619718e-09,17.8094171800394,"GBP4_HUMAN",27,-68.4170669777993,5.9236453404278e-13,6.4302272083786e-10,-0.138647794723504,"Non-significant",9.19177368125902,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-2.28145360946655,11.4628481864929,-52.6692838932539,2.39575642749712e-11,1.38851197519369e-08,16.7874589371987,"DDX60_HUMAN",75,-67.8717472752502,6.3398838633262e-13,6.4302272083786e-10,-0.124778628349305,"Non-significant",9.19177368125902,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-3.08762216567995,14.9369294643402,-58.5844325536969,1.03530368326833e-11,8.94687520579244e-09,17.4904624451933,"STAT1_HUMAN",41,-66.6978278072335,7.35155933718944e-13,6.62783916243946e-10,-0.13539147377015,"Non-significant",9.1786280391351,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-3.29033327102662,10.6663501262665,-53.5531563405057,2.10126808986895e-11,1.31151456009205e-08,16.8998426506665,"IFIH1_HUMAN",45,-59.7134610566057,1.87899811789976e-12,1.49482688229001e-09,-0.59428095817566,"Up in BD",8.8254091005968,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-4.25153517723082,11.4595009088516,-62.5896493548252,6.14599425398606e-12,7.05945948619718e-09,17.907449667501,"ISG20_HUMAN",11,-59.1837396049506,2.02650920694973e-12,1.49482688229001e-09,-0.185967445373551,"Non-significant",8.8254091005968,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-5.25136625766754,9.16537350416183,-53.8550615944483,2.01020010930123e-11,1.31151456009205e-08,16.9376048617118,"OASL_HUMAN",28,-56.7215730169156,2.90569605191733e-12,1.92489868331342e-09,-0.0565092563629257,"Non-significant",8.71559212456373,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
-2.72005891799924,11.3785173892975,-50.188184439781,3.50403497578874e-11,1.89544931956999e-08,16.4567313216443,"SLFN5_HUMAN",37,-56.3245692357754,3.08401317267371e-12,1.92489868331342e-09,0.0836007595062256,"Non-significant",8.71559212456373,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-2.96178007125855,13.2506234645844,-58.1180442191996,1.1026466854563e-11,8.94687520579244e-09,17.4390038520193,"UB2L6_HUMAN",12,-53.3092668290852,4.91706711983716e-12,2.84979161502562e-09,-0.182148694992026,"Non-significant",8.54518689569438,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-1.31905603408807,11.919775724411,-34.694302654968,6.3996357030168e-10,2.36030200428538e-07,13.7249929990784,"UBA7_HUMAN",43,-44.2875564262466,2.3653770373213e-11,1.27054790451722e-08,0.117256164550779,"Non-significant",7.8960089557413,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
-1.96186137199405,12.1734930276871,-40.9544526173942,1.73699150020404e-10,8.29055825450327e-08,14.9914977601476,"5NT3A_HUMAN",23,-43.9877564448212,2.50539394531373e-11,1.27054790451722e-08,-0.454094171524074,"Non-significant",7.8960089557413,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-1.69203925132753,12.327192902565,-38.9944716000399,2.55461507033424e-10,1.09095508845747e-07,14.6229126753437,"NUB1_HUMAN",27,-43.6320710350828,2.68365890793939e-11,1.2808946105306e-08,-0.175204277038572,"Non-significant",7.89248660167443,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
-2.24830698966982,12.2784892320633,-40.0469194083092,2.0718454301814e-10,9.33941878916217e-08,14.8237297143468,"TAP2_HUMAN",22,-42.3673738363937,3.44238126982152e-11,1.55174897907399e-08,0.572601318359375,"Up in B1",7.80917853167331,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-1.41481018066407,12.2286775112152,-35.9006908502908,4.8925452044972e-10,1.98490558946452e-07,13.9903410990558,"RO52_HUMAN",27,-40.8874814203505,4.65081477658965e-11,1.98614268932887e-08,0.116506338119505,"Non-significant",7.70198955394633,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
-2.70839595794678,11.4465582370758,-46.3046091614922,6.6080850652311e-11,3.35112513870532e-08,15.8894345596096,"PLS1_HUMAN",7,-36.6159919391426,1.18238918439155e-10,4.79695292107652e-08,0.0871744155883789,"Non-significant",7.31903454382658,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
-2.49633717536926,9.70653069019317,-35.4330719460236,5.42341173057324e-10,2.09550298961292e-07,13.8888084631587,"TREX1_HUMAN",15,-35.6904220264453,1.46798043197193e-10,5.67199677381914e-08,0.363862037658675,"Non-significant",7.24626402484772,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
