"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.18149948120118,13.9244484901428,126.770112644238,2.45637136166025e-14,1.99309972285113e-10,19.481755408073,"MX1_HUMAN",43,157.65990927933,7.03821104815322e-16,5.71080444447152e-12,0.0562105178833008,"Non-significant",11.2433027111609,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
4.36070013046267,12.7314128875732,90.7017813620155,3.43772597462956e-13,1.08693085034936e-09,18.6123306232345,"IFIT1_HUMAN",34,103.522492176694,2.40599465923539e-14,8.17199130295611e-11,0.084119796752951,"Non-significant",10.0876721042374,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
3.81981801986695,12.6859116554261,87.4996374076212,4.56315572301558e-13,1.08693085034936e-09,18.4934201271487,"IFIT2_HUMAN",29,99.6629330262131,3.30979865181105e-14,8.17199130295611e-11,0.0229685306549001,"Non-significant",10.0876721042374,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
3.89626359939575,12.9208624362946,85.7338109391925,5.35829849814817e-13,1.08693085034936e-09,18.4235792566658,"IFIT3_HUMAN",30,97.3564754768177,4.0285882686498e-14,8.17199130295611e-11,0.0795631408691744,"Non-significant",10.0876721042374,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
2.38586807250977,13.048583984375,62.1117917689678,6.78364210675099e-12,9.17374534236292e-09,17.0802892801763,"RIGI_HUMAN",56,83.5478522649848,1.45424902217366e-13,2.35995531318342e-10,-0.0169570446014511,"Non-significant",9.62709622051362,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
4.01001691818238,14.4857723712921,71.1806645323324,2.31968920558305e-12,3.76439164282017e-09,17.7038761057445,"ISG15_HUMAN",15,70.8614660898311,5.78998200484101e-13,7.61444108157296e-10,0.00411701202395065,"Non-significant",9.1183619694254,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
2.32076382637025,11.4825032949448,53.8495932889612,2.08602272559231e-11,2.41799834220801e-08,16.3406275955045,"DDX60_HUMAN",75,69.8029001996086,6.56902730724806e-13,7.61444108157296e-10,0.0801727771759033,"Non-significant",9.1183619694254,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
2.52172946929935,14.6539831161499,47.9399426447656,5.20442720252648e-11,5.27859029016248e-08,15.675815718466,"STAT1_HUMAN",41,54.6847076179177,5.08369972407085e-12,5.15614244513886e-09,0.294198274612427,"Non-significant",8.28767509320319,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
4.53061378002169,8.80499726533891,44.5139673732725,9.32147369665005e-11,8.40382639717983e-08,15.2243408750668,"OASL_HUMAN",28,46.6702493875115,1.91688006884051e-11,1.72817387539687e-08,-0.0472807884215989,"Non-significant",7.76241256433021,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
2.5095648765564,10.2759659290314,40.8890703259346,1.81668015306187e-10,1.34004934199491e-07,14.6827129804666,"IFIH1_HUMAN",45,45.5708774220472,2.34017649915614e-11,1.89881921141529e-08,0.471722006797792,"Non-significant",7.72151638293143,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
3.03943061828612,10.8534486293793,42.8410727401265,1.25949753186972e-10,1.02195629735909e-07,14.9832032434985,"ISG20_HUMAN",11,40.9633861705245,5.70847469187351e-11,4.21077851362379e-08,0.189389705657952,"Non-significant",7.37563760180955,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
