"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-4.62406873703005,11.823096036911,-143.048895973964,4.10489786575922e-14,3.11582754429971e-10,21.1901196609458,"OAS2_HUMAN",31,-163.161850835179,1.55238067930117e-15,1.15439358981132e-11,0.0547876358032227,"Non-significant",10.9376460934853,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-4.39529514312744,12.7141153812409,-131.535178381947,7.68012705028275e-14,3.11582754429971e-10,20.8998621235118,"IFIT1_HUMAN",34,-151.398397843562,2.84543650434144e-15,1.15439358981132e-11,0.0590600967407227,"Non-significant",10.9376460934853,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-5.82810950279238,13.6011434793472,-119.21582776541,1.60024623911193e-13,4.32813266138474e-10,20.5225841706622,"MX1_HUMAN",43,-131.561497670722,8.87169029185881e-15,2.39949650093808e-11,0.0619735717773242,"Non-significant",10.6198798790403,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-3.9904990196228,12.873744726181,-109.446269248288,3.02944668705644e-13,6.145232604694e-10,20.1614717614009,"IFIT3_HUMAN",30,-121.666214851944,1.67088772824083e-14,3.04541224950708e-11,0.0631546974181756,"Non-significant",10.5163539097412,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
1.89016270637513,14.8823586702347,82.0350083775232,2.60433998520289e-12,2.68975328018264e-09,18.7204804172729,"FIBA_HUMAN",43,119.933493740902,1.87664052841205e-14,3.04541224950708e-11,-0.0930190086364249,"Non-significant",10.5163539097412,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-2.51885437965395,12.9820908308029,-87.8146048590169,1.56705566002781e-12,2.38560668797406e-09,19.0909392474826,"RIGI_HUMAN",56,-115.958634509976,2.46536812990007e-14,3.33399950100152e-11,0.0806965827941735,"Non-significant",10.4770344695087,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
1.78937697410585,14.9716485738754,65.8082348787221,1.3479118713508e-11,7.50637422008112e-09,17.4052547422207,"FINC_HUMAN",120,100.194901825705,8.04569341653273e-14,9.32610805453523e-11,0.022547245025649,"Non-significant",10.0302995570119,"FN1","Fibronectin","FINC_HUMAN"
-2.67927789688111,14.575208902359,-81.415594364522,2.75585181227504e-12,2.68975328018264e-09,18.678139392603,"STAT1_HUMAN",41,-96.7271835201827,1.0699823030455e-13,1.0852295508639e-10,-0.0499359369277945,"Non-significant",9.96447838888538,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-3.45578932762147,14.2492572069168,-80.5541939252736,2.98345816140544e-12,2.68975328018264e-09,18.6183536228095,"OAS3_HUMAN",45,-90.8506758269946,1.77696392323506e-13,1.60203169701436e-10,0.0181701183318754,"Non-significant",9.79532889542891,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-4.17713594436647,14.4022128582001,-86.431912834249,1.76406706037027e-12,2.38560668797406e-09,19.0061874106903,"ISG15_HUMAN",15,-85.2465999255599,2.9746886000236e-13,2.41366233005915e-10,-0.64205801486969,"Up in D",9.61732348753177,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
