"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL_vs_HBVHDV","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
6.47727799415587,14.0444878339767,213.218946798474,1.98393068231747e-15,1.61234046551941e-11,23.5593395269372,"MX1_HUMAN",43,262.128482338795,3.33840675182384e-17,2.71312316720724e-13,0.0599923133849991,"Non-significant",12.5665304901955,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
5.013423204422,13.4752579927444,190.850035879243,4.54516092399971e-15,1.84692614146728e-11,23.23363660068,"IFIT1_HUMAN",34,238.150628528942,7.26048844738489e-17,2.95029948059485e-13,-0.138042926788323,"Non-significant",12.5301338971851,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
4.80443525314335,13.6759488582611,155.677819895857,2.08545348219349e-14,5.64949348326217e-11,22.5067475018195,"IFIT3_HUMAN",30,179.303924823624,7.23127062629459e-16,1.95895121266321e-12,0.14381551742555,"Non-significant",11.7079763798986,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
5.24923825263978,13.6421073675156,138.897984445797,4.89350911526684e-14,9.94238714494341e-11,22.0239350880094,"IFIT2_HUMAN",29,153.631801363386,2.52726233725157e-15,5.13476525371089e-12,0.0834450721740758,"Non-significant",11.2894794062728,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
3.24024510383603,14.8606179952622,114.707944842463,2.04662661293296e-13,2.86448691758532e-10,21.0914771021147,"STAT1_HUMAN",41,144.348254222307,4.18641041265799e-15,6.80459148473429e-12,0.471067428588874,"Non-significant",11.1671979426504,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
3.52107787132262,11.9434515237808,114.206403049978,2.11479285166875e-13,2.86448691758532e-10,21.0683732216879,"OAS1_HUMAN",20,118.765351118025,2.03139489880273e-14,2.7515243904283e-11,0.219108343124375,"Non-significant",10.5604266331049,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
3.87898683547973,10.5206701755524,106.055492659187,3.67874961434026e-13,4.27102830224905e-10,20.6665745716614,"CMPK2_HUMAN",26,115.895806804766,2.47620864435743e-14,2.87487823609897e-11,0.196940898895249,"Non-significant",10.5413805448909,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
3.02095413208005,13.3106710910797,91.8620349220423,1.07687434801789e-12,9.72417536260156e-10,19.828343290091,"RIGI_HUMAN",56,112.859402451189,3.06992639410045e-14,3.11866147560679e-11,0.00472450256347567,"Non-significant",10.5060317644718,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
4.30910134315493,11.7472494840622,89.7254046003625,1.28399262240984e-12,1.04350080423248e-09,19.6840978273302,"TSP1_HUMAN",50,99.8120502746068,8.29891092963739e-14,7.49391656946257e-11,0.18456411361695,"Non-significant",10.1252911462601,"THBS1","Thrombospondin-1","TSP1_HUMAN"
4.91666984558103,14.9897541999817,98.2084813204691,6.53556677575639e-13,6.63931889832152e-10,20.2273803891711,"ISG15_HUMAN",15,97.8546036334339,9.74188434622415e-14,7.91722940817637e-11,0.682161569595338,"Up in HBVHDV",10.1014267708413,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
