"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-6.1068522930145,14.2297006845474,-228.635093794121,1.28330055492277e-15,7.47995550446819e-12,23.8200545608991,"MX1_HUMAN",43,-287.364714770172,1.58571405681107e-17,1.02295629162629e-13,-0.101847648620573,"Non-significant",12.9901429222126,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.296710729599,13.333614230156,-217.792664357986,1.84371592419724e-15,7.47995550446819e-12,23.6904728656431,"IFIT1_HUMAN",34,-271.371076326963,2.52145992513258e-17,1.02295629162629e-13,0.0574822425842001,"Non-significant",12.9901429222126,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-5.3767020702362,13.5783754587173,-170.845034410342,1.12734682120137e-14,3.04909736907597e-11,22.9064188903938,"IFIT2_HUMAN",29,-191.703461696365,4.20764695993691e-16,1.13802824776427e-12,-0.11158418655395,"Non-significant",11.9438469578918,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-4.91248083114625,13.6219260692597,-143.110477565716,4.22419832684617e-14,6.85502904480597e-11,22.1814066188926,"IFIT3_HUMAN",30,-159.331789657794,1.88163726564064e-15,3.81690119335205e-12,-0.0796077251434522,"Non-significant",11.418289082319,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-3.1651623249054,14.8981593847275,-118.475824315459,1.72770088193946e-13,2.33642749267613e-10,21.2635438475033,"STAT1_HUMAN",41,-147.685611979102,3.47907223192925e-15,5.64583841797478e-12,-0.4917652606964,"Non-significant",11.2482715553754,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-2.90006136894223,13.3711174726486,-96.797310708502,7.79388367717092e-13,7.0266191285072e-10,20.1257340002319,"RIGI_HUMAN",56,-119.657179494874,1.91201338269182e-14,2.22680758378282e-11,-0.129661560058601,"Non-significant",10.6523173082967,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-4.48243594169615,11.344050526619,-145.083977172028,3.81409054916428e-14,6.85502904480597e-11,22.2421819896558,"ISG20_HUMAN",11,-118.064186597999,2.13114648048001e-14,2.22680758378282e-11,-0.139805316925028,"Non-significant",10.6523173082967,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-5.05300331115723,12.2827353477478,-108.75364874941,3.27116443362674e-13,3.31777852680592e-10,20.800195618603,"OAS2_HUMAN",31,-117.630986503391,2.19552140377897e-14,2.22680758378282e-11,0.124698162078857,"Non-significant",10.6523173082967,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-3.57818698883058,11.9148969650269,-110.773323356895,2.85184687266796e-13,3.30569793211826e-10,20.9021622210625,"OAS1_HUMAN",20,-114.64804473058,2.70299352636729e-14,2.43689883032713e-11,-0.135230779647824,"Non-significant",10.6131625005004,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-2.31004905700683,12.1325130462646,-87.7804086738953,1.61534635349765e-12,1.19153821020727e-09,19.5229764819172,"SAMH1_HUMAN",38,-108.574745918571,4.1995155798539e-14,3.32135576264663e-11,-0.654236078262333,"Up in BD",10.4786846030288,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
