"","Genes","ProtDesc","ENTREZID"
"1","LUM","Lumican","4060"
"2","C","Capsid protein",NA
"3","S","Large envelope protein",NA
"4","SERPINF1","Pigment epithelium-derived factor","5176"
"5","FGA","Fibrinogen alpha chain","2243"
"6","TKFC","Triokise/FMN cyclase","26007"
"7","GATM","Glycine amidinotransferase, mitochondrial","2628"
"8","THBS1","Thrombospondin-1","7057"
"9","ACACB","Acetyl-CoA carboxylase 2","32"
"10","APOE","Apolipoprotein E","348"
"11","APOA5","Apolipoprotein A-V","116519"
"12","ARG1","Argise-1","383"
"13","CYP2C8","Cytochrome P450 2C8","1558"
"14","PHYH","Phytanoyl-CoA dioxygese, peroxisomal","5264"
"15","CPQ","Carboxypeptidase Q","10404"
"16","BHMT","Betaine--homocysteine S-methyltransferase 1","635"
"17","FGB","Fibrinogen beta chain","2244"
"18","SULT2A1","Sulfotransferase 2A1","6822"
"19","DAO","D-amino-acid oxidase","1610"
"20","PAH","Phenylalanine-4-hydroxylase","5053"
"21","ADSS1","Adenylosuccite synthetase isozyme 1","122622"
"22","CABIN1","Calcineurin-binding protein cabin-1","23523"
"23","FN1","Fibronectin","2335"
"24","FGL1","Fibrinogen-like protein 1","2267"
"25","FGG","Fibrinogen gamma chain","2266"
"26","GPC3","Glypican-3","2719"
"27","SCPEP1","Retinoid-inducible serine carboxypeptidase","59342"
"28","HMGCS2","Hydroxymethylglutaryl-CoA synthase, mitochondrial","3158"
"29","NDRG2","Protein NDRG2","57447"
"30","UPB1","Beta-ureidopropiose","51733"
"31","COL6A1","Collagen alpha-1(VI) chain","1291"
"32","FMO5","Flavin-containing monooxygese 5","2330"
"33","APOA1","Apolipoprotein A-I","335"
"34","CTSZ","Cathepsin Z","1522"
"35","LGALS3BP","Galectin-3-binding protein","3959"
"36","LGMN","Legumain","5641"
"37","FMO3","Dimethylaniline monooxygese [N-oxide-forming] 3","2328"
"38","IDI1","Isopentenyl-diphosphate Delta-isomerase 1","3422"
"39","MATN3","Matrilin-3","4148"
"40","CTSA","Lysosomal protective protein","5476"
"41","GA","Alpha-N-acetylgalactosaminidase",NA
"42","NEU1","Sialidase-1","4758"
"43","TUBB1","Tubulin beta-1 chain","81027"
"44","CYP4F2","Cytochrome P450 4F2","8529"
"45","APOB","Apolipoprotein B-100","338"
"46","FASN","Fatty acid synthase","2194"
"47","ACMSD","2-amino-3-carboxymucote-6-semialdehyde decarboxylase","130013"
"48","CTSL","Procathepsin L","1514"
"49","C5","Complement C5","727"
"50","C7","Complement component C7","730"
"51","TF","Serotransferrin","7018"
"52","ACSS2","Acetyl-coenzyme A synthetase, cytoplasmic","55902"
"53","ISG20","Interferon-stimulated gene 20 kDa protein","3669"
"54","GALNS","N-acetylgalactosamine-6-sulfatase","2588"
"55","PCK1","Phosphoenolpyruvate carboxykise, cytosolic [GTP]","5105"
"56","SPP2","Secreted phosphoprotein 24","6694"
"57","HPGD","15-hydroxyprostaglandin dehydrogese [D(+)]","3248"
"58","APOC1","Apolipoprotein C-I","341"
"59","RBP5","Retinol-binding protein 5","83758"
"60","APOC2","Apolipoprotein C-II","344"
"61","AMY1A;AMY1B;AMY1C;AMY2A;AMY2B","Pancreatic alpha-amylase",NA
"62","GNMT","Glycine N-methyltransferase","27232"
"63","CPVL","Probable serine carboxypeptidase CPVL","54504"
"64","SERPI7","Thyroxine-binding globulin",NA
"65","LPA","Apolipoprotein(a)","4018"
"66","FERMT3","Fermitin family homolog 3","83706"
"67","PALMD","Palmdelphin","54873"
"68","ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","3698"
"69","FMO4","Dimethylaniline monooxygese [N-oxide-forming] 4","2329"
"70","MASP1","Mann-binding lectin serine protease 1","5648"
"71","SLCO2B1","Solute carrier organic anion transporter family member 2B1","11309"
"72","IFI30","Gamma-interferon-inducible lysosomal thiol reductase","10437"
"73","TTC36","Tetratricopeptide repeat protein 36","143941"
"74","POLD1","D polymerase delta catalytic subunit","5424"
"75","GBA3","Cytosolic beta-glucosidase","57733"
"76","IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","3434"
"77","MARF1","Meiosis regulator and mR stability factor 1 (Fragment)","9665"
"78","HBG1;HBG2","Hemoglobin subunit gamma-1",NA
"79","APOA2","Apolipoprotein A-II","336"
"80","BCAM","Basal cell adhesion molecule","4059"
"81","CUSTOS","Protein CUSTOS",NA
"82","DCUN1D4","DCN1-like protein 4","23142"
"83","FMOD","Fibromodulin","2331"
"84","FAM120B","Constitutive coactivator of peroxisome proliferator-activated receptor gamma","84498"
"85","ABHD4","(Lyso)-N-acylphosphatidylethanolamine lipase","63874"
"86","PZP","Pregncy zone protein","5858"
"87","PARD3","Partitioning defective 3 homolog","56288"
"88","GJB1","Gap junction beta-1 protein","2705"
"89","LIPG","Endothelial lipase","9388"
"90","PGK2","Phosphoglycerate kise 2","5232"
"91","IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","3433"
"92","IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","3437"
"93","GFER","FAD-linked sulfhydryl oxidase ALR","2671"
