"","Genes","ProtDesc","ENTREZID"
"1","SIRPA;SIRPB1","Tyrosine-protein phosphatase non-receptor type substrate 1",NA
"2","SERPINA3","Alpha-1-antichymotrypsin","12"
"3","SQSTM1","Sequestosome-1","8878"
"4","ADAM15","Disintegrin and metalloproteinase domain-containing protein 15","8751"
"5","TNFAIP2","Tumor necrosis factor alpha-induced protein 2","7127"
"6","NT5E","5'-nucleotidase","4907"
"7","P2RX4","P2X purinoceptor 4","5025"
"8","CCN1","CCN family member 1","3491"
"9","IL18","Interleukin-18","3606"
"10","FADS2","Acyl-CoA 6-desaturase","9415"
"11","IREB2","Iron-responsive element-binding protein 2","3658"
"12","CYTH1","Cytohesin-1","9267"
"13","SLC7A5","Large neutral amino acids transporter small subunit 1","8140"
"14","ITM2B","Integral membrane protein 2B","9445"
"15","LYAR","Cell growth-regulating nucleolar protein","55646"
"16","ITPKC","Inositol-trisphosphate 3-kinase C","80271"
"17","DPYSL2","Dihydropyrimidinase-related protein 2","1808"
"18","GFAP","Glial fibrillary acidic protein (Fragment)","2670"
"19","TM7SF3","Transmembrane 7 superfamily member 3","51768"
"20","MYO19","Unconventional myosin-XIX","80179"
"21","LGALS8","Galectin","3964"
"22","STX6","Syntaxin-6","10228"
"23","PNPLA4","Patatin-like phospholipase domain-containing protein 4","8228"
"24","RHOD","Rho-related GTP-binding protein RhoD","29984"
"25","TMEM87B","Transmembrane protein 87B","84910"
"26","AMFR","E3 ubiquitin-protein ligase AMFR","267"
"27","PLOD2","Procollagen-lysine 5-dioxygenase","5352"
"28","HNRNPD","Heterogeneous nuclear ribonucleoprotein D0 (Fragment)","3184"
"29","TMEM165","Transmembrane protein 165","55858"
"30","MTG1","Mitochondrial ribosome-associated GTPase 1","92170"
"31","GTPBP8","GTP-binding protein 8","29083"
"32","NSMCE3","Non-structural maintenance of chromosomes element 3 homolog","56160"
"33","DBN1","Drebrin","1627"
"34","SARAF","Store-operated calcium entry-associated regulatory factor","51669"
"35","SPON1","Spondin-1","10418"
"36","RHOF","Rho-related GTP-binding protein RhoF","54509"
"37","RAB6C;RAB6D","Ras-related protein Rab-6D",NA
"38","SFT2D2","Vesicle transport protein SFT2B","375035"
"39","APMAP","Adipocyte plasma membrane-associated protein (Fragment)","57136"
"40","INS;INS-IGF2","Insulin, isoform 2",NA
"41","ST6GALNAC2","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","10610"
"42","PDZK1IP1","PDZK1-interacting protein 1","10158"
"43","YTHDC1","YTH domain-containing protein 1","91746"
"44","ACTN1","Alpha-actinin-1 (Fragment)","87"
"45","IPO8","Importin-8","10526"
"46","HMGA1","High mobility group protein HMG-I/HMG-Y","3159"
"47","GORASP1","Golgi reassembly-stacking protein 1","64689"
"48","RAB11FIP1","Rab11 family-interacting protein 1","80223"
"49","H1-0","Histone H1.0","3005"
"50","TAMM41","Phosphatidate cytidylyltransferase, mitochondrial","132001"
"51","CEP192","Centrosomal protein of 192 kDa","55125"
"52","PDS5B","Sister chromatid cohesion protein PDS5 homolog B","23047"
"53","TUFT1","Tuftelin","7286"
