"CTRL_2","CTRL_3","CTRL_4","CTRL.myr_1","CTRL.myr_2","CTRL.myr_3","CTRL.myr_4","HBV_1","HBV_2","HBV_3","HBV_4","HBV.myr_1","HBV.myr_2","HBV.myr_3","HBV.myr_4","Peptides","Pval","adjPval","negLog10_sca_adjPval","CTRL.myr_vs_CTRL","Diff_Abund","Protein_Names","Genes","ProtDesc"
15.9126462936401,16.2818050384521,16.1352214813232,16.6148681640625,16.4029235839844,16.129373550415,16.2050228118896,16.2163505554199,16.0280532836914,16.4443969726563,16.4920387268066,16.5223083496094,16.4598789215088,16.2628421783447,16.1300239562988,4,0.197742105690273,0.531343514247847,0.27462461619288,-0.228156089782743,"Non-significant","ZPI_HUMAN","SERPINA10","Protein Z-dependent protease inhibitor"
17.8803615570068,18.0709648132324,17.8588428497314,17.8154582977295,17.893253326416,17.559398651123,17.9408302307129,18.0155563354492,17.5454616546631,17.9434700012207,18.0279541015625,17.8324203491211,18.1022682189941,17.9790573120117,17.7139091491699,1,0.270041856335448,0.592899107318145,0.227019203537808,0.134487946828184,"Non-significant","ZN536_HUMAN","ZNF536","Zinc finger protein 536"
21.0404872894287,21.1025581359863,20.9258728027344,21.7742099761963,21.6790676116943,21.2506313323975,21.3227424621582,21.7949829101563,21.6658382415771,21.7381725311279,21.7448272705078,22.0203037261963,21.9365158081055,21.9578590393066,21.9366226196289,24,0.0267133936459301,0.239136245041932,0.621354594403919,-0.48369010289511,"Non-significant","ZA2G_HUMAN","AZGP1","Zinc-alpha-2-glycoprotein"
17.5155220031738,16.9909229278564,17.7020778656006,15.5481109619141,16.71702003479,17.5222282409668,16.7357940673828,16.4216079711914,16.2502403259277,17.230676651001,17.2620849609375,12.6737785339355,16.2167377471924,13.5668163299561,16.767240524292,1,0.161745391121985,0.520064869206879,0.283942482169988,0.772052605946843,"Non-significant","Z324A_HUMAN;Z324B_HUMAN","ZNF324;ZNF324B","Zinc finger protein 324A"
15.8943634033203,15.0675687789917,14.3515119552612,16.7335720062256,16.6167068481445,16.7200832366943,16.6451930999756,13.9799880981445,14.2041969299316,14.2661466598511,13.4831275939941,16.4393844604492,16.5234527587891,16.1807098388672,17.5473690032959,1,0.071074872515564,0.40848353930936,0.388825439575015,-1.57440741856893,"Non-significant","YKT6_HUMAN","YKT6","Synaptobrevin homolog YKT6"
13.5525960922241,14.4409790039063,13.9138431549072,12.7453899383545,13.669638633728,12.2627897262573,14.3885822296143,14.6197271347046,12.4395895004272,13.231273651123,13.4151000976563,11.9959812164307,12.7223472595215,12.5209703445435,14.1498222351074,1,0.256496225822038,0.59262768536907,0.227218063753431,0.702539285024008,"Non-significant","XRCC6_HUMAN","XRCC6","X-ray repair cross-complementing protein 6"
13.7485666275024,13.7860593795776,13.6345081329346,13.4404134750366,14.5977926254272,14.5330848693848,12.6752300262451,18.0686950683594,17.8900032043457,18.5143280029297,13.0353050231934,12.0572204589844,13.1272687911987,13.3847608566284,14.4051465988159,1,0.860806398715119,0.930149934668014,0.0314470401013963,-0.0885855356852243,"Non-significant","XPP3_HUMAN","XPNPEP3","Xaa-Pro aminopeptidase 3"
17.3802585601807,17.4090766906738,17.0210342407227,17.5540866851807,17.4126930236816,16.9894714355469,17.1176433563232,17.2029457092285,17.1966114044189,17.3648529052734,17.5982494354248,17.2864322662354,17.3435153961182,17.1772632598877,17.3414840698242,1,0.993061680426252,0.99524116080106,0.00207167089771635,0.00164953867596651,"Non-significant","WNK1_HUMAN","WNK1","Serine/threonine-protein kinase WNK1"
17.9897384643555,17.7804317474365,18.0315723419189,16.9445743560791,17.3724575042725,18.1093254089355,17.9075126647949,16.6378421783447,16.2098178863525,17.3076992034912,17.2059841156006,16.5488739013672,16.8493194580078,16.8453426361084,17.4220237731934,8,0.280304981397117,0.592899107318145,0.227019203537808,0.350446701049798,"Non-significant","WDR1_HUMAN","WDR1","WD repeat-containing protein 1"
21.4851608276367,21.5600757598877,21.4303035736084,22.2407855987549,22.116283416748,21.8521976470947,22.0675468444824,22.388671875,22.3725605010986,22.1460437774658,22.2966289520264,22.2862567901611,22.0516147613525,22.3514556884766,22.5530643463135,11,0.0026087734214994,0.154956464947335,0.809790299822357,-0.577356656392404,"Non-significant","VTNC_HUMAN","VTN","Vitronectin"
