"Protein.Group"	"Peptides"	"Protein.Ids"	"Protein_Names"	"Genes"	"First.Protein.Description"	"CTRL_1"	"CTRL_2"	"CTRL_3"	"CTRL_4"	"CTRL.myr_1"	"CTRL.myr_2"	"CTRL.myr_3"	"CTRL.myr_4"	"HBV_1"	"HBV_2"	"HBV_3"	"HBV_4"	"HBV.myr_1"	"HBV.myr_2"	"HBV.myr_3"	"HBV.myr_4"
"1"	"U3KPS3"	2	"U3KPS3"	"U3KPS3_HUMAN"	"CNN2"	"Calponin-2 (Fragment)"	NA	NA	2402510	NA	NA	NA	NA	688800	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Q9Y4I1"	1	"Q9Y4I1"	"MYO5A_HUMAN"	"MYO5A"	"Unconventional myosin-Va"	NA	40882	NA	NA	NA	NA	NA	NA	NA	NA	NA	26999.2	NA	11716.1	NA	NA
"3"	"Q9Y312"	1	"Q9Y312"	"AAR2_HUMAN"	"AAR2"	"Protein AAR2 homolog"	70793.3	NA	NA	NA	NA	NA	67571.5	NA	NA	88184	NA	NA	NA	NA	NA	NA
"4"	"Q9UQR1"	1	"Q9UQR1"	"ZN148_HUMAN"	"ZNF148"	"Zinc finger protein 148"	NA	NA	NA	NA	NA	NA	NA	NA	48626.9	NA	NA	NA	NA	NA	NA	NA
"5"	"Q9UPT8"	1	"Q9UPT8"	"ZC3H4_HUMAN"	"ZC3H4"	"Zinc finger CCCH domain-containing protein 4"	15400.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"Q9H9H4"	1	"Q9H9H4"	"VP37B_HUMAN"	"VPS37B"	"Vacuolar protein sorting-associated protein 37B"	NA	NA	172673	NA	NA	NA	NA	NA	NA	NA	210514	NA	139747	NA	NA	NA
"7"	"Q9BUT9"	1	"Q9BUT9"	"MCRI2_HUMAN"	"MCRIP2"	"MAPK regulated corepressor interacting protein 2"	17835.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30364.7	NA	NA	NA	27173.3
"8"	"Q96T68"	1	"Q96T68"	"SETB2_HUMAN"	"SETDB2"	"Histone-lysine N-methyltransferase SETDB2"	100418	NA	NA	NA	NA	NA	NA	NA	101925	NA	NA	105668	NA	NA	NA	NA
"9"	"Q8NB16"	1	"Q8NB16"	"MLKL_HUMAN"	"MLKL"	"Mixed lineage kinase domain-like protein"	23697.8	NA	NA	NA	NA	NA	NA	NA	NA	17273.8	NA	NA	NA	14342.4	NA	NA
"10"	"Q8IZJ3"	1	"Q8IZJ3"	"CPMD8_HUMAN"	"CPAMD8"	"C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8"	NA	NA	182737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"Q7Z398"	1	"Q7Z398"	"ZN550_HUMAN"	"ZNF550"	"Zinc finger protein 550"	NA	13748.7	NA	17241.8	NA	NA	NA	14329.2	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"Q7L099"	1	"Q7L099"	"RUFY3_HUMAN"	"RUFY3"	"Protein RUFY3"	NA	NA	NA	NA	172192	NA	NA	NA	NA	131206	NA	NA	NA	NA	144207	NA
"13"	"P51797"	1	"P51797"	"CLCN6_HUMAN"	"CLCN6"	"Chloride transport protein 6"	60572.8	NA	NA	NA	NA	NA	NA	NA	NA	59412.7	NA	NA	NA	63151.7	NA	NA
