"Protein.Group"	"Peptides"	"Protein_Names"	"Genes"	"First.Protein.Description"	"CTRL_2"	"CTRL_3"	"CTRL_4"	"CTRL.myr_1"	"CTRL.myr_2"	"CTRL.myr_3"	"CTRL.myr_4"	"HBV_1"	"HBV_2"	"HBV_3"	"HBV_4"	"HBV.myr_1"	"HBV.myr_2"	"HBV.myr_3"	"HBV.myr_4"
"1"	"P49748"	1	"ACADV_HUMAN"	"ACADVL"	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Q15067"	1	"ACOX1_HUMAN"	"ACOX1"	"Peroxisomal acyl-coenzyme A oxidase 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"Q04828"	1	"AK1C1_HUMAN"	"AKR1C1"	"Aldo-keto reductase family 1 member C1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"P47895"	2	"AL1A3_HUMAN"	"ALDH1A3"	"Aldehyde dehydrogenase family 1 member A3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"P30837"	1	"AL1B1_HUMAN"	"ALDH1B1"	"Aldehyde dehydrogenase X, mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"P04083"	9	"ANXA1_HUMAN"	"ANXA1"	"Annexin A1"	200590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"P13928;Q5VT79"	2	"ANXA8_HUMAN;AXA81_HUMAN"	"ANXA8;ANXA8L1"	"Annexin A8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Q6Q788"	1	"APOA5_HUMAN"	"APOA5"	"Apolipoprotein A-V"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11229.8
"9"	"P31941;Q9UH17"	1	"ABC3A_HUMAN;ABC3B_HUMAN"	"APOBEC3A;APOBEC3B"	"DNA dC->dU-editing enzyme APOBEC-3A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	"P05090"	1	"APOD_HUMAN"	"APOD"	"Apolipoprotein D"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"Q53RT3"	1	"APRV1_HUMAN"	"ASPRV1"	"Retroviral-like aspartic protease 1"	NA	NA	NA	NA	NA	NA	21792.7	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"P38606"	1	"VATA_HUMAN"	"ATP6V1A"	"V-type proton ATPase catalytic subunit A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"P27482"	2	"CALL3_HUMAN"	"CALML3"	"Calmodulin-like protein 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"P27824"	1	"CALX_HUMAN"	"CANX"	"Calnexin"	NA	NA	16066.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"P29373"	2	"RABP2_HUMAN"	"CRABP2"	"Cellular retinoic acid-binding protein 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19658.9	NA	NA	NA
"16"	"Q14894"	2	"CRYM_HUMAN"	"CRYM"	"Ketimine reductase mu-crystallin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64466.8	NA	NA	NA	NA
"17"	"Q9UGM3"	1	"DMBT1_HUMAN"	"DMBT1"	"Deleted in malignant brain tumors 1 protein"	NA	NA	NA	NA	NA	NA	NA	NA	38899.4	NA	NA	NA	NA	NA	NA
"18"	"Q9UHY7"	1	"ENOPH_HUMAN"	"ENOPH1"	"Enolase-phosphatase E1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"Q13822"	1	"ENPP2_HUMAN"	"ENPP2"	"Ectonucleotide pyrophosphatase/phosphodiesterase family member 2"	NA	NA	NA	NA	NA	100080	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Q92817"	1	"EVPL_HUMAN"	"EVPL"	"Envoplakin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"P09211"	4	"GSTP1_HUMAN"	"GSTP1"	"Glutathione S-transferase P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"P10412;P16402;P16403"	1	"H12_HUMAN;H13_HUMAN;H14_HUMAN"	"H1-2;H1-3;H1-4"	"Histone H1.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15361.7	NA	NA	NA
