"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2BM_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8C_vs_D2BM"
3.376380445,12.715528965,185.910574009541,2.15529653300114e-14,1.81669944766667e-10,21.831714895104,"TSP1_HUMAN",52,-262.251533418899,2.58201572933912e-16,2.17638105825994e-12,-3.376380445,"Up in D2BM",11.6622650625534,"THBS1","TSP1_HUMAN",3.376380445
3.62701654375,11.234662055625,150.377375635445,9.76092009226914e-14,4.11373977288683e-10,21.1124604071915,"PGBM_HUMAN",175,-188.508115197987,3.17361890482146e-15,1.337521687437e-11,-3.62701654375,"Up in D2BM",10.8736991673196,"HSPG2","PGBM_HUMAN",3.62701654375
-2.1775078775,14.50263786375,-107.542292819794,1.0620175806514e-12,2.98391539577021e-09,19.6082869399401,"VILI_HUMAN",48,138.773371916137,3.25288958646933e-14,9.13953544145e-11,2.1775078775,"Up in D8C",10.0390758787019,"VIL1","VILI_HUMAN",-2.1775078775
3.01620578925,11.130877495375,96.0121138351827,2.38078951623545e-12,3.96565295827432e-09,19.0012213174207,"PIGR_HUMAN",36,-105.823427949637,2.55008377051526e-13,5.37366402541828e-10,-3.01620578925,"Up in D2BM",9.26972949020434,"PIGR","PIGR_HUMAN",3.01620578925
1.148188115,15.041713,63.5324732638723,4.49398820962462e-11,1.8939913309463e-08,16.4432256232177,"CO4B_HUMAN",87,-96.8967318665432,4.9800499411611e-13,6.22514862082689e-10,-1.148188115,"Up in D2BM",9.20585027564837,"C4B","CO4B_HUMAN",1.148188115
-1.7137711075,13.72453033875,-79.0347852749414,9.50866526682967e-12,8.90539328156748e-09,17.8573263323139,"PFKAP_HUMAN",36,94.6074304480673,5.97162646781991e-13,6.22514862082689e-10,1.7137711075,"Up in D8C",9.20585027564837,"PFKP","PFKAP_HUMAN",-1.7137711075
-3.12618279425,10.041807055375,-91.3735997662575,3.38673519157998e-12,4.07811298997538e-09,18.7218567318827,"FBLI1_HUMAN",20,94.4527204265144,6.04631014842813e-13,6.22514862082689e-10,3.12618279425,"Up in D8C",9.20585027564837,"FBLIM1","FBLI1_HUMAN",-3.12618279425
-2.9609661125,11.52734160375,-93.741830961117,2.82286365519586e-12,3.96565295827432e-09,18.8672658145301,"FSTL1_HUMAN",17,93.6852630303777,6.43276916440467e-13,6.22514862082689e-10,2.9609661125,"Up in D8C",9.20585027564837,"FSTL1","FSTL1_HUMAN",-2.9609661125
-2.1136758325,11.64880573625,-96.5085404241441,2.29498362467616e-12,3.96565295827432e-09,19.0298293610862,"SFXN3_HUMAN",17,93.2822484430772,6.64685461946162e-13,6.22514862082689e-10,2.1136758325,"Up in D8C",9.20585027564837,"SFXN3","SFXN3_HUMAN",-2.1136758325
-0.974086999999999,14.29046333,-55.558708854854,1.16606975641152e-10,3.07150061774772e-08,15.5196012321204,"MYO1C_HUMAN",72,85.9010513980679,1.24299377878685e-12,1.04771945613943e-09,0.974086999999999,"Up in D8C",8.97975499117029,"MYO1C","MYO1C_HUMAN",-0.974086999999999
3.01033448999999,14.8013770575,81.0872301508665,7.92309732553836e-12,8.34797341962035e-09,18.0148571542805,"FGL1_HUMAN",19,-83.2363878728589,1.57898475550151e-12,1.2099329549202e-09,-3.01033448999999,"Up in D2BM",8.91723869424133,"FGL1","FGL1_HUMAN",3.01033448999999
-2.1440951825,15.93668425125,-70.2051764558768,2.20874447244419e-11,1.23382659511705e-08,17.1052672001667,"FLNA_HUMAN",152,81.0643525996192,1.93002571161929e-12,1.30670500830287e-09,2.1440951825,"Up in D8C",8.88382244434457,"FLNA","FLNA_HUMAN",-2.1440951825
-2.107824325,13.650849105,-69.6291255314037,2.34206021139788e-11,1.23382659511705e-08,17.0515705901538,"EPIPL_HUMAN",173,80.6039007841015,2.01532389464199e-12,1.30670500830287e-09,2.107824325,"Up in D8C",8.88382244434457,"EPPK1","EPIPL_HUMAN",-2.107824325
-1.78840804,11.767131685,-70.6795629933309,2.10543004601494e-11,1.23382659511705e-08,17.1490288343734,"PALLD_HUMAN",30,79.1493890329355,2.31411709001991e-12,1.31683332274138e-09,1.78840804,"Up in D8C",8.88046919208047,"PALLD","PALLD_HUMAN",-1.78840804
-3.3341767775,12.49865162375,-75.2883381218689,1.34331110637609e-11,1.1322769315644e-08,17.5537017988367,"MUC18_HUMAN",25,79.0184076616586,2.34339777448342e-12,1.31683332274138e-09,3.3341767775,"Up in D8C",8.88046919208047,"MCAM","MUC18_HUMAN",-3.3341767775
4.604809763,11.093270541,73.3110722603379,1.62332200281305e-11,1.23382659511705e-08,17.3845117823906,"APOA4_HUMAN",29,-76.6074086940753,2.96488679424006e-12,1.56193942429059e-09,-4.604809763,"Up in D2BM",8.8063358131005,"APOA4","APOA4_HUMAN",4.604809763
1.2397995,13.21593261,57.6961991004206,8.91623937091875e-11,2.76592790800434e-08,15.7832461750295,"CO5_HUMAN",77,-75.3366210573063,3.3663114025342e-12,1.66909640070357e-09,-1.2397995,"Up in D2BM",8.77751857938752,"C5","CO5_HUMAN",1.2397995
-1.0946345325,18.00007510375,-56.0765811871387,1.09165054991554e-10,3.0456425825298e-08,15.5846459923254,"GATM_HUMAN",48,73.9525707505812,3.87508599903068e-12,1.81461666032387e-09,1.0946345325,"Up in D8C",8.74121510610422,"GATM","GATM_HUMAN",-1.0946345325
1.18540620625,10.583639621875,55.8738426637465,1.12012006238491e-10,3.0456425825298e-08,15.5592728831993,"PTPRF_HUMAN",72,-73.1874860902041,4.19337028659608e-12,1.8603114813536e-09,-1.18540620625,"Up in D2BM",8.7304143335737,"PTPRF","PTPRF_HUMAN",1.18540620625
-2.2283120145,10.11574649775,-67.418862651094,2.94608906027363e-11,1.37958803828036e-08,16.8397022568958,"EPHA2_HUMAN",28,72.482220638147,4.51318183713728e-12,1.9020804852615e-09,2.2283120145,"Up in D8C",8.72077111012973,"EPHA2","EPHA2_HUMAN",-2.2283120145
-2.31747865875,11.147204638125,-68.2150330398902,2.71007127582152e-11,1.34371710493527e-08,16.9171077714457,"ANXA3_HUMAN",21,71.0037234565161,5.27734824388724e-12,2.11822706417741e-09,2.31747865875,"Up in D8C",8.67402748736655,"ANXA3","ANXA3_HUMAN",-2.31747865875
1.0769288575,12.03509128125,52.6655224027654,1.70526340748389e-10,3.63718841890004e-08,15.141654975354,"AGRIN_HUMAN",69,-70.3927914642114,5.63506945418469e-12,2.1241678045118e-09,-1.0769288575,"Up in D2BM",8.67281117794137,"AGRN","AGRIN_HUMAN",1.0769288575
-0.922760012500003,11.96172189625,-47.9040883656192,3.34327892973652e-10,4.80973570133891e-08,14.4603246158631,"FAT1_HUMAN",154,70.1318451537951,5.79616318706506e-12,2.1241678045118e-09,0.922760012500003,"Up in D8C",8.67281117794137,"FAT1","FAT1_HUMAN",-0.922760012500003
-1.5047249825,13.01743245125,-65.2141029868062,3.73203341588418e-11,1.65564787697304e-08,16.6186871368965,"HRG_HUMAN",22,69.4008782486657,6.27587918707959e-12,2.20414106949558e-09,1.5047249825,"Up in D8C",8.6567606132037,"HRG","HRG_HUMAN",-1.5047249825
-0.885101319999997,13.694530965,-46.796891077769,3.94731192338614e-10,5.28125273051139e-08,14.2901080783999,"MYLK_HUMAN",99,68.6167647820047,6.84108484145504e-12,2.30654016514498e-09,0.885101319999997,"Up in D8C",8.63703897836378,"MYLK","MYLK_HUMAN",-0.885101319999997
-1.46109557,11.36167419,-57.7703880928469,8.83515852631216e-11,2.76592790800434e-08,15.7921725055931,"ARVC_HUMAN",38,66.6001704996532,8.57898136329076e-12,2.78123976581453e-09,1.46109557,"Up in D8C",8.55576156975444,"ARVCF","ARVC_HUMAN",-1.46109557
1.75327301,16.23311281,70.8702378172941,2.06546486614656e-11,1.23382659511705e-08,17.1665030615299,"A1AG1_HUMAN",15,-65.911774648726,9.28274410822812e-12,2.89793518845388e-09,-1.75327301,"Up in D2BM",8.53791133163627,"ORM1","A1AG1_HUMAN",1.75327301
-1.7640919725,17.23850083375,-57.7902788499313,8.81356312992202e-11,2.76592790800434e-08,15.7945632411748,"CLUS_HUMAN",30,63.0110384285453,1.30612760412022e-11,3.93191056254618e-09,1.7640919725,"Up in D8C",8.40539636943462,"CLU","CLUS_HUMAN",-1.7640919725
1.21016288,13.425353645,52.4189703334824,1.76308470932091e-10,3.63718841890004e-08,15.1082553254361,"TFR1_HUMAN",38,-61.9728389364775,1.48158320276915e-11,4.28236796755005e-09,-1.21016288,"Up in D2BM",8.36831601816943,"TFRC","TFR1_HUMAN",1.21016288
-2.07781291,12.226501345,-58.7523344737095,7.83747508151914e-11,2.76592790800434e-08,15.9089499692957,"PEG10_HUMAN",23,61.741855579555,1.52415516700085e-11,4.28236796755005e-09,2.07781291,"Up in D8C",8.36831601816943,"PEG10","PEG10_HUMAN",-2.07781291
-1.26130605,14.2626727825,-54.7562867225223,1.29309917328794e-10,3.30288876716485e-08,15.4172913156452,"HEXA_HUMAN",24,59.5776935897566,1.997933980057e-11,5.43244694125821e-09,1.26130605,"Up in D8C",8.26500450674353,"HEXA","HEXA_HUMAN",-1.26130605
0.739653112500001,13.81088614375,41.3854646650962,9.44449275725181e-10,8.46889675009314e-08,13.383792430368,"CERU_HUMAN",50,-58.7443531022827,2.22322972528774e-11,5.60025918121729e-09,-0.739653112500001,"Up in D2BM",8.25179187328527,"CP","CERU_HUMAN",0.739653112500001
-1.347895145,14.9505147925,-62.7870157972152,4.88746006658094e-11,1.96173337624813e-08,16.3634491468415,"FBX2_HUMAN",16,58.6936616423139,2.23783535096891e-11,5.60025918121729e-09,1.347895145,"Up in D8C",8.25179187328527,"FBXO2","FBX2_HUMAN",-1.347895145
-1.539542675,13.829140665,-61.1388092252037,5.90517135979883e-11,2.26248588144293e-08,16.1825303313009,"CRYM_HUMAN",16,58.6209595320374,2.25897273889415e-11,5.60025918121729e-09,1.539542675,"Up in D8C",8.25179187328527,"CRYM","CRYM_HUMAN",-1.539542675
-1.0368967075,11.32686424375,-48.9892000358443,2.85150098989654e-10,4.61016808321642e-08,14.6226285655137,"MANBA_HUMAN",33,58.1938900508058,2.38779470440028e-11,5.75049187525427e-09,1.0368967075,"Up in D8C",8.24029500581952,"MANBA","MANBA_HUMAN",-1.0368967075
-1.037620305,13.882892965,-49.8857729356961,2.50679915368374e-10,4.22596201328006e-08,14.7534908641411,"ACOT9_HUMAN",29,57.9030119390028,2.4802931857079e-11,5.8073309062033e-09,1.037620305,"Up in D8C",8.23602342682639,"ACOT9","ACOT9_HUMAN",-1.037620305
-1.68531489275,10.572121023625,-53.9220188832604,1.44218713569958e-10,3.57535157847404e-08,15.3089055876918,"APBA1_HUMAN",25,57.5385134586339,2.60197820733659e-11,5.92758765125410e-09,1.68531489275,"Up in D8C",8.22712201538865,"APBA1","APBA1_HUMAN",-1.68531489275
1.33053875,11.2488427175,52.5874833844782,1.72332794614448e-10,3.63718841890004e-08,15.1311042307918,"PACN3_HUMAN",23,-56.2085419742895,3.10691617095316e-11,6.89163063288531e-09,-1.33053875,"Up in D2BM",8.16167800725396,"PACSIN3","PACN3_HUMAN",1.33053875
-1.83026719225,10.444615483875,-52.6703138344648,1.70416133640282e-10,3.63718841890004e-08,15.1423021382014,"SCMC1_HUMAN",22,55.1142941642305,3.60642241029422e-11,7.69500269919093e-09,1.83026719225,"Up in D8C",8.11379122349416,"SLC25A24","SCMC1_HUMAN",-1.83026719225
