"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2BM_vs_D3BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D3BM_vs_D2BM"
-0.701474667500008,16.68538165125,-47.2720748872169,3.72286372502251e-10,1.2465893531305e-06,13.634244688016,"FAS_HUMAN",166,88.5784417337924,1.33383529126152e-12,1.12428976700434e-08,0.701474667500008,"Up in D3BM",7.94912174215441,"FASN","FAS_HUMAN",-0.701474667500008
1.364510775,12.713420035,51.2674269167135,2.09290070906574e-10,1.2465893531305e-06,14.0192976070994,"APOA4_HUMAN",29,-55.6883259038215,4.31224673951554e-11,1.81739638836883e-07,-1.364510775,"Up in D2BM",6.74055033933679,"APOA4","APOA4_HUMAN",1.364510775
-0.770697352500001,14.91536271625,-42.0294936427208,8.57135825801411e-10,1.80619946892002e-06,13.0320909650851,"ACSA_HUMAN",34,50.7261865489112,8.6690581248458e-11,2.43571636447751e-07,0.770697352500001,"Up in D3BM",6.61337328603676,"ACSS2","ACSA_HUMAN",-0.770697352500001
0.6841335275,15.33850693625,38.5260180813113,1.58863977320068e-09,2.23177410805142e-06,12.5542684623555,"AACT_HUMAN",24,-42.9755267601712,2.99495307818924e-10,6.31111487401428e-07,-0.6841335275,"Up in D2BM",6.19989391478696,"SERPINA3","AACT_HUMAN",0.6841335275
-0.496733665000001,15.620654345,-30.9239022655403,7.53006090454074e-09,5.28924028036449e-06,11.2397125386197,"PH4H_HUMAN",41,41.7103145458484,3.74420965798791e-10,6.31198864143602e-07,0.496733665000001,"Non-significant",6.19983379132051,"PAH","PH4H_HUMAN",-0.496733665000001
-0.596536159999999,17.7510259175,-31.5993775990624,6.46309150269814e-09,4.9524907523857e-06,11.3751559166901,"GATM_HUMAN",48,39.7335815099769,5.3810316764805e-10,7.55945266684235e-07,0.596536159999999,"Up in D3BM",6.12150964793467,"GATM","GATM_HUMAN",-0.596536159999999
-1.67117071,11.3630864625,-46.1177482343119,4.4367873524635e-10,1.2465893531305e-06,13.511881335775,"SPP24_HUMAN",7,36.388404142597,1.03753163230454e-09,1.24933630409928e-06,1.67117071,"Up in D3BM",5.90332063980457,"SPP2","SPP24_HUMAN",-1.67117071
-0.362147090000004,13.59495747,-23.8184813667005,4.75094662224861e-08,1.37418130110731e-05,9.51586043215821,"VILI_HUMAN",48,35.0776913677077,1.36416426264739e-09,1.35895580932959e-06,0.362147090000004,"Non-significant",5.86679466547232,"VIL1","VILI_HUMAN",-0.362147090000004
-0.669244767250001,9.992586851375,-40.4088382747969,1.13276989505346e-09,1.90962348908113e-06,12.8194601435732,"PCOC2_HUMAN",14,34.6030059341757,1.51008573284968e-09,1.35895580932959e-06,0.669244767250001,"Up in D3BM",5.86679466547232,"PCOLCE2","PCOC2_HUMAN",-0.669244767250001
-0.571991924999999,18.1373462675,-28.134207136976,1.46861519245059e-08,7.73684841072878e-06,10.6330620741855,"CP3A4_HUMAN",47,34.1441026477134,1.66817676446489e-09,1.35895580932959e-06,0.571991924999999,"Up in D3BM",5.86679466547232,"CYP3A4","CP3A4_HUMAN",-0.571991924999999
-0.925918819999998,13.77287519,-33.0026195265382,4.75283697524169e-09,4.45129587381247e-06,11.6436415976386,"FADS2_HUMAN",18,33.5447865573891,1.90364646411063e-09,1.35895580932959e-06,0.925918819999998,"Up in D3BM",5.86679466547232,"FADS2","FADS2_HUMAN",-0.925918819999998
-0.819946052499999,12.67504298625,-31.7840334597077,6.20216827535057e-09,4.9524907523857e-06,11.4114633180151,"HRG_HUMAN",22,33.4720933963543,1.9346861682234e-09,1.35895580932959e-06,0.819946052499999,"Up in D3BM",5.86679466547232,"HRG","HRG_HUMAN",-0.819946052499999
-1.4605834525,14.51938831875,-34.5369969356916,3.44560702974561e-09,4.1490030933894e-06,11.9186836939924,"SCD_HUMAN",11,32.776444254202,2.26257320848886e-09,1.46701765956558e-06,1.4605834525,"Up in D3BM",5.83356465820462,"SCD","SCD_HUMAN",-1.4605834525
0.375765800000002,13.56203437,23.0678152331299,5.95160508366543e-08,1.54571098311673e-05,9.29492891598986,"HS105_HUMAN",48,-31.8698663661392,2.7885710491958e-09,1.61787993510746e-06,-0.375765800000002,"Non-significant",5.79105371106433,"HSPH1","HS105_HUMAN",0.375765800000002
-0.456214664999999,12.825044275,-23.550241858858,5.14512868750216e-08,1.39897708732115e-05,9.43792555683483,"EPIPL_HUMAN",173,31.5207160760484,3.02708781325643e-09,1.61787993510746e-06,0.456214664999999,"Non-significant",5.79105371106433,"EPPK1","EPIPL_HUMAN",-0.456214664999999
