"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-4.30650878125,11.574408174375,-167.492102714717,3.6634205408139e-14,3.08789717385203e-10,22.0960230344153,"PGBM_HUMAN",175,-219.977239140938,9.81920360523815e-16,8.27660671885523e-12,-4.30650878125,"Up in D1B",11.0821476807669,"HSPG2","PGBM_HUMAN"
-3.6654281625,12.86005282375,-143.365755801652,1.118789849156e-13,4.71513981926798e-10,21.4438392108536,"TSP1_HUMAN",52,-179.730009623496,4.5594765736631e-15,1.92159140197031e-11,-3.6654281625,"Up in D1B",10.7163389531579,"THBS1","TSP1_HUMAN"
-3.47299003249999,16.19822645375,-118.36667143923,4.425892435271e-13,1.24352824456331e-09,20.5070070417009,"FIBA_HUMAN",58,-141.347300005935,2.82899324617292e-14,7.94852802399718e-11,-3.47299003249999,"Up in D1B",10.0997132902422,"FGA","FIBA_HUMAN"
2.46510458,14.3588395125,92.6893313529226,2.5588837491784e-12,3.59480518697079e-09,19.114956134077,"VILI_HUMAN",48,113.309616541525,1.51731932344179e-13,3.06409841055493e-10,2.46510458,"Up in D8C",9.51369729045111,"VIL1","VILI_HUMAN"
1.732641695,11.7950148575,86.0220182128386,4.3715514040075e-12,5.03729071006684e-09,18.6513084179643,"PALLD_HUMAN",30,109.880568729063,1.91624118536847e-13,3.06409841055493e-10,1.732641695,"Up in D8C",9.51369729045111,"PALLD","PALLD_HUMAN"
-3.55043888175,11.397994041625,-96.2450415784273,1.95323268135237e-12,3.59480518697079e-09,19.3423269151139,"PIGR_HUMAN",36,-105.976965177089,2.52215624543302e-13,3.06409841055493e-10,-3.55043888175,"Up in D1B",9.51369729045111,"PIGR","PIGR_HUMAN"
-2.7621455225,13.09816122125,-94.2595227707799,2.26834094675796e-12,3.59480518697079e-09,19.2169686975679,"PLIN2_HUMAN",27,-104.56092473136,2.7934725304263e-13,3.06409841055493e-10,-2.7621455225,"Up in D1B",9.51369729045111,"PLIN2","PLIN2_HUMAN"
-1.46330285,15.1992703675,-68.766671209035,2.1776309042567e-11,8.23586589875744e-09,17.1708368942952,"CO4B_HUMAN",87,-104.008539417284,2.9081489244797e-13,3.06409841055493e-10,-1.46330285,"Up in D1B",9.51369729045111,"C4B","CO4B_HUMAN"
2.518520835,15.749471425,82.4578658464104,5.92195002831044e-12,5.03729071006684e-09,18.3813520762505,"FLNA_HUMAN",152,99.519231416263,4.06585580157332e-13,3.80789983905128e-10,2.518520835,"Up in D8C",9.41931448358573,"FLNA","FLNA_HUMAN"
1.4909486775,12.43985962875,69.8122880744413,1.95429915681867e-11,8.23586589875744e-09,17.2743980108915,"PCSK6_HUMAN",46,96.2656962401783,5.23339513399796e-13,4.41122875844688e-10,1.4909486775,"Up in D8C",9.35544041990123,"PCSK6","PCSK6_HUMAN"
-3.09530281999999,16.60205686,-82.3532142134185,5.97614273349963e-12,5.03729071006684e-09,18.373173962274,"FINC_HUMAN",161,-93.6064411354813,6.47401894434283e-13,4.96086415289689e-10,-3.09530281999999,"Up in D1B",9.30444266541595,"FN1","FINC_HUMAN"
2.2847645275,13.43903362875,78.0813396202805,8.75688345055381e-12,5.67782850805524e-09,18.0262989247321,"PFKAP_HUMAN",36,89.9162227924725,8.78660308355388e-13,6.04909289033075e-10,2.2847645275,"Up in D8C",9.21830974638233,"PFKP","PFKAP_HUMAN"
2.4988400925,13.45534122125,75.407689557086,1.12428004974076e-11,6.12399132555029e-09,17.795475143304,"EPIPL_HUMAN",173,88.5623777645073,9.8594573377704e-13,6.04909289033075e-10,2.4988400925,"Up in D8C",9.21830974638233,"EPPK1","EPIPL_HUMAN"
