"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.342709067,11.184897424,134.14540328984,1.98490412172699e-13,1.07918153607005e-09,21.0658500971139,"MFGM_HUMAN",22,142.487823933337,2.66143015796959e-14,2.24331948015256e-10,3.342709067,"Up in D8B",9.64910887238805,"MFGE8","MFGM_HUMAN"
3.0236089215,10.84874021925,129.450913521615,2.56063954459615e-13,1.07918153607005e-09,20.8927591316092,"PRS23_HUMAN",17,126.479782734841,6.58137550442687e-14,2.40443533760527e-10,3.0236089215,"Up in D8B",9.61898689789931,"PRSS23","PRS23_HUMAN"
2.020881175,17.3258759975,100.238250801169,1.59353610995541e-12,2.68638317416283e-09,19.5107370390458,"VTNC_HUMAN",29,118.871242613994,1.05438852164383e-13,2.40443533760527e-10,2.020881175,"Up in D8B",9.61898689789931,"VTN","VTNC_HUMAN"
3.6843197375,12.48148095625,105.793456165449,1.08372658563741e-12,2.28368284758443e-09,19.8215835900028,"TSP1_HUMAN",52,117.641871637113,1.14102993835818e-13,2.40443533760527e-10,3.6843197375,"Up in D8B",9.61898689789931,"THBS1","TSP1_HUMAN"
1.68556189,11.8749500525,78.1696144036876,9.42181132887443e-12,6.03587861296564e-09,17.9615112516439,"FAT1_HUMAN",154,110.085281422655,1.88933992561029e-13,3.18504924659383e-10,1.68556189,"Up in D8B",9.49688384830238,"FAT1","FAT1_HUMAN"
1.84069514325,10.673482775875,84.3399264545875,5.47486635304927e-12,4.61476484898523e-09,18.4535650367734,"ERBB2_HUMAN",39,103.884205350659,2.93468958892551e-13,4.12274975750885e-10,1.84069514325,"Up in D8B",9.38481302518682,"ERBB2","ERBB2_HUMAN"
2.251696345,14.299616455,107.569167807519,9.62155606554015e-13,2.28368284758443e-09,19.9155113431608,"FBX2_HUMAN",16,100.659484200268,3.72885148118735e-13,4.49006987641832e-10,2.251696345,"Up in D8B",9.34774690026466,"FBXO2","FBX2_HUMAN"
2.145773645,11.3891514525,78.710580003347,8.96880686066509e-12,6.03587861296564e-09,18.0067968999756,"AGRIN_HUMAN",69,93.9899802472443,6.27607515556808e-13,5.43613130524675e-10,2.145773645,"Up in D8B",9.26471006178954,"AGRN","AGRIN_HUMAN"
-2.32612228249999,15.29262161125,-87.2426777197622,4.29889911231028e-12,4.61476484898523e-09,18.667687271392,"AACT_HUMAN",24,-93.8914532703285,6.32626303621485e-13,5.43613130524675e-10,-2.32612228249999,"Up in D1CM",9.26471006178954,"SERPINA3","AACT_HUMAN"
1.4188909475,15.07074689875,65.4025265853821,3.36769811234801e-11,9.39215378452561e-09,16.7520225886652,"FLNA_HUMAN",152,91.58655974557,7.64045353251684e-13,5.43613130524675e-10,1.4188909475,"Up in D8B",9.26471006178954,"FLNA","FLNA_HUMAN"
1.4167287325,11.52028429375,70.5618348020888,1.95799710836386e-11,7.17563375060825e-09,17.2756632061255,"UBA7_HUMAN",41,91.4974813389929,7.69712149873133e-13,5.43613130524675e-10,1.4167287325,"Up in D8B",9.26471006178954,"UBA7","UBA7_HUMAN"
