"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D8B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-3.2963020825,12.67548978375,-109.908500413086,8.42321859728545e-13,7.09993095565191e-09,18.0312311708268,"TSP1_HUMAN",52,-129.993644632103,5.34449211741257e-14,4.50487240576705e-10,-3.2963020825,"Up in D8B",9.34631750529669,"THBS1","TSP1_HUMAN"
-1.45174908625,10.716811061875,-61.5803055470828,5.26648493779723e-11,1.0378787037399e-07,15.7046585235238,"PTPRF_HUMAN",72,-84.2194968252735,1.44430850322235e-12,4.91197736276299e-09,-1.45174908625,"Up in D8B",8.30874364334282,"PTPRF","PTPRF_HUMAN"
-1.29114246,13.24160409,-57.3838703893825,8.7128905445068e-11,1.04915649142354e-07,15.3312671862303,"CO5_HUMAN",77,-82.1274867633373,1.74824203206655e-12,4.91197736276299e-09,-1.29114246,"Up in D8B",8.30874364334282,"C5","CO5_HUMAN"
-2.90699911,14.7497093675,-75.9378645117753,1.18036988228055e-11,4.97466886887138e-08,16.701163922347,"FGL1_HUMAN",19,-77.8710353757419,2.61860700732584e-12,5.51805961618737e-09,-2.90699911,"Up in D8B",8.258213611787,"FGL1","FGL1_HUMAN"
-3.04260563875,10.942456603125,-60.2469151226176,6.15659451737987e-11,1.0378787037399e-07,15.5908062611634,"PGBM_HUMAN",175,-65.6081376476463,9.61374651857937e-12,1.62068538810211e-08,-3.04260563875,"Up in D8B",7.79030128340703,"HSPG2","PGBM_HUMAN"
1.59443640775,10.026841998625,54.6176942053422,1.2393010490831e-10,1.30575856784018e-07,15.0592304746233,"FIL1L_HUMAN",33,62.2617860691792,1.43020960194954e-11,2.00920612247211e-08,1.59443640775,"Up in D8C",7.69697550712417,"FILIP1L","FIL1L_HUMAN"
2.1473584185,10.42047357575,58.1234900865138,7.95231660808601e-11,1.04915649142354e-07,15.4003690408589,"TAGL_HUMAN",17,58.1736251838155,2.3941108766625e-11,2.88285151134117e-08,2.1473584185,"Up in D8C",7.54017772648655,"TAGLN","TAGL_HUMAN"
-0.965411422500001,11.97933256375,-41.1957946765953,9.24499603978037e-10,4.58388656584169e-07,13.3557067069605,"AGRIN_HUMAN",69,-56.3704280325314,3.03988664703296e-11,3.20290056848011e-08,-0.965411422500001,"Up in D8B",7.49445654345628,"AGRN","AGRIN_HUMAN"
-0.8995866775,14.91741228125,-38.2750574996543,1.56029576119259e-09,6.26272998623444e-07,12.8748474628545,"CO4B_HUMAN",87,-53.2660389977814,4.67090831990168e-11,4.37456513649459e-08,-0.8995866775,"Up in D8B",7.35906511251765,"C4B","CO4B_HUMAN"
-3.8388819675,16.38117242125,-49.6372433092874,2.45029605027412e-10,2.29483837864006e-07,14.5091138356484,"FIBA_HUMAN",58,-52.1813720606,5.45934761120006e-11,4.60168410148053e-08,-3.8388819675,"Up in D8B",7.33708319829075,"FGA","FIBA_HUMAN"
1.4362251725,12.54729521375,45.9909836971352,4.22024975913204e-10,3.5572485219724e-07,14.0492076839798,"PEG10_HUMAN",23,49.0439271899273,8.73509094439726e-11,6.69346196093859e-08,1.4362251725,"Up in D8C",7.17434920037182,"PEG10","PEG10_HUMAN"
1.22853947,16.3944621075,39.5524681101892,1.23523424000697e-09,5.47988916264146e-07,13.0911603978521,"FLNA_HUMAN",152,47.8069608121941,1.06007974010366e-10,7.44617677444482e-08,1.22853947,"Up in D8C",7.12806665771545,"FLNA","FLNA_HUMAN"
-1.3385705975,13.78970885125,-42.5634649894295,7.32681891554816e-10,4.58388656584169e-07,13.5648702544678,"APOA5_HUMAN",27,-46.5710405454513,1.29278557039773e-10,8.38222274837113e-08,-1.3385705975,"Up in D8B",7.07664080244955,"APOA5","APOA5_HUMAN"
0.679110764999999,12.3217803225,34.8000515294509,3.07031230321241e-09,9.58506014954718e-07,12.2338570910738,"PALLD_HUMAN",30,44.7261250609154,1.75593051876795e-10,1.01913102600701e-07,0.679110764999999,"Up in D8C",6.99176997672595,"PALLD","PALLD_HUMAN"
1.309168101,10.176328302,41.2355810896737,9.18167914290608e-10,4.58388656584169e-07,13.3619289229955,"DREB_HUMAN",25,44.5323724957393,1.8146291282276e-10,1.01913102600701e-07,1.309168101,"Up in D8C",6.99176997672595,"DBN1","DREB_HUMAN"
1.1510899075,11.73039901375,41.7652703608315,8.38411130200463e-10,4.58388656584169e-07,13.4439724893979,"ANXA3_HUMAN",21,43.952673308193,2.00394639478179e-10,1.01913102600701e-07,1.1510899075,"Up in D8C",6.99176997672595,"ANXA3","ANXA3_HUMAN"
