Protein.Ids,Protein.Names,Genes,Peptides,logFC,sca.pval,sca.adj.pval,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,ProtDesc,negLog10_sca_adjPval
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7B;TMA7,2,-3.2963020801544456,1.5916188483869547e-14,1.341575527305364e-10,12.67548978328705,-106.01894220825052,4.64194038394663e-13,1.956345774814307e-9,19.18414419327442,1324,52,-127.59285516834882,1.5916188483869547e-14,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,9.872384872624076
A0A075B767,PAL4H_HUMAN,PPIAL4H,3,-7.86353477333145,5.193667878507224e-14,2.1888713273968696e-10,11.081182080039598,-128.93029293508965,1.0899494298692301e-13,9.187183744367741e-10,19.823813444143227,1166,7,-110.04971650168682,5.193667878507224e-14,Peptidyl-prolyl cis-trans isomerase A-like 4H,9.659779767643572
A0A096LP01,SIM26_HUMAN,SMIM26,4,-1.4517490863799942,6.662049898402575e-13,1.6224453050220468e-9,10.716811060905455,-57.60110887647211,4.242455278627368e-11,4.784257733716884e-8,16.189046699608397,1458,72,-79.97550250716776,6.662049898402575e-13,Small integral membrane protein 26,8.789829934975971
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,1,-1.2911424636840714,8.938738051218969e-13,1.6224453050220468e-9,13.241604089736937,-53.270427058666776,7.561181603001575e-11,6.373319973170027e-8,15.70475153357008,1102,77,-77.08676075341205,8.938738051218969e-13,Protein PIGBOS1,8.789829934975971
A0A0U1RRE5,NBDY_HUMAN,NBDY,2,-2.9069991111755513,9.62418617286776e-13,1.6224453050220468e-9,14.749709367752075,-74.74693245122471,6.172152244782148e-12,1.734169042375624e-8,17.64932485400169,3217,19,-76.37723226989979,9.62418617286776e-13,Negative regulator of P-body association,8.789829934975971
A0A6Q8PH20,A0A6Q8PH20_HUMAN,CAST,52,-3.042605638504032,2.828835434232557e-12,3.9740423125243706e-9,10.942456603050234,-60.147246377450735,3.0810253618248786e-11,4.328327129136983e-8,16.44842399219101,3020,175,-66.73451961321555,2.828835434232557e-12,Calpastatin,8.400767513170335
A0AAG2TUN3;A0AAG2TVJ1;A8MZA4;H0YM25;P0DX00;P0DX01;P0DX02;Q8N7Z2;Q8N9W4,A0AAG2TUN3_HUMAN;A0AAG2TVJ1_HUMAN;GG6L6_HUMAN;GG6LV_HUMAN;GG6LX_HUMAN;GG6LY_HUMAN;GG6LZ_HUMAN;GG6L1_HUMAN;GG6L2_HUMAN,GOLGA6L26;GOLGA6L2;GOLGA6L6;GOLGA6L22;GOLGA6L24;GOLGA6L25;GOLGA6L26;GOLGA6L1;GOLGA6L2,1,-6.937848866351044,4.2370996726200285e-12,5.102073305787746e-9,10.369433492239528,-65.79468007433503,1.5863211402697853e-11,3.342775222833505e-8,16.965705532763742,1167,7,-63.44254631592128,4.2370996726200285e-12,Golgin subfamily A member 6-like protein 26;Golgin subfamily A member 6-like protein 2;Golgin subfamily A member 6-like protein 6;Golgin subfamily A member 6-like protein 22;Golgin subfamily A member 6-like protein 24;Golgin subfamily A member 6-like protein 25;Golgin subfamily A member 6-like protein 26;Golgin subfamily A member 6-like protein 1;Golgin subfamily A member 6-like protein 2,8.292253305806511
A0AAG2UWQ9,A0AAG2UWQ9_HUMAN,NKRF,33,1.5944364070892387,6.42477683125258e-12,6.7693054888285e-9,10.02684199810028,52.53550201809861,8.378920999550082e-11,6.420538645927967e-8,15.616662949710607,3952,33,60.21980349517855,6.42477683125258e-12,NF-kappa-B-repressing factor,8.16945588638748
A0AAG2UXZ5,A0AAG2UXZ5_HUMAN,COL18A1,37,2.1473584175109774,1.0348040341223765e-11,9.691514670686124e-9,10.420473575592036,57.074216120413304,4.540759505247962e-11,4.784257733716884e-8,16.133132267137746,3079,17,56.72960642509482,1.0348040341223765e-11,Collagen type XVIII alpha 1 chain,8.0136083424834
A0AAQ5BIG5;Q9HDB9,A0AAQ5BIG5_HUMAN;GAK5_HUMAN,LOC124906262;ERVK-5,1,-0.9654114246368479,1.677729230561805e-11,1.3115520799100865e-8,11.979332566261276,-38.49774370915218,8.323208707963237e-10,2.698320238439312e-7,13.508972679493377,169,69,-53.39670074705012,1.677729230561805e-11,CCHC-type domain-containing protein;Endogenous retrovirus group K member 5 Gag polyprotein,7.882214459501003
