"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D3BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.8201508525,12.54939651375,126.303903780425,2.74619974780239e-13,2.31477176742264e-09,20.424415266601,"TSP1_HUMAN",52,142.734485670449,2.62668603304316e-14,2.21403365725208e-10,3.8201508525,"Up in D3BM",9.65481578135804,"THBS1","TSP1_HUMAN"
1.1876668925,14.94101953375,68.9585924307264,2.11451379710768e-11,1.51516838570836e-08,17.1144918946472,"THRB_HUMAN",47,100.827354883476,3.68195821174817e-13,1.18664369730708e-09,1.1876668925,"Up in D3BM",8.92567966311982,"F2","THRB_HUMAN"
2.16049099,11.396510125,82.5603501571372,5.81083957247768e-12,1.08447490849601e-08,18.2308627274602,"AGRIN_HUMAN",69,98.1336423368327,4.52269035851071e-13,1.18664369730708e-09,2.16049099,"Up in D3BM",8.92567966311982,"AGRN","AGRIN_HUMAN"
2.4300630075,16.13831388875,83.4601911235534,5.37592023942318e-12,1.08447490849601e-08,18.2949081733406,"TRFE_HUMAN",55,95.3413967307538,5.63124307655512e-13,1.18664369730708e-09,2.4300630075,"Up in D3BM",8.92567966311982,"TF","TRFE_HUMAN"
-1.654539345,12.312110545,-76.2378018441624,1.02927978027857e-11,1.08447490849601e-08,17.7487010450684,"ABHD2_HUMAN",29,-87.8830699266694,1.04531112665004e-12,1.54447316389314e-09,-1.654539345,"Up in D1CM",8.81121963341263,"ABHD2","ABHD2_HUMAN"
1.13213277,15.3029547925,62.9698328093169,4.05706877741081e-11,1.58814589764136e-08,16.5169456586421,"PH4H_HUMAN",41,85.6540378300402,1.27047177682023e-12,1.54447316389314e-09,1.13213277,"Up in D3BM",8.81121963341263,"PAH","PH4H_HUMAN"
1.59063792,16.173527835,72.0256799167421,1.54749768630172e-11,1.44931755531524e-08,17.3930173834321,"APOE_HUMAN",35,85.5466386184999,1.28263283275026e-12,1.54447316389314e-09,1.59063792,"Up in D3BM",8.81121963341263,"APOE","APOE_HUMAN"
1.76607704125,10.722331046875,77.8335291136705,8.87115932974331e-12,1.08447490849601e-08,17.8759594628864,"ALDR_HUMAN",20,81.1472207641495,1.91511219572816e-12,2.01781008722408e-09,1.76607704125,"Up in D3BM",8.69511971121697,"AKR1B1","ALDR_HUMAN"
1.818472385,12.74871421,65.0656826743367,3.20797104691357e-11,1.54585014181882e-08,16.7346951902625,"A0AAG2UXZ5_HUMAN",37,73.2014863726102,4.18728657639772e-12,3.13646641498521e-09,1.818472385,"Up in D3BM",8.50355935849001,"COL18A1","A0AAG2UXZ5_HUMAN"
2.350206372,10.6886460765,69.4355781001952,2.01249632004194e-11,1.51516838570836e-08,17.1589566600396,"MFGM_HUMAN",22,72.706177229578,4.40872828174149e-12,3.13646641498521e-09,2.350206372,"Up in D3BM",8.50355935849001,"MFGE8","MFGM_HUMAN"
3.464419125,16.4582453975,68.2972204746928,2.26586495436499e-11,1.51516838570836e-08,17.0521136206722,"FIBA_HUMAN",58,72.5949357636655,4.46026551818975e-12,3.13646641498521e-09,3.464419125,"Up in D3BM",8.50355935849001,"FGA","FIBA_HUMAN"
2.5418939625,13.97873306375,83.4349770025306,5.3875903035608e-12,1.08447490849601e-08,18.2931282000007,"SCD_HUMAN",11,72.584252914428,4.46525056113686e-12,3.13646641498521e-09,2.5418939625,"Up in D3BM",8.50355935849001,"SCD","SCD_HUMAN"
3.1445975325,12.04569387375,68.0042113760765,2.33683580664475e-11,1.51516838570836e-08,17.0242051064789,"APOA5_HUMAN",27,71.3601125331978,5.08057033568593e-12,3.23756009347514e-09,3.1445975325,"Up in D3BM",8.48978216174546,"APOA5","APOA5_HUMAN"
-1.3575432325,11.31452047875,-62.6577591818626,4.20422876886642e-11,1.58814589764136e-08,16.4836771358507,"GBP4_HUMAN",26,-70.4516328510477,5.5994477996757e-12,3.23756009347514e-09,-1.3575432325,"Up in D1CM",8.48978216174546,"GBP4","GBP4_HUMAN"
1.681809425,12.0612566475,63.7104075193978,3.73074245861197e-11,1.58814589764136e-08,16.5950053940443,"KNG1_HUMAN",26,69.4599802086163,6.23546579664791e-12,3.23756009347514e-09,1.681809425,"Up in D3BM",8.48978216174546,"KNG1","KNG1_HUMAN"
