"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2BM_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-3.048786165,11.87128234,-107.791616060887,1.06954300635736e-12,7.71419527616714e-09,18.8896591712147,"APOA4_HUMAN",29,-119.876933080027,1.38094767707306e-13,8.43721502403699e-10,-3.048786165,"Up in D2BM",9.0738008826739,"APOA4","APOA4_HUMAN"
1.877266645,13.535570265,82.5366905489568,7.13728669620463e-12,1.50400473905772e-08,17.673941730533,"EPIPL_HUMAN",173,113.983698665644,2.01508412119864e-13,8.43721502403699e-10,1.877266645,"Up in D8BM",9.0738008826739,"EPPK1","EPIPL_HUMAN"
2.3320236225,13.43108177125,99.9471697393581,1.83039394380523e-12,7.71419527616714e-09,18.5744033215659,"HRG_HUMAN",22,108.076184734352,3.00292384293641e-13,8.43721502403699e-10,2.3320236225,"Up in D8BM",9.0738008826739,"HRG","HRG_HUMAN"
1.19040012,15.8408088675,56.8259463338238,1.01234403002574e-10,1.12523794813376e-07,15.5368708950545,"DPYL2_HUMAN",35,71.5856713698679,6.57851423927222e-12,1.15465031844143e-08,1.19040012,"Up in D8BM",7.93754952033013,"DPYSL2","DPYL2_HUMAN"
2.319361925,11.9912441975,66.3857510457368,3.35471690280523e-11,5.65538175474906e-08,16.4827449681843,"MUC18_HUMAN",25,70.7300115635362,7.19852939180761e-12,1.15465031844143e-08,2.319361925,"Up in D8BM",7.93754952033013,"MCAM","MUC18_HUMAN"
1.12019777500001,16.894743205,49.8539548083009,2.56392368458284e-10,1.13743751249204e-07,14.6885575044364,"FAS_HUMAN",166,69.4889359571407,8.21912671805504e-12,1.15465031844143e-08,1.12019777500001,"Up in D8BM",7.93754952033013,"FASN","FAS_HUMAN"
-1.3251709975,13.36784958625,-55.1470792492288,1.2525974070386e-10,1.12523794813376e-07,15.3464194856133,"TFR1_HUMAN",38,-66.4046881869225,1.15474952706902e-11,1.33663530164089e-08,-1.3251709975,"Up in D2BM",7.87398707298534,"TFRC","TFR1_HUMAN"
1.5526337625,14.19020080625,55.8759418910966,1.14109310446238e-10,1.12523794813376e-07,15.4301035029677,"VILI_HUMAN",48,65.5760332931423,1.26860628937325e-11,1.33663530164089e-08,1.5526337625,"Up in D8BM",7.87398707298534,"VIL1","VILI_HUMAN"
1.2868306675,13.51106011875,52.2515520720537,1.83699889350995e-10,1.12523794813376e-07,14.9979482740198,"PFKAP_HUMAN",36,61.9028609426276,1.9533273372899e-11,1.82939956955739e-08,1.2868306675,"Up in D8BM",7.73769142743687,"PFKP","PFKAP_HUMAN"
3.10221362,12.0786079175,85.2617033350643,5.66563706648296e-12,1.50400473905772e-08,17.8368314280635,"SPP24_HUMAN",7,60.5548715352419,2.30334581773744e-11,1.94149018977089e-08,3.10221362,"Up in D8BM",7.71186479957538,"SPP2","SPP24_HUMAN"
