"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5B_vs_D5BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-2.6791224525,13.41421842625,-43.6660590151189,5.04205030861571e-10,3.98356438978653e-06,10.7852824737876,"HBSAG_HBVD3",7,-39.4866078136512,3.61052734174997e-10,1.90405177416598e-06,-2.6791224525,"Up in D5B",5.72032124664016,"S","HBSAG_HBVD3"
-3.3766467575,11.94890010375,-40.0167133046855,9.45204505821932e-10,3.98356438978653e-06,10.5753239106341,"CAPSD_HBVD3",7,-38.3484444023041,4.51785923399212e-10,1.90405177416598e-06,-3.3766467575,"Up in D5B",5.72032124664016,"C","CAPSD_HBVD3"
-0.722134109999999,12.62404108,-31.9774345170411,4.74106251306327e-09,1.33208053075368e-05,9.91096400663537,"RIR2B_HUMAN",23,-34.5029870356247,1.01497785931929e-09,2.85174945873411e-06,-0.722134109999999,"Up in D5B",5.54488863221037,"RRM2B","RIR2B_HUMAN"
1.20854413475,7.560039341375,19.5826896460408,1.58040042503904e-07,0.000333029879566353,7.7818524372122,"SMC5_HUMAN",24,20.3526663278912,5.67039179672188e-08,0.000119489331136422,1.20854413475,"Up in D5BM",3.9226708699077,"SMC5","SMC5_HUMAN"
-1.082374098,10.4522583485,-18.9253553950904,2.01420708420113e-07,0.000339555030254627,7.60038578266228,"DDB2_HUMAN",17,-19.388795263541,8.18594370441349e-08,0.000137998638969003,-1.082374098,"Up in D5B",3.86012519686809,"DDB2","DDB2_HUMAN"
-0.4096753625,11.47095024625,-16.0146874296664,6.56625127747628e-07,0.000790670457397822,6.65983357138555,"FBX22_HUMAN",21,-16.8155084217044,2.39526771337875e-07,0.000333729901854212,-0.4096753625,"Non-significant",3.47660487926522,"FBXO22","FBX22_HUMAN"
1.041322231,8.83172273625,17.0922096628079,4.14600519866648e-07,0.000582444630325997,7.03653327705846,"NSE2_HUMAN",9,16.2689372320236,3.07001418704966e-07,0.000333729901854212,1.041322231,"Up in D5BM",3.47660487926522,"NSMCE2","NSE2_HUMAN"
-0.300332067500005,12.82692480125,-13.3181420547318,2.39341344169159e-06,0.001551428794514,5.5344609702555,"HS74L_HUMAN",51,-16.2013409375502,3.16744479159295e-07,0.000333729901854212,-0.300332067500005,"Non-significant",3.47660487926522,"HSPA4L","HS74L_HUMAN"
0.396320342499996,11.13408708375,13.2530013172402,2.47666334984821e-06,0.001551428794514,5.50350994659642,"AKA12_HUMAN",65,15.0510441328737,5.49816224197744e-07,0.000514933439306976,0.396320342499996,"Non-significant",3.28824890457022,"AKAP12","AKA12_HUMAN"
0.589265345000001,11.9550070775,14.216217860185,1.51677867355329e-06,0.00127849274393807,5.94171860478565,"RCN2_HUMAN",19,14.6417257593465,6.75501264096819e-07,0.000569380015507209,0.589265345000001,"Up in D5BM",3.24459778008905,"RCN2","RCN2_HUMAN"
-0.234262942500004,14.19561386125,-11.7304593756503,5.77670962335556e-06,0.0022473511085866,4.71948886115066,"ADRO_HUMAN",36,-14.3037250638305,8.03974367695546e-07,0.000616063631391432,-0.234262942500004,"Non-significant",3.21037442852556,"FDXR","ADRO_HUMAN"
-0.737704514500001,10.26425182775,-13.8348835539134,1.8346988313126e-06,0.00140587967719399,5.77311509968343,"TRI22_HUMAN",15,-14.01147325762,9.37525128038911e-07,0.000658533275353331,-0.737704514500001,"Up in D5B",3.18142227546724,"TRIM22","TRI22_HUMAN"
0.252624035000002,13.8563263425,11.3491586941196,7.2549075373593e-06,0.00244606462529606,4.50326084849714,"VIME_HUMAN",47,13.7686026351607,1.067681755297e-06,0.000692268424261418,0.252624035000002,"Non-significant",3.15972547697121,"VIM","VIME_HUMAN"
-0.338020800000002,12.1913220875,-12.0751452004361,4.72847891877615e-06,0.00209770256875601,4.90773408935335,"PLIN2_HUMAN",27,-13.0975500006029,1.54663069005446e-06,0.000815136396164595,-0.338020800000002,"Non-significant",3.08876971500801,"PLIN2","PLIN2_HUMAN"
-0.222415925000004,17.36504221,-10.1049741872746,1.60605589093814e-05,0.00410225609233866,3.7336375387787,"FAS_HUMAN",166,-13.0448262478689,1.5935037881791e-06,0.000815136396164595,-0.222415925000004,"Non-significant",3.08876971500801,"FASN","FAS_HUMAN"
-0.277975082499999,9.40717267975,-12.5143966436723,3.69099461617148e-06,0.00172841075665052,5.13820583062448,"SRPK1_HUMAN",20,-13.0302788540978,1.60671662321692e-06,0.000815136396164595,-0.277975082499999,"Non-significant",3.08876971500801,"SRPK1","SRPK1_HUMAN"
