"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3B_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8BM_vs_D3B"
-1.303109885,13.822648645,-65.1329642740653,3.47561493817296e-11,1.47656677984167e-07,15.8457687413683,"EPIPL_HUMAN",173,102.822979952507,3.17271847245402e-13,2.6742844004315e-09,1.303109885,"Up in D8BM",8.57279240897747,"EPPK1","EPIPL_HUMAN",-1.303109885
-1.3994534025,13.89736688125,-61.7302465367029,5.09820619945325e-11,1.47656677984167e-07,15.5886940246403,"HRG_HUMAN",22,66.1198955614049,9.06331422248528e-12,3.81973377906642e-08,1.3994534025,"Up in D8BM",7.41796690470908,"HRG","HRG_HUMAN",-1.3994534025
1.517608405,11.10569346,51.390893265669,1.88630454479162e-10,3.17993220160972e-07,14.6281518655556,"APOA4_HUMAN",29,-56.6311533022547,2.93534287109433e-11,8.24733502015138e-08,-1.517608405,"Up in D3B",7.08368636333091,"APOA4","APOA4_HUMAN",1.517608405
-1.65877223,13.1611224425,-59.1275078753004,6.9338914586438e-11,1.47656677984167e-07,15.3742231969839,"IL18_HUMAN",13,52.100138097713,5.52421046117463e-11,1.03631463699742e-07,1.65877223,"Up in D8BM",6.98450836778946,"IL18","IL18_HUMAN",-1.65877223
-1.9145927425,12.19362878875,-48.6172576311742,2.80216137032826e-10,3.93656969841614e-07,14.313773198351,"MUC18_HUMAN",25,51.370767797775,6.14731662710535e-11,1.03631463699742e-07,1.9145927425,"Up in D8BM",6.98450836778946,"MCAM","MUC18_HUMAN",-1.9145927425
-1.1575455675,14.38774490375,-41.5916698240344,8.52552142319827e-10,7.98462445290425e-07,13.3764188842147,"VILI_HUMAN",48,48.8664401677791,8.9784220888165e-11,1.26131866311057e-07,1.1575455675,"Up in D8BM",6.89917517817953,"VIL1","VILI_HUMAN",-1.1575455675
-1.241036655,13.6707888825,-42.8081448046725,6.94229959008594e-10,7.63993003301089e-07,13.5550947367566,"HTRA1_HUMAN",27,46.812008415661,1.24321253966552e-10,1.49700549954867e-07,1.241036655,"Up in D8BM",6.82477660418651,"HTRA1","HTRA1_HUMAN",-1.241036655
-1.06443428875,10.225887655625,-42.5475304815457,7.25109031487568e-10,7.63993003301089e-07,13.5174467083954,"SCMC1_HUMAN",22,45.2522772965905,1.60707092137263e-10,1.69325009953124e-07,1.06443428875,"Up in D8BM",6.77127889019326,"SLC25A24","SCMC1_HUMAN",-1.06443428875
-0.899062394999998,11.011120915,-38.1547660197689,1.57588893866852e-09,9.56145980669983e-07,12.8281477107513,"ITA2_HUMAN",31,44.5039148424819,1.82343609564137e-10,1.70774920557346e-07,0.899062394999998,"Up in D8BM",6.76757590802223,"ITGA2","ITA2_HUMAN",-0.899062394999998
0.842374799999998,12.9640278825,39.6228401876928,1.20435992359606e-09,9.22868163271927e-07,13.0706013834045,"OAT_HUMAN",22,-42.6738360965922,2.50606956328078e-10,1.84652156235446e-07,-0.842374799999998,"Up in D3B",6.73364561660391,"OAT","OAT_HUMAN",0.842374799999998
