"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D5BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D5BM_vs_D1CM"
-3.758977415,12.518809795,-123.995428775837,2.91592437928717e-13,2.45783265930116e-09,20.6860094406758,"TSP1_HUMAN",52,139.771552349046,2.17423636832167e-14,1.83266383485834e-10,3.758977415,"Up in D5BM",9.73691719027788,"THBS1","TSP1_HUMAN",-3.758977415
-1.860286,15.853425385,-86.9934615865654,3.74125682370341e-12,5.560985096421e-09,18.731600064388,"TRFE_HUMAN",55,109.643969083006,1.40857376517714e-13,3.89284213311418e-10,1.860286,"Up in D5BM",9.40973320792004,"TF","TRFE_HUMAN",-1.860286
-2.853760242,10.9404230115,-98.9599681455995,1.47931306659134e-12,5.560985096421e-09,19.493756392215,"MFGM_HUMAN",22,104.096213307064,2.10042967259026e-13,3.89284213311418e-10,2.853760242,"Up in D5BM",9.40973320792004,"MFGE8","MFGM_HUMAN",-2.853760242
-1.26736855,11.6658533825,-68.5330797674303,2.08208439918922e-11,9.05072300078643e-09,17.1910519106241,"FAT1_HUMAN",154,103.333950222661,2.2226444939605e-13,3.89284213311418e-10,1.26736855,"Up in D5BM",9.40973320792004,"FAT1","FAT1_HUMAN",-1.26736855
-1.9755249,12.8272404675,-87.3568561027411,3.630659890428e-12,5.560985096421e-09,18.7570881716563,"A0AAG2UXZ5_HUMAN",37,102.822223236487,2.30919571308232e-13,3.89284213311418e-10,1.9755249,"Up in D5BM",9.40973320792004,"COL18A1","A0AAG2UXZ5_HUMAN",-1.9755249
-1.5390000325,17.08493542625,-77.7056576166163,8.43234579179359e-12,5.560985096421e-09,18.021615183252,"VTNC_HUMAN",29,90.7473038091741,6.03811099587081e-13,6.64112094846827e-10,1.5390000325,"Up in D5BM",9.1777586102936,"VTN","VTNC_HUMAN",-1.5390000325
-2.22966814,11.4310987,-78.3478985708783,7.94733302562402e-12,5.560985096421e-09,18.0746060085414,"AGRIN_HUMAN",69,90.53219215154,6.14937207173586e-13,6.64112094846827e-10,2.22966814,"Up in D5BM",9.1777586102936,"AGRN","AGRIN_HUMAN",-2.22966814
2.5445621,13.2945927375,83.2366498607413,5.1406796988309e-12,5.560985096421e-09,18.4584337242152,"PLIN2_HUMAN",27,-89.6031079113949,6.65728492332347e-13,6.64112094846827e-10,-2.5445621,"Up in D1CM",9.1777586102936,"PLIN2","PLIN2_HUMAN",2.5445621
-1.8155252925,16.28597152125,-76.9480142317166,9.04841303267046e-12,5.560985096421e-09,17.9582957138922,"APOE_HUMAN",35,88.8710180463918,7.09100587687916e-13,6.64112094846827e-10,1.8155252925,"Up in D5BM",9.1777586102936,"APOE","APOE_HUMAN",-1.8155252925
1.9317209675,15.48982226875,80.9184094660214,6.29964665783086e-12,5.560985096421e-09,18.2806170628852,"AACT_HUMAN",24,-87.4933151046004,7.99665137890272e-13,6.7403774472771e-10,-1.9317209675,"Up in D1CM",9.17131578318577,"SERPINA3","AACT_HUMAN",1.9317209675
-1.8679616475,11.49952614375,-83.5010722113948,5.0246492443412e-12,5.560985096421e-09,18.478254771943,"GBA3_HUMAN",18,83.3930949807102,1.15680763414068e-12,8.86430140742892e-10,1.8679616475,"Up in D5BM",9.05235548531446,"GBA3","GBA3_HUMAN",-1.8679616475
-3.5009212525,12.22385573375,-77.7292241119684,8.41396367713087e-12,5.560985096421e-09,18.0235706568001,"APOA5_HUMAN",27,81.8357433629445,1.33732752608721e-12,9.39361143115755e-10,3.5009212525,"Up in D5BM",9.02716740846981,"APOA5","APOA5_HUMAN",-3.5009212525
-2.1622478965,10.41805970675,-76.7284439760037,9.23642085062215e-12,5.560985096421e-09,17.9397798325332,"PRS23_HUMAN",17,76.5151420192388,2.24283023850593e-12,1.36747185348777e-09,2.1622478965,"Up in D5BM",8.86408160393475,"PRSS23","PRS23_HUMAN",-2.1622478965
1.05638075,13.67752266,56.3943708364613,8.46151974913975e-11,1.75571609703612e-08,15.8313727216463,"HS105_HUMAN",48,-75.2657184076046,2.54558045768587e-12,1.36747185348777e-09,-1.05638075,"Up in D1CM",8.86408160393475,"HSPH1","HS105_HUMAN",1.05638075
-1.1457746,14.934188725,-55.3165482055275,9.72082802664432e-11,1.82638489571126e-08,15.6928113902956,"FLNA_HUMAN",152,75.2281430859222,2.55537527504917e-12,1.36747185348777e-09,1.1457746,"Up in D5BM",8.86408160393475,"FLNA","FLNA_HUMAN",-1.1457746
