"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3BM_vs_D5BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
0.711080787499998,11.94399726375,35.1928804203434,2.64758208449646e-09,3.71941156503677e-06,12.0915213840761,"FAT1_HUMAN",154,50.1165873006055,7.41400965892897e-11,3.42766859164928e-07,0.711080787499998,"Up in D5BM",6.4650011750148,"FAT1","FAT1_HUMAN"
-1.50316048,11.2795844075,-45.5967178149233,4.15670107019101e-10,3.503683332064e-06,13.4837589018751,"APOA4_HUMAN",29,-49.1937328070847,8.5355056531971e-11,3.42766859164928e-07,-1.50316048,"Up in D3BM",6.4650011750148,"APOA4","APOA4_HUMAN"
0.630732300000002,14.091397165,33.917814994671,3.44566693925749e-09,4.14907523300019e-06,11.8744375240593,"VILI_HUMAN",48,46.9288318194869,1.21995560267503e-10,3.42766859164928e-07,0.630732300000002,"Up in D5BM",6.4650011750148,"VIL1","VILI_HUMAN"
-0.801997665,13.3469460025,-37.1009100531537,1.81580247540336e-09,3.71941156503677e-06,12.3944447466799,"TFR1_HUMAN",38,-45.1785003483699,1.62705694284253e-10,3.42861574280492e-07,-0.801997665,"Up in D3BM",6.46488118508936,"TFRC","TFR1_HUMAN"
1.52343154,11.83933246,40.3710389091243,9.92823816803044e-10,3.71941156503677e-06,12.8593557460066,"MUC18_HUMAN",25,42.6104878462313,2.53441770196533e-10,3.93021669407819e-07,1.52343154,"Up in D5BM",6.4055835039635,"MCAM","MUC18_HUMAN"
0.730410812500001,13.39285624125,36.2900728292925,2.12630495844328e-09,3.71941156503677e-06,12.2687832782343,"HTRA1_HUMAN",27,42.057993465945,2.79763912260875e-10,3.93021669407819e-07,0.730410812500001,"Up in D5BM",6.4055835039635,"HTRA1","HTRA1_HUMAN"
-0.991328240000001,12.7286150475,-36.0651769582642,2.22284685471148e-09,3.71941156503677e-06,12.2331391275757,"PCKGC_HUMAN",38,-40.9036036614103,3.45374841231509e-10,4.1588064810577e-07,-0.991328240000001,"Up in D3BM",6.38103128789766,"PCK1","PCKGC_HUMAN"
0.452994822500001,15.28057861375,24.4253083173923,3.57071070827236e-08,1.35345963093444e-05,9.7763995158056,"FLNA_HUMAN",152,38.1906857747053,5.80522008276377e-10,6.11652500970198e-07,0.452994822500001,"Non-significant",6.21349524415071,"FLNA","FLNA_HUMAN"
0.958747385000002,13.5325253,31.4347950563304,5.92717537418282e-09,4.264418737842e-06,11.414082881957,"EPIPL_HUMAN",173,36.4030285864944,8.3421730251385e-10,7.81290849209915e-07,0.958747385000002,"Up in D5BM",6.10718726229085,"EPPK1","EPIPL_HUMAN"
1.6670768265,10.51583397425,32.5185318607125,4.65421508219068e-09,4.264418737842e-06,11.6214505072431,"FSTL1_HUMAN",17,33.150342795333,1.6923127369098e-09,1.42645040594127e-06,1.6670768265,"Up in D5BM",5.84574332306085,"FSTL1","FSTL1_HUMAN"
