"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-3.312049865,12.683363675,-155.402888171781,6.3040281692891e-14,5.31366534389378e-10,21.1949370772516,"TSP1_HUMAN",52,-203.959284515081,1.1853866684168e-15,9.99162422808524e-12,-3.312049865,"Up in D2B",11.0003639075741,"THBS1","TSP1_HUMAN"
2.0934894125,14.54464709625,87.5367975369217,3.87342471557386e-12,9.37825165329333e-09,18.5487197425879,"VILI_HUMAN",48,107.431057212551,1.64786778682067e-13,6.50400467874123e-10,2.0934894125,"Up in D8C",9.18681915499843,"VIL1","VILI_HUMAN"
2.75093174025,9.438057899875,85.8582217169028,4.45046940481354e-12,9.37825165329333e-09,18.4376406861583,"FLNC_HUMAN",88,99.095100106595,3.06792777320804e-13,6.50400467874123e-10,2.75093174025,"Up in D8C",9.18681915499843,"FLNC","FLNC_HUMAN"
-3.79736518875,11.319836378125,-89.7887659166074,3.22828124289098e-12,9.37825165329333e-09,18.6924897257929,"PGBM_HUMAN",175,-99.0174475082667,3.08648934807983e-13,6.50400467874123e-10,-3.79736518875,"Up in D2B",9.18681915499843,"HSPG2","PGBM_HUMAN"
1.65879822,13.7520167825,75.2186104119997,1.14933505857954e-11,9.68774520876694e-09,17.6458823211294,"PFKAP_HUMAN",36,91.3343812468928,5.7458558899354e-13,9.68636385925309e-10,1.65879822,"Up in D8C",9.01383922111461,"PFKP","PFKAP_HUMAN"
-2.74499368675,10.995271444125,-79.3180875395266,7.85565362385789e-12,9.53241792530562e-09,17.9701318375747,"PIGR_HUMAN",36,-87.1093792954836,8.27182786104974e-13,1.05717064266928e-09,-2.74499368675,"Up in D2B",8.97585490560821,"PIGR","PIGR_HUMAN"
2.00870704575,10.225548982125,76.5402990826059,1.01438521708326e-11,9.53241792530562e-09,17.7532602746909,"EPHA2_HUMAN",28,84.9942473072588,9.99367823131467e-13,1.05717064266928e-09,2.00870704575,"Up in D8C",8.97585490560821,"EPHA2","EPHA2_HUMAN"
-1.2255966675,15.08041727625,-59.6029246965081,6.09317148061909e-11,2.29274862094414e-08,16.1314085699272,"CO4B_HUMAN",87,-84.9501530290633,1.00336518464281e-12,1.05717064266928e-09,-1.2255966675,"Up in D2B",8.97585490560821,"C4B","CO4B_HUMAN"
2.85945498725,9.395650683875,76.5042608645454,1.01781660134951e-11,9.53241792530562e-09,17.750369118085,"TRFM_HUMAN",35,83.1532041063831,1.18272849854437e-12,1.10769094602561e-09,2.85945498725,"Up in D8C",8.95558139408249,"MELTF","TRFM_HUMAN"
3.46296835,12.4342558375,77.7205766057596,9.08964834398511e-12,9.53241792530562e-09,17.8468351316207,"MUC18_HUMAN",25,81.800038483495,1.34182417676262e-12,1.12405626900246e-09,3.46296835,"Up in D8C",8.94921194792567,"MCAM","MUC18_HUMAN"
