"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2B_vs_D3B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
0.632034777500003,16.69665265125,42.2418114848375,6.78780255928526e-10,1.37022984091544e-06,13.2961032882859,"FAS_HUMAN",166,69.6220848271716,4.63542868840251e-12,3.90720284145448e-08,0.632034777500003,"Up in D3B",7.40813404190097,"FASN","FAS_HUMAN"
-1.450769185,12.589882255,-52.8466478726755,1.35889750418281e-10,7.12160540808205e-07,14.4366718084006,"APOA4_HUMAN",29,-56.8626921056496,2.19727358666071e-11,8.60243727187453e-08,-1.450769185,"Up in D2B",7.06537848552808,"APOA4","APOA4_HUMAN"
0.873526572499999,12.76087689375,51.2677996939984,1.68978654836447e-10,7.12160540808205e-07,14.2934904986846,"HRG_HUMAN",22,54.4595011283,3.06172877157712e-11,8.60243727187453e-08,0.873526572499999,"Up in D3B",7.06537848552808,"HRG","HRG_HUMAN"
-0.689848897499999,15.29524040375,-41.1052061300338,8.25518869634273e-10,1.37022984091544e-06,13.1445868418139,"AACT_HUMAN",24,-44.9981248370648,1.32535777706068e-10,2.79286017571112e-07,-0.689848897499999,"Up in D2B",6.55395080666819,"SERPINA3","AACT_HUMAN"
-0.367352959999998,13.5473840225,-27.356453768522,1.52360734002362e-08,6.42124313452955e-06,10.6116387465698,"HS105_HUMAN",48,-42.6057106345462,2.01545042677495e-10,2.85425446451189e-07,-0.367352959999998,"Non-significant",6.54450731096665,"HSPH1","HS105_HUMAN"
0.506977557499999,15.52543950125,32.5668297909065,4.38017267526142e-09,3.69204754797785e-06,11.7527082606724,"PH4H_HUMAN",41,42.5610260762978,2.03173885242275e-10,2.85425446451189e-07,0.506977557499999,"Up in D3B",6.54450731096665,"PAH","PH4H_HUMAN"
-0.729012965000003,13.324409485,-39.306614095146,1.13792963416872e-09,1.37022984091544e-06,12.8905043978313,"PAI1_HUMAN",22,-41.5743658807683,2.43219692063668e-10,2.92871254914951e-07,-0.729012965000003,"Up in D2B",6.53332325189108,"SERPINE1","PAI1_HUMAN"
0.341401575000003,14.787271975,24.8538549903481,3.02093165740127e-08,8.48781098007843e-06,9.9548827750757,"DPP4_HUMAN",42,35.964724961236,7.38703185961208e-10,7.35328124769799e-07,0.341401575000003,"Non-significant",6.13351882285087,"DPP4","DPP4_HUMAN"
0.492829322499997,17.72645282625,28.2172439892853,1.22115606405305e-08,6.42124313452955e-06,10.8196624169385,"GATM_HUMAN",48,35.6601211602428,7.88426035248245e-10,7.35328124769799e-07,0.492829322499997,"Non-significant",6.13351882285087,"GATM","GATM_HUMAN"
1.6111872175,11.28917276875,43.1620766941857,5.81509749366628e-10,1.37022984091544e-06,13.4139682604208,"SPP24_HUMAN",7,35.1920356355795,8.72378840633289e-10,7.35328124769799e-07,1.6111872175,"Up in D3B",6.13351882285087,"SPP2","SPP24_HUMAN"
