"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D3B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D3B_vs_D1CM"
-3.90332556,12.5909838675,-156.532071214769,5.59658040550789e-14,4.7173576238026e-10,21.6314680452941,"TSP1_HUMAN",52,178.521855873665,3.3054940742397e-15,2.78620095517664e-11,3.90332556,"Up in D3B",10.5549875632254,"THBS1","TSP1_HUMAN",-3.90332556
-1.6318624,16.194140075,-107.883291691635,8.14420594103264e-13,1.91095672103784e-09,19.9209036997795,"APOE_HUMAN",35,139.175847902427,2.2469039899366e-14,6.5177138376944e-11,1.6318624,"Up in D3B",10.1859047112901,"APOE","APOE_HUMAN",-1.6318624
-2.2414762975,16.04402053375,-113.056758893893,5.81464576775224e-13,1.91095672103784e-09,20.1662534066984,"TRFE_HUMAN",55,138.600167283341,2.31974629411356e-14,6.5177138376944e-11,2.2414762975,"Up in D3B",10.1859047112901,"TF","TRFE_HUMAN",-2.2414762975
-1.883193015,12.781074525,-100.457270540201,1.36027290618425e-12,1.91095672103784e-09,19.5317606750478,"A0AAG2UXZ5_HUMAN",37,119.738658158421,7.15175157940023e-14,1.50705285156911e-10,1.883193015,"Up in D3B",9.82187151693398,"COL18A1","A0AAG2UXZ5_HUMAN",-1.883193015
-2.391400095,11.849120975,-103.901413088705,1.06739975585423e-12,1.91095672103784e-09,19.7180008634412,"ATTY_HUMAN",25,111.698478927916,1.22104944980426e-13,2.05844516248002e-10,2.391400095,"Up in D3B",9.6864606982315,"TAT","ATTY_HUMAN",-2.391400095
2.963835,13.0849562875,101.106668559716,1.29866958787733e-12,1.91095672103784e-09,19.5676744762379,"PLIN2_HUMAN",27,-107.837051236726,1.6007226552165e-13,2.24874854346997e-10,-2.963835,"Up in D1CM",9.64805910494185,"PLIN2","PLIN2_HUMAN",2.963835
-2.2438611975,11.43819522875,-87.9689595217924,3.53379381757501e-12,4.25519258404854e-09,18.7602107154729,"AGRIN_HUMAN",69,101.039745649355,2.64180912921603e-13,3.18111559288028e-10,2.2438611975,"Up in D3B",9.49742054955408,"AGRN","AGRIN_HUMAN",-2.2438611975
-1.20848012,14.9514261475,-71.0530052521161,1.6407624444272e-11,9.93380026067793e-09,17.4051655087687,"THRB_HUMAN",47,91.9500247598256,5.456422339224e-13,5.74902298716488e-10,1.20848012,"Up in D3B",9.240405954847,"F2","THRB_HUMAN",-1.20848012
-1.6921145925,12.06640923125,-78.9055629572362,7.72287832059933e-12,7.23290459603686e-09,18.0864133391827,"KNG1_HUMAN",26,85.9787289717982,9.14640146710325e-13,8.56611310735703e-10,1.6921145925,"Up in D3B",9.06721619545699,"KNG1","KNG1_HUMAN",-1.6921145925
-1.0420398725,15.25790834375,-64.5547639381197,3.26895256425831e-11,1.26331655935991e-08,16.757772843275,"PH4H_HUMAN",41,83.7940699180668,1.11490124041934e-12,8.92094170813313e-10,1.0420398725,"Up in D3B",9.04958929841997,"PAH","PH4H_HUMAN",-1.0420398725
-2.4156844595,10.72138512025,-79.8006903725066,7.1212644120228e-12,7.23290459603686e-09,18.1579386132767,"MFGM_HUMAN",22,83.3240728802258,1.16419929753784e-12,8.92094170813313e-10,2.4156844595,"Up in D3B",9.04958929841997,"MFGE8","MFGM_HUMAN",-2.4156844595
1.340194465,11.3231948625,73.2940247510793,1.31252149246705e-11,9.21936971667064e-09,17.6099925301715,"GBP4_HUMAN",26,-81.5622036290422,1.37221649076162e-12,9.6386773338581e-10,-1.340194465,"Up in D1CM",9.01598255800773,"GBP4","GBP4_HUMAN",1.340194465
-3.29188967,12.1193399425,-75.0681559857165,1.10519181208792e-11,9.21936971667064e-09,17.7660556672386,"APOA5_HUMAN",27,78.7004672965201,1.8060670948263e-12,1.14239009516198e-09,3.29188967,"Up in D3B",8.94218557100483,"APOA5","APOA5_HUMAN",-3.29188967
-1.055812835,16.8433418275,-66.0003088695853,2.78801390937802e-11,1.26331655935991e-08,16.9091406351527,"VTNC_HUMAN",29,78.1971171122246,1.89743283097256e-12,1.14239009516198e-09,1.055812835,"Up in D3B",8.94218557100483,"VTN","VTNC_HUMAN",-1.055812835
0.842005492499997,13.78471028875,55.0078746149097,1.03208277569699e-10,1.97714220826135e-08,15.6339564578238,"HS105_HUMAN",48,-76.8177212017255,2.17577434509938e-12,1.22264013032284e-09,-0.842005492499997,"Up in D1CM",8.91270135360452,"HSPH1","HS105_HUMAN",0.842005492499997
-1.87944364625,10.779014349375,-73.7213713142859,1.25880048899554e-11,9.21936971667064e-09,17.6480650752834,"ALDR_HUMAN",20,76.0607048871924,2.34797259717811e-12,1.23694131385089e-09,1.87944364625,"Up in D3B",8.90765090479717,"AKR1B1","ALDR_HUMAN",-1.87944364625
0.869114397500001,10.41637372875,53.0845030872178,1.3326449903656e-10,2.05767808899963e-08,15.3776122959052,"RPA1_HUMAN",68,-74.4977962575716,2.75447472957256e-12,1.36573338209218e-09,-0.869114397500001,"Up in D1CM",8.86463407516965,"POLR1A","RPA1_HUMAN",0.869114397500001
-3.43381190375,10.643182635625,-70.9979049337805,1.64993716513811e-11,9.93380026067793e-09,17.4000172553735,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",20,73.3854015401261,3.09232554129173e-12,1.44806733264155e-09,3.43381190375,"Up in D3B",8.83921124372256,"AMY1B;AMY1C;AMY1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",-3.43381190375
