"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1B_vs_D5B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
1.6180067075,12.50338864375,81.6258252419725,5.36795758085434e-12,6.73091195046545e-09,18.3067269849137,"PCSK6_HUMAN",46,107.130782060831,1.68374637292094e-13,7.81933238477481e-10,1.6180067075,"Up in D5B",9.10683032545493,"PCSK6","PCSK6_HUMAN"
2.008827925,13.1792799225,90.4259898204392,2.56025071313418e-12,6.73091195046545e-09,18.9022235632022,"APOA5_HUMAN",27,102.356468312661,2.3912933537589e-13,7.81933238477481e-10,2.008827925,"Up in D5B",9.10683032545493,"APOA5","APOA5_HUMAN"
1.844553945,13.1281981475,78.3968996772593,7.18687952950398e-12,6.73091195046545e-09,18.0624570398544,"EPIPL_HUMAN",173,100.35833187348,2.78301069573193e-13,7.81933238477481e-10,1.844553945,"Up in D5B",9.10683032545493,"EPPK1","EPIPL_HUMAN"
-2.118901495,13.419783235,-79.7184366397614,6.36873446855009e-12,6.73091195046545e-09,18.1642550873774,"PLIN2_HUMAN",27,-87.5799257905233,7.93601439293951e-13,1.04092230143713e-09,-2.118901495,"Up in D1B",8.98258168673967,"PLIN2","PLIN2_HUMAN"
0.909803154999999,14.945112585,51.5254097170127,1.49127331642259e-10,3.50176554046783e-08,15.2597561575399,"FLNA_HUMAN",152,86.360097404333,8.84023520117378e-13,1.04092230143713e-09,0.909803154999999,"Up in D5B",8.98258168673967,"FLNA","FLNA_HUMAN"
-2.21874261249999,15.39518821125,-79.9169033500558,6.25526564754181e-12,6.73091195046545e-09,18.1793216746367,"AACT_HUMAN",24,-85.8159974162809,9.28067651413079e-13,1.04092230143713e-09,-2.21874261249999,"Up in D1B",8.98258168673967,"SERPINA3","AACT_HUMAN"
1.6841449725,11.63813424125,70.6640299587374,1.52251749371871e-11,9.87176919581152e-09,17.4110899323851,"NEP_HUMAN",38,83.2374182510111,1.17355491099606e-12,1.04092230143713e-09,1.6841449725,"Up in D5B",8.98258168673967,"MME","NEP_HUMAN"
4.333806516,10.887388707,102.255763244311,1.05226348488392e-12,6.73091195046545e-09,19.5681205746455,"SPP24_HUMAN",7,81.8173777801473,1.33963834650371e-12,1.04092230143713e-09,4.333806516,"Up in D5B",8.98258168673967,"SPP2","SPP24_HUMAN"
1.799652815,12.6353298425,76.2811078358026,8.75869937799979e-12,7.38270770571602e-09,17.8939739501626,"HRG_HUMAN",22,81.5991366244293,1.36744631595444e-12,1.04092230143713e-09,1.799652815,"Up in D5B",8.98258168673967,"HRG","HRG_HUMAN"
-2.496631385,11.92489779,-74.5003204945793,1.03896522738535e-11,7.96130718330105e-09,17.7466750750653,"PIGR_HUMAN",36,-81.57650797419,1.37036674975266e-12,1.04092230143713e-09,-2.496631385,"Up in D1B",8.98258168673967,"PIGR","PIGR_HUMAN"
