"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
0.561934700556201,20.2827943670567,25.8345914109333,1.83432365180868e-08,6.40362386846411e-05,9.61679397923093,"FINC_HUMAN",89,36.9673440557972,3.84453444327879e-11,2.68425394829725e-07,-0.561934700556204,"Up in BM",6.57117639940952,"FN1","Fibronectin","FINC_HUMAN"
1.21598258124377,17.8552381676975,29.5662280437163,6.88673273819135e-09,4.8083167978052e-05,10.2364547025859,"PGBM_HUMAN",29,33.1128359158921,1.02891357396044e-10,3.5919372866959e-07,-1.21598258124377,"Up in BM",6.44467125448794,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-0.428380214277155,22.5339185000417,-21.941382703714,5.98468307244288e-08,0.000139283524039321,8.77397026105393,"FETA_HUMAN",55,-31.2787436025734,1.7114223149618e-10,3.98305020102111e-07,0.428380214277155,"Non-significant",6.39978421985503,"AFP","Alpha-fetoprotein","FETA_HUMAN"
-0.383835096225742,22.8679705541536,-15.8065337962542,6.31698418437891e-07,0.000538998844540967,6.82089040968785,"FAS_HUMAN",175,-21.8482177002028,4.15849857799584e-09,7.25865926789174e-06,0.383835096225745,"Non-significant",5.13914358953795,"FASN","Fatty acid synthase","FAS_HUMAN"
0.273862956603594,20.1250502281341,12.8884718432895,2.68767318702137e-06,0.000781888924657635,5.47548894139043,"PEPL_HUMAN",100,18.9555875611917,1.45638063525636e-08,2.03368991907198e-05,-0.273862956603597,"Non-significant",4.69171526414774,"PPL","Periplakin","PEPL_HUMAN"
0.353115796782284,20.1500213235147,14.3554098707662,1.25376996069246e-06,0.00055212834452609,6.19555941690445,"AGRIN_HUMAN",48,18.0364919317657,2.25428268441235e-08,2.42803651415602e-05,-0.35311579678228,"Non-significant",4.61474478638705,"AGRN","Agrin","AGRIN_HUMAN"
-0.30101389932798,21.0528822280816,-13.354321111727,2.09201506479083e-06,0.000663929508289525,5.71472030098994,"AL1L1_HUMAN",60,-17.8793195946996,2.43429613278317e-08,2.42803651415602e-05,0.301013899327973,"Non-significant",4.61474478638705,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
0.433132132100216,21.136976084568,15.8256332476532,6.26277158976159e-07,0.000538998844540967,6.8286081962286,"COIA1_HUMAN",26,17.5624989758027,2.84763660663405e-08,2.48527484843987e-05,-0.433132132100216,"Non-significant",4.60462557531688,"COL18A1","Collagen alpha-1(XVIII) chain","COIA1_HUMAN"
-0.487151713947132,20.1572752276287,-15.5519570109439,7.09279182765451e-07,0.000538998844540967,6.71680584614973,"CP51A_HUMAN",18,-16.0532836363885,6.24875276081076e-08,3.18240128298333e-05,0.487151713947128,"Non-significant",4.49724505913402,"CYP51A1","Lanosterol 14-alpha demethylase","CP51A_HUMAN"
-0.676235587085685,22.07449553381,-14.6270862593313,1.0974482863392e-06,0.000547313138230019,6.31876044961155,"FDFT_HUMAN",28,-16.30788396154,5.44689454076689e-08,3.18240128298333e-05,0.676235587085678,"Up in C",4.49724505913402,"FDFT1","Squalene synthase","FDFT_HUMAN"
-0.501392368763245,21.1473685329997,-15.1008948710527,8.74780477455951e-07,0.000538998844540967,6.5266852885086,"FMO5_HUMAN",22,-16.3133451651514,5.43099249358872e-08,3.18240128298333e-05,0.501392368763245,"Up in C",4.49724505913402,"FMO5","Flavin-containing monooxygenase 5","FMO5_HUMAN"
-0.561007434691689,24.4636459860659,-15.179616456146,8.42983851823189e-07,0.000538998844540967,6.56040391883998,"GSTA2_HUMAN",19,-16.1157942010085,6.04042249099718e-08,3.18240128298333e-05,0.561007434691692,"Up in C",4.49724505913402,"GSTA2","Glutathione S-transferase A2","GSTA2_HUMAN"
-0.452423050230344,20.003463194024,-14.8177919625488,1.0008931718161e-06,0.000538998844540967,6.40349071349327,"HPPD_HUMAN",21,-15.7814563261897,7.25206429724432e-08,3.18240128298333e-05,0.452423050230347,"Non-significant",4.49724505913402,"HPD","4-hydroxyphenylpyruvate dioxygenase","HPPD_HUMAN"
-0.525469856926271,20.2979964484179,-13.9113993107061,1.56670163238098e-06,0.000575721620909683,5.98766096025996,"ITIH2_HUMAN",30,-15.6619474784965,7.7486138371121e-08,3.18240128298333e-05,0.525469856926271,"Up in C",4.49724505913402,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","ITIH2_HUMAN"
0.415657780847958,20.2368507197659,15.3346979342619,7.84099732381028e-07,0.000538998844540967,6.62615870931774,"PAI1_HUMAN",20,15.9556928231858,6.59009106704847e-08,3.18240128298333e-05,-0.415657780847951,"Non-significant",4.49724505913402,"SERPINE1","Plasminogen activator inhibitor 1","PAI1_HUMAN"
0.250399345476652,19.6208422516136,12.0881169897064,4.21790475826174e-06,0.000920294094443234,5.03921513386835,"PTPRF_HUMAN",43,15.7382044074442,7.42758324727182e-08,3.18240128298333e-05,-0.250399345476652,"Non-significant",4.49724505913402,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN"
-0.455478611801542,21.6574393447549,-15.48354921551,7.31928222255895e-07,0.000538998844540967,6.68844703863913,"ST2A1_HUMAN",19,-16.0583404848886,6.23160714651155e-08,3.18240128298333e-05,0.455478611801539,"Non-significant",4.49724505913402,"SULT2A1","Sulfotransferase 2A1","ST2A1_HUMAN"
0.347172419678898,20.1279878244998,14.3369713411944,1.26526117336257e-06,0.00055212834452609,6.18708950867754,"SPIT1_HUMAN",22,15.1557930801944,1.03124230686857e-07,4.00007432586466e-05,-0.347172419678898,"Non-significant",4.39793193891879,"SPINT1","Kunitz-type protease inhibitor 1","SPIT1_HUMAN"
-0.399246986222078,22.6959581076549,-14.2137536066813,1.3451858552389e-06,0.000552475743604587,6.13012897215018,"BDH_HUMAN",20,-14.8502696498782,1.23076627243507e-07,4.52274216533772e-05,0.399246986222082,"Non-significant",4.34459817001725,"BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","BDH_HUMAN"
