"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.15629613780649,17.8850813894162,47.8306304983419,1.93424106609608e-10,1.35048711234828e-06,9.14831776197768,"PGBM_HUMAN",29,54.5403839097365,9.21557622035014e-13,6.43431531704847e-09,-1.15629613780649,"Up in BM",8.19149766008019,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
0.625253083694908,20.2511351754874,26.1094310262746,1.61569488477047e-08,5.6403908427337e-05,8.00863461816676,"FINC_HUMAN",89,37.1189566501411,3.01295062781427e-11,1.05182106416996e-07,-0.625253083694908,"Up in BM",6.97805813608847,"FN1","Fibronectin","FINC_HUMAN"
-0.266961553028196,21.0413723055298,-12.6017484977786,3.05239074803852e-06,0.00426235844056099,4.9622594398077,"PLIN2_HUMAN",29,-14.4800223725284,1.3637581815021e-07,0.000317391987441588,0.266961553028192,"Non-significant",3.49840404120382,"PLIN2","Perilipin-2","PLIN2_HUMAN"
-0.395398247194475,18.6811125811466,-12.7149508913621,2.86556436804584e-06,0.00426235844056099,5.01085813659048,"LRC8E_HUMAN",15,-12.3369596830858,5.49164645268443e-07,0.000958566888316067,0.395398247194471,"Non-significant",3.0183775768777,"LRRC8E","Volume-regulated anion channel subunit LRRC8E","LRC8E_HUMAN"
0.252098264228717,21.2274930185037,10.3266516282685,1.22945789669526e-05,0.0106773445012236,3.82743797522203,"COIA1_HUMAN",26,11.3914938047268,1.08979617058349e-06,0.00126815947716899,-0.252098264228724,"Non-significant",2.89682612839482,"COL18A1","Collagen alpha-1(XVIII) chain","COIA1_HUMAN"
-0.733529237557043,23.4387239941559,-13.3882873349509,1.9887266356786e-06,0.00426235844056099,5.28672178034543,"LAMP2_HUMAN",6,-11.5194334207248,9.90406059751888e-07,0.00126815947716899,0.733529237557043,"Up in CM",2.89682612839482,"LAMP2","Lysosome-associated membrane glycoprotein 2","LAMP2_HUMAN"
-0.264869680162569,22.6287694546252,-10.0423811926236,1.49124884274819e-05,0.0106773445012236,3.66140477849081,"BDH_HUMAN",20,-10.2759848355364,2.61721037265992e-06,0.00231995632955962,0.264869680162573,"Non-significant",2.63452019011332,"BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial","BDH_HUMAN"
-0.394982336644759,24.3806334370424,-9.48598970828175,2.20723041231722e-05,0.014009893398908,3.31819304450335,"GSTA2_HUMAN",19,-10.1147884542337,2.99049082870762e-06,0.00231995632955962,0.394982336644766,"Non-significant",2.63452019011332,"GSTA2","Glutathione S-transferase A2","GSTA2_HUMAN"
0.458930119309475,19.3209723106679,10.0058218920148,1.52926733045311e-05,0.0106773445012236,3.63960669341054,"KCRB_HUMAN",13,10.1521457312034,2.89903512927989e-06,0.00231995632955962,-0.458930119309478,"Non-significant",2.63452019011332,"CKB","Creatine kinase B-type","KCRB_HUMAN"
0.147877946958108,23.6493406487186,6.94884126307253,0.000176684162816026,0.0423182679347512,1.384728900771,"PCKGC_HUMAN",57,9.88893501958635,3.61583155572748e-06,0.00252457359220893,-0.147877946958097,"Non-significant",2.59781196494694,"PCK1","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]","PCKGC_HUMAN"
0.396482773753402,19.3569032516237,9.01399829629089,3.12778616389704e-05,0.0150227317765535,3.00675169999758,"HPT_HUMAN",18,9.5831497150978,4.70363586564674e-06,0.00298552596490414,-0.396482773753402,"Non-significant",2.52497914743797,"HP","Haptoglobin","HPT_HUMAN"
-0.251774007519661,21.0225593523779,-8.89956441291419,3.41162589453997e-05,0.0150227317765535,2.9282627749706,"FMO5_HUMAN",22,-9.44201335015723,5.32339632276796e-06,0.00309732942713049,0.251774007519664,"Non-significant",2.50901260130242,"FMO5","Flavin-containing monooxygenase 5","FMO5_HUMAN"
