"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","Null_vs_HBVM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-0.473689577779563,19.5357227912028,-9.67314228997282,2.0493563713369e-06,0.00457757901477619,4.95481309967054,"P10586",30,-11.2142592252583,3.26627458911426e-07,0.00178498255961514,0.47368957777957,"Non-significant",2.74836602285706,"PTPRF","Receptor-type tyrosine-protein phosphatase F","P10586"
0.440128855307282,17.7753305945461,9.89185838901597,1.66886473244936e-06,0.00457757901477619,5.11088448205514,"P25205",11,10.6424650272162,5.45578600666839e-07,0.00178498255961514,-0.440128855307286,"Non-significant",2.74836602285706,"MCM3","DNA replication licensing factor MCM3","P25205"
0.528353901765175,17.8540609882563,10.0702349610496,1.41539976777844e-06,0.00457757901477619,5.23471468565666,"Q14566",8,10.2332202242399,7.9912664958147e-07,0.00178498255961514,-0.528353901765175,"Up in Null",2.74836602285706,"MCM6","DNA replication licensing factor MCM6","Q14566"
0.521249466712579,17.5711366066586,8.82548785723799,4.71678158736291e-06,0.00790178835422971,4.3028956372706,"P33993",10,9.21755950912729,2.18248111863658e-06,0.00365620149399594,-0.521249466712572,"Up in Null",2.43696987822288,"MCM7","DNA replication licensing factor MCM7","P33993"
-0.467522021177508,23.4106658497585,-7.80511080179077,1.40517113651908e-05,0.0134515025511633,3.40773632642302,"CATD_HUMAN",26,-8.61064259480179,4.15362134060234e-06,0.00556668332067526,0.467522021177501,"Non-significant",2.25440348427869,"CTSD","Cathepsin D","CATD_HUMAN"
0.623696261147856,17.5887188207104,8.10499431765523,1.00857739342722e-05,0.0117310229007388,3.6843339131141,"P06493",4,7.67139153982865,1.20848196121932e-05,0.0134967293702178,-0.623696261147852,"Up in Null",1.86977146028691,"CDK1","Cyclin-dependent kinase 1","P06493"
0.414805778183954,22.2894777201627,6.72613015643705,5.03184803304812e-05,0.0337184136694554,2.30981768995138,"P02771",45,7.53293477567002,1.42592943928156e-05,0.0136502188180368,-0.414805778183954,"Non-significant",1.86486038666687,"AFP","Alpha-fetoprotein","P02771"
-0.340208888425771,18.1092214783728,-6.36073260817025,8.00064915999763e-05,0.0487385000192219,1.89875296737676,"Q02388",16,-6.96066522791419,2.8930810234344e-05,0.0242331699225424,0.340208888425767,"Non-significant",1.6155897724154,"COL7A1","Collagen alpha-1(VII) chain","Q02388"
0.286100815481703,21.0266429804428,5.87522217183813,0.00015220734325705,0.0592371464697013,1.31961462029455,"O95954",30,6.82187595268064,3.45513146568411e-05,0.0257253732794991,-0.286100815481706,"Non-significant",1.58963831483373,"FTCD","Formimidoyltransferase-cyclodeaminase","O95954"
-0.349849276622571,18.4243798313924,-6.10138652758233,0.000112362885213465,0.0561454157565757,1.5941591738987,"O43157",19,-6.67878250169297,4.15963803941207e-05,0.0278737345021003,0.349849276622564,"Non-significant",1.55480484093861,"PLXNB1","Plexin-B1","O43157"
0.513898806306241,24.9753257670278,5.9578451387545,0.000136123279325229,0.0591649471060002,1.42088562675033,"ALBU_BOVIN",54,6.39820883509626,6.03086115393783e-05,0.0288662861375267,-0.513898806306234,"Up in Null",1.5396090877414,"ALB","Albumin","ALBU_BOVIN"
-0.266232271881812,23.5336002504899,-5.72960952384775,0.000185740309736678,0.0599227091966902,1.13838648483352,"O00584",16,-6.41458765897405,5.89983288013022e-05,0.0288662861375267,0.266232271881822,"Non-significant",1.5396090877414,"RNASET2","Ribonuclease T2","O00584"
-0.293073579012169,19.6574332129702,-5.6705395758374,0.000201533561381582,0.0599227091966902,1.06386248654831,"Q14764",32,-6.50645983486186,5.21930393633729e-05,0.0288662861375267,0.293073579012162,"Non-significant",1.5396090877414,"MVP","Major vault protein","Q14764"
-0.449054072139781,19.1269331126424,-6.28979854250107,8.77173425179751e-05,0.0489828260177459,1.81651661414797,"Q9Y625",8,-6.42036484296059,5.85434776138049e-05,0.0288662861375267,0.449054072139781,"Non-significant",1.5396090877414,"GPC6","Glypican-6","Q9Y625"
-0.570295902604691,19.9429709750146,-6.06902010066288,0.000117301271540376,0.0561454157565757,1.55538262806542,"P04792",10,-6.27105969761224,7.16075025009112e-05,0.0319894582839071,0.570295902604691,"Up in HBVM",1.49499311428607,"HSPB1","Heat shock protein beta-1","P04792"
-0.46103968609069,20.7716641295646,-5.58160982658694,0.000228088075060669,0.0599227091966902,0.950566382286179,"P06727",35,-5.9762979821038,0.000107514764685084,0.0359252517113477,0.461039686090686,"Non-significant",1.44460018028583,"APOA4","Apolipoprotein A-IV","P06727"
-0.360308629133247,20.6816933626988,-5.63230505672543,0.000212520141271794,0.0599227091966902,1.0153141370882,"P40261",11,-5.91031572699523,0.00011794590921499,0.0359252517113477,0.360308629133243,"Non-significant",1.44460018028583,"NNMT","Nicotinamide N-methyltransferase","P40261"
0.315947784946299,18.3062310700928,5.84255057547861,0.000159120823228566,0.0592371464697013,1.27925796794748,"P49736",8,5.9404996521672,0.000113045737161054,0.0359252517113477,-0.315947784946303,"Non-significant",1.44460018028583,"MCM2","DNA replication licensing factor MCM2","P49736"
-0.203323997297677,21.8819545827552,-5.01533109417333,0.000514995877953329,0.0841704238576892,0.197944687806269,"Q08380",22,-6.01241786089439,0.000102226528324292,0.0359252517113477,0.203323997297677,"Non-significant",1.44460018028583,"LGALS3BP","Galectin-3-binding protein","Q08380"
-0.359270810984402,20.0749435824759,-5.7812676991257,0.000173015168679943,0.0599227091966902,1.20308286301367,"Q13510",12,-6.11387470052051,8.88074390666887e-05,0.0359252517113477,0.359270810984398,"Non-significant",1.44460018028583,"ASAH1","Acid ceramidase","Q13510"
-0.438506159079697,20.4600130918351,-7.07866240269159,3.26774963923687e-05,0.0273714879156578,2.68703506983655,"Q6UXH0",3,-6.03332613299415,9.9293175014483e-05,0.0359252517113477,0.438506159079694,"Non-significant",1.44460018028583,"ANGPTL8","Angiopoietin-like protein 8","Q6UXH0"
