"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","M_vs_HBVM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-0.506922104020404,18.0258648705755,-9.79886926478182,1.70964899810394e-06,0.0114563579362945,4.47291540099829,"Q02388",16,-10.8401187701359,4.19590212539794e-07,0.00281167401422916,0.506922104020397,"Up in HBVM",2.55103503287987,"COL7A1","Collagen alpha-1(VII) chain","Q02388"
-0.468445975103965,23.4102038727953,-7.18896186191547,2.74285413889915e-05,0.0685186597571716,2.52810713598928,"CATD_HUMAN",26,-7.87673854269043,8.9649334230598e-06,0.0203666883224275,0.468445975103965,"Non-significant",1.6910795826945,"CTSD","Cathepsin D","CATD_HUMAN"
0.419795661345727,22.2919726617436,6.75947192827377,4.64012392140377e-05,0.0685186597571716,2.12153083169906,"P02771",45,7.62036308058083,1.21574023712446e-05,0.0203666883224275,-0.419795661345727,"Non-significant",1.6910795826945,"AFP","Alpha-fetoprotein","P02771"
-0.284062920289305,19.6305361199479,-6.35642572708161,7.75932675816034e-05,0.0742789265806177,1.71364398086749,"P10586",30,-7.68218542154949,1.12888225479602e-05,0.0203666883224275,0.284062920289308,"Non-significant",1.6910795826945,"PTPRF","Receptor-type tyrosine-protein phosphatase F","P10586"
0.54261568013445,16.8955064633612,6.97949759599994,3.53470103558348e-05,0.0685186597571716,2.33333587433468,"ANT3_HUMAN",5,6.78151124767067,3.47421837252672e-05,0.0465614746286031,-0.54261568013446,"Up in M",1.33197327378506,"SERPINC1","Antithrombin-III","ANT3_HUMAN"
0.493951715008784,18.7773320036562,6.49322418728733,6.5016915101709e-05,0.072613058016092,1.85503159230178,"Q96QD8",7,6.54824908688779,4.72435175904232e-05,0.0527631352289043,-0.493951715008784,"Non-significant",1.27766940622352,"SLC38A2","Sodium-coupled neutral amino acid transporter 2","Q96QD8"
0.47095400106911,24.9538533644092,5.37147630178185,0.000298527704824844,0.126680517322809,0.601778865262797,"ALBU_BOVIN",54,5.78491324552521,0.000135824149074405,0.0827416020861442,-0.470954001069114,"Non-significant",1.08227607432235,"ALB","Albumin","ALBU_BOVIN"
-0.331318924898117,23.2841686186356,-5.37941924615884,0.000295142459643919,0.126680517322809,0.611424711779019,"O14773",15,-5.7949430973097,0.000133883511820056,0.0827416020861442,0.331318924898124,"Non-significant",1.08227607432235,"TPP1","Tripeptidyl-peptidase 1","O14773"
0.825571567277365,17.1083789750144,6.21502573217132,9.33939452610972e-05,0.0782291033993265,1.56424928935972,"P23142",2,5.88153729746973,0.000118309614272743,0.0827416020861442,-0.825571567277368,"Non-significant",1.08227607432235,"FBLN1","Fibulin-1","P23142"
-0.316312939921936,18.7953706756347,-5.59020509308578,0.00021878116891303,0.126680517322809,0.863301647949715,"P50897",10,-5.86016596965366,0.000121964349011059,0.0827416020861442,0.316312939921932,"Non-significant",1.08227607432235,"PPT1","Palmitoyl-protein thioesterase 1","P50897"
0.735237538684398,18.7101825292986,5.92186773927414,0.000138321224710559,0.102987836309495,1.24377000822378,"P62633",5,5.94619943844876,0.000107946703731023,0.0827416020861442,-0.735237538684405,"Non-significant",1.08227607432235,"CNBP","Cellular nucleic acid-binding protein","P62633"
-0.550028100450994,21.3296755055162,-5.52304323942158,0.000240515254256381,0.126680517322809,0.783903115410729,"P12277",9,-5.68569609174252,0.000156722203326899,0.0875162903744626,0.550028100450994,"Non-significant",1.05791109942067,"CKB","Creatine kinase B-type","P12277"
-0.6805050927371,17.1353599628209,-5.36233415677217,0.00030247549278689,0.126680517322809,0.590662793811548,"P50479",4,-5.32134819269236,0.00026824756081806,0.138271300387832,0.6805050927371,"Non-significant",0.859267952765825,"PDLIM4","PDZ and LIM domain protein 4","P50479"
-0.223452737520475,20.9082744906976,-4.5042111298714,0.00109480603409732,0.229259226077691,-0.518953177725487,"P06865",22,-5.14122192521912,0.000352330907805108,0.140255821741021,0.223452737520475,"Non-significant",0.853079102994964,"HEXA","Beta-hexosaminidase subunit alpha","P06865"
0.291921474967182,20.8346206244897,4.74378157141046,0.000756449214322994,0.181034506613514,-0.19608793337365,"P42785",13,5.06500510668222,0.000395968300994188,0.140255821741021,-0.291921474967182,"Non-significant",0.853079102994964,"PRCP","Lysosomal Pro-X carboxypeptidase","P42785"
-0.366260337877005,22.1803005391129,-4.87476244999284,0.00062014947134796,0.159831600288565,-0.023808795061834,"Q16790",13,-5.13671192931608,0.000354765507437642,0.140255821741021,0.366260337877009,"Non-significant",0.853079102994964,"CA9","Carbonic anhydrase 9","Q16790"
-0.285979133199124,18.265857327948,-4.97413078819765,0.000534255799671914,0.159831600288565,0.10486344479189,"Q8N8N7",8,-5.06219810421027,0.000397681034633547,0.140255821741021,0.285979133199113,"Non-significant",0.853079102994964,"PTGR2","Prostaglandin reductase 2","Q8N8N7"
0.683337257904086,20.6863025366797,5.48083357379479,0.000255349351833101,0.126680517322809,0.733593896293709,"Q96JB1",2,5.13472434418492,0.0003558441131035,0.140255821741021,-0.683337257904082,"Non-significant",0.853079102994964,"DNAH8","Dynein heavy chain 8, axonemal","Q96JB1"
0.430502058671575,17.9973749461911,6.6822152753146,5.11256974758779e-05,0.0685186597571716,2.04536637055788,"Q9ULJ6",2,5.18066466876867,0.000331779343946781,0.140255821741021,-0.430502058671568,"Non-significant",0.853079102994964,"ZMIZ1","Zinc finger MIZ domain-containing protein 1","Q9ULJ6"
0.239030020415257,21.1560287704371,4.21255412770654,0.00173577120908548,0.251116669071297,-0.925142750607724,"P02751",72,4.94825012567812,0.000474283783105074,0.14446252866305,-0.239030020415257,"Non-significant",0.840244787545796,"FN1","Fibronectin","P02751"
0.449754939376785,16.8814697671597,5.51015981581678,0.000244942691983515,0.126680517322809,0.768581031603116,"P05543",3,4.99439775026405,0.000441528377964691,0.14446252866305,-0.449754939376795,"Non-significant",0.840244787545796,"SERPINA7","Thyroxine-binding globulin","P05543"
0.723165194110724,18.7554192530631,4.91958861048314,0.000579711773477408,0.159831600288565,0.0344539286885839,"Q7Z5P4",5,4.97113170253845,0.000457732220752321,0.14446252866305,-0.723165194110727,"Non-significant",0.840244787545796,"HSD17B13","17-beta-hydroxysteroid dehydrogenase 13","Q7Z5P4"
-0.656746133378237,16.2665990083688,-5.13984856595452,0.000417962851133116,0.159831600288565,0.315537509180723,"A0A494C0G5",2,-4.83472267626588,0.000566311815903569,0.151794219134793,0.656746133378226,"Non-significant",0.818744767608298,"AGRN","Agrin","A0A494C0G5"
-0.300537600559366,18.0692241448719,-4.74610664603505,0.00075377002067959,0.181034506613514,-0.193003411600798,"P00813",8,-4.83769201698438,0.000563678050310387,0.151794219134793,0.300537600559359,"Non-significant",0.818744767608298,"ADA","Adenosine deaminase","P00813"
-0.266483420267946,22.8570731790258,-4.44124823985934,0.00120813662985788,0.231306387333647,-0.605443037421165,"P07602",19,-4.85700626332387,0.000546859622705374,0.151794219134793,0.266483420267935,"Non-significant",0.818744767608298,"PSAP","Prosaposin","P07602"
-0.804541120432372,17.3106141721069,-5.04944521867381,0.000477622772186808,0.159831600288565,0.201217098345827,"A0A087WW20",1,-4.66610319271458,0.000739442746782903,0.173279152355286,0.804541120432376,"Non-significant",0.761253685189683,"RUSC1","RUN and SH3 domain-containing protein 1 (Fragment)","A0A087WW20"
0.562922474896805,16.5808546134863,4.90052623214867,0.000596554332267083,0.159831600288565,0.00972122189347768,"P08183",3,4.70661677394144,0.000693285188469638,0.173279152355286,-0.562922474896808,"Non-significant",0.761253685189683,"ABCB1","ATP-dependent translocase ABCB1","P08183"
0.305286998630329,20.3383975508089,4.28410273784109,0.00154854451818432,0.251116669071297,-0.824201912320042,"P19823",25,4.63605847363362,0.000775761016364508,0.173279152355286,-0.305286998630329,"Non-significant",0.761253685189683,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","P19823"
0.189017434284857,21.0428510314702,3.95939489054474,0.00261355161364993,0.265354687319215,-1.28872334444476,"P27487",27,4.63700897699224,0.000774583678339433,0.173279152355286,-0.189017434284864,"Non-significant",0.761253685189683,"DPP4","Dipeptidyl peptidase 4","P27487"
0.218887203677447,18.791212032361,4.44621904293744,0.00119875387200618,0.231306387333647,-0.598590448605724,"P36955",10,4.69280252081699,0.000708672560373595,0.173279152355286,-0.218887203677443,"Non-significant",0.761253685189683,"SERPINF1","Pigment epithelium-derived factor","P36955"
-0.250776200265669,21.6295047330553,-4.31776474801226,0.00146793445980161,0.251116669071297,-0.776998545928788,"P09382",12,-4.60245335525586,0.000818622169750076,0.176954424499847,0.250776200265669,"Non-significant",0.752138573959804,"LGALS1","Galectin-1","P09382"
-0.220929838210921,22.2410031194433,-3.99690896292459,0.0024584847997038,0.26327816696864,-1.2342357368899,"P10253",28,-4.52061064247685,0.000933786327054212,0.18995479676152,0.220929838210925,"Non-significant",0.721349735113967,"GAA","Lysosomal alpha-glucosidase","P10253"
-0.331093369832832,17.824020175896,-4.57390268904441,0.000982352971211312,0.212346685809258,-0.424007797386363,"Q4V328",6,-4.51950201724974,0.000935458632014647,0.18995479676152,0.331093369832832,"Non-significant",0.721349735113967,"GRIPAP1","GRIP1-associated protein 1","Q4V328"
-0.164008294968539,21.9016124339198,-3.75359547841927,0.00366676843306738,0.296618671664983,-1.59116587127367,"Q08380",22,-4.43825749387722,0.00106701356629934,0.194850680903715,0.164008294968536,"Non-significant",0.710298072231006,"LGALS3BP","Galectin-3-binding protein","Q08380"
0.329217183239152,17.7032880980569,4.60612756834411,0.000934551547825501,0.211419289777607,-0.380387863339314,"Q15043",5,4.43316612650875,0.0010758804944691,0.194850680903715,-0.329217183239145,"Non-significant",0.710298072231006,"SLC39A14","Metal cation symporter ZIP14","Q15043"
0.296770421820618,20.460058350861,4.13689514787566,0.00195989100255871,0.251116669071297,-1.03276994246075,"Q99873",20,4.4428287987685,0.00105911779888037,0.194850680903715,-0.296770421820625,"Non-significant",0.710298072231006,"PRMT1","Protein arginine N-methyltransferase 1","Q99873"
0.197507833812377,21.0378205614877,4.01814224963768,0.00237501551815604,0.26327816696864,-1.2034870427227,"Q9UHJ6",16,4.48406098414954,0.000990615119019572,0.194850680903715,-0.197507833812384,"Non-significant",0.710298072231006,"SHPK","Sedoheptulokinase","Q9UHJ6"
0.543312591695699,18.62225902203,4.35013494188545,0.00139458145556138,0.251116669071297,-0.731781922598215,"Q9BV68",6,4.40818160626747,0.00112052896018712,0.197596435847733,-0.543312591695699,"Non-significant",0.704220893278867,"RNF126","E3 ubiquitin-protein ligase RNF126","Q9BV68"
0.210328317894774,20.3819506715964,3.9930361398415,0.00247403763905794,0.26327816696864,-1.23985130057456,"Q4G0N4",15,4.38312400650742,0.00116726748719164,0.200560498247979,-0.210328317894778,"Non-significant",0.697754600140391,"NADK2","NAD kinase 2, mitochondrial","Q4G0N4"
-0.190424540583788,19.0705843189198,-3.87956215731977,0.00297860245641565,0.275834387132425,-1.4053515125353,"O00515",15,-4.30539377749949,0.00132572950647193,0.207310764516668,0.190424540583788,"Non-significant",0.683378146778235,"LAD1","Ladinin-1","O00515"
-0.389599641385935,21.2255993628187,-4.16867031685596,0.00186226882079685,0.251116669071297,-0.987458981721942,"P09668",10,-4.31277376326287,0.00130975805703329,0.207310764516668,0.389599641385935,"Non-significant",0.683378146778235,"CTSH","Pro-cathepsin H","P09668"
0.764615138977565,21.0175964324518,4.22123904509084,0.00171182613662849,0.251116669071297,-0.912846198788527,"P22309",7,4.32065504536802,0.00129292437986621,0.207310764516668,-0.764615138977579,"Non-significant",0.683378146778235,"UGT1A1","UDP-glucuronosyltransferase 1A1","P22309"
-0.434349682677773,18.322346657528,-4.59790332699419,0.000946512265830204,0.211419289777607,-0.391503250541113,"Q96BN2",3,-4.28931377341266,0.0013612406564294,0.207310764516668,0.43434968267778,"Non-significant",0.683378146778235,"TADA1","Transcriptional adapter 1","Q96BN2"
-0.590552098297564,16.3427327110931,-5.00465405552139,0.000510486347154427,0.159831600288565,0.144035343801842,"Q9H2I8",1,-4.30032420004224,0.00133681912549186,0.207310764516668,0.590552098297561,"Non-significant",0.683378146778235,"LRMDA","Leucine-rich melanocyte differentiation-associated protein","Q9H2I8"
0.349629503664094,18.3651358080582,4.16087148765764,0.00188574589519721,0.251116669071297,-0.998565361018781,"Q9Y2E5",8,4.25469151940974,0.00144112842511934,0.214600035038327,-0.34962950366409,"Non-significant",0.668370211461629,"MAN2B2","Epididymis-specific alpha-mannosidase","Q9Y2E5"
-0.347195828354142,20.080981073791,-4.03367556345606,0.00231583753561109,0.26327816696864,-1.18103515066719,"Q13510",12,-4.2116206257358,0.00154742220418336,0.220622897664526,0.347195828354145,"Non-significant",0.656349415679641,"ASAH1","Acid ceramidase","Q13510"
0.586639861442855,17.4163119449629,4.88415286303366,0.000611436567964644,0.159831600288565,-0.011574099265629,"Q93075",1,4.21886627290719,0.00152898182299858,0.220622897664526,-0.586639861442855,"Non-significant",0.656349415679641,"TATDN2","Putative deoxyribonuclease TATDN2","Q93075"
0.498311013051186,17.0474315134105,4.1796152488891,0.00182983787328074,0.251116669071297,-0.97188835291964,"Q6UXI9",5,4.18904139392307,0.00160639506338749,0.224259444161658,-0.498311013051186,"Non-significant",0.649249258603024,"NPNT","Nephronectin","Q6UXI9"
