"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBV_vs_Null","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
5.21018486022948,17.453325843811,26.1066684373165,2.08483447472468e-10,1.39704758151301e-06,11.5091760246748,"P03146",2,27.8478194851508,1.48093596892264e-12,9.92375192775061e-09,-5.21018486022948,"Up in HBV",8.00332410068314,"C","Capsid protein","P03146"
5.8208194732666,18.8348958969116,17.5058864773573,9.80298813718449e-09,3.28449117536366e-05,9.46325300172693,"P03138",3,19.4363770277797,1.1639440892402e-10,3.8997946709993e-07,-5.8208194732666,"Up in HBV",6.40895825851183,"S","Large envelope protein","P03138"
-0.485211157919473,18.8378018909196,-12.3375621178722,2.65653553333966e-07,0.000593381486963635,7.08308018075643,"Q96SB8",15,-13.4709562945651,9.02589967236023e-09,2.01608512348286e-05,0.485211157919476,"Non-significant",4.69549113498523,"SMC6","Structural maintenance of chromosomes protein 6","Q96SB8"
0.32511993262084,19.4614379686234,8.9819583386522,4.75173448988164e-06,0.00454876754524241,4.61815961787297,"P10586",30,10.4701515838052,1.62049925293888e-07,0.000221288132913955,-0.325119932620844,"Non-significant",3.65504187549062,"PTPRF","Receptor-type tyrosine-protein phosphatase F","P10586"
0.177597653753686,20.7926019776545,7.53872026809059,2.17457462159918e-05,0.00809545807740894,3.2130767307539,"P11717",86,10.4526835710903,1.65115753554659e-07,0.000221288132913955,-0.177597653753683,"Non-significant",3.65504187549062,"IGF2R","Cation-independent mannose-6-phosphate receptor","P11717"
-0.52201736381987,17.3596682051697,-9.22821450032132,3.73779607193879e-06,0.00417449524634363,4.8341526443853,"Q8IY18",8,-9.62441558104933,4.13896176206541e-07,0.000462253046126671,0.522017363819867,"Up in Null",3.33512021827231,"SMC5","Structural maintenance of chromosomes protein 5","Q8IY18"
0.494255782075253,23.4240327302074,8.27515768585729,9.75484544071876e-06,0.00625205920623763,3.96107289460031,"CATD_HUMAN",26,9.38483729035523,5.46229185967602e-07,0.0005228973964527,-0.49425578207526,"Non-significant",3.28158352055137,"CTSD","Cathepsin D","CATD_HUMAN"
0.211519871004004,21.8860525196084,8.04617340522125,1.24415586554037e-05,0.00625205920623763,3.73571603632838,"Q08380",22,9.25736299740335,6.3453259305108e-07,0.000531500363254411,-0.211519871004008,"Non-significant",3.27449643432162,"LGALS3BP","Galectin-3-binding protein","Q08380"
0.669861704966518,18.5069284058239,8.38165674049836,8.72663592992311e-06,0.00625205920623763,4.06374697416806,"P01040",7,8.9636847284188,9.01637663783303e-07,0.00067131933166799,-0.669861704966511,"Up in HBV",3.17307084646047,"CSTA","Cystatin-A","P01040"
0.302245682841953,18.0902398755809,8.00095102568894,1.30620547511307e-05,0.00625205920623763,3.69045519472032,"Q02388",16,8.79110418444131,1.11291843154191e-06,0.000745766640976231,-0.302245682841949,"Non-significant",3.127397047046,"COL7A1","Collagen alpha-1(VII) chain","Q02388"
