HF_1,HF_2,HF_3,HF_4,HF_5,HMF_1,HMF_2,HMF_3,HMF_4,HMF_5,MF_1,MF_2,MF_3,MF_4,MF_5,OF_1,OF_2,OF_3,OF_4,OF_5,Protein.Names,Peptides,Genes,Protein.Ids,First.Protein.Description
29.055689881153363,28.792655475319567,28.81726494266357,29.3661967969609,28.92309041539987,28.758117056615088,29.177121275579857,28.92309041539987,28.853409506398663,29.226189318215802,28.94837685701073,28.808085515889175,28.964991570861624,28.847447948159946,29.11892064252467,29.016376957128536,29.005710032076678,28.97596268868263,29.275864477239992,28.88576487971105,TRFL_HUMAN,6,LTF,TRFL_HUMAN,Lactotransferrin
27.13124091416054,27.06085158626914,27.008384166375006,26.964991570861624,26.90884849282409,26.897352853986263,26.82638633263212,27.008384166375006,26.88576487971105,26.97596268868263,26.874083074663414,26.82638633263212,26.92025325609634,26.90884849282409,26.897352853986263,26.88576487971105,27.06085158626914,26.997657759781948,27.019031410574513,27.071119921722968,TRFE_HUMAN,94,TF,TRFE_HUMAN,Serotransferrin
18.359058892797254,18.936307245154268,18.859595447405535,18.809808942538414,18.655656495100413,18.959520908273202,18.342825586760082,18.770763890225375,18.57635886135595,18.95054165865612,19.128105113509477,18.533721352112536,19.00085278185751,18.687020215233826,19.14051276872376,18.123444485810033,18.486693635548072,18.636698956616925,18.67060438750375,19.14683215671486,THIO_HUMAN,3,TXN,THIO_HUMAN,Thioredoxin
18.21280983181128,18.346743118122152,18.33890173992739,18.276001690988796,18.12074918679392,18.672994997896517,18.557568405674907,18.630210235299405,18.329945210053854,18.55606816835929,19.390315925958777,19.13264531720229,18.765655169659016,18.828021785180614,19.10261651216319,18.56427604185588,18.640315555139352,18.876073230427348,18.672117979607567,18.680438508025887,SODC_HUMAN,3,SOD1,SODC_HUMAN,Superoxide dismutase [Cu-Zn]
20.042599881712917,20.082128245899554,20.082128245899554,19.91713166078012,20.145693374677023,20.385744462509976,20.506880900011613,20.582333128441075,20.385744462509976,20.158077099132854,20.68002980232821,20.447583716327838,20.23022688488869,20.447583716327838,20.3211353810869,20.385744462509976,20.28771237954945,20.158077099132854,20.554498920244352,20.28771237954945,RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN,3,RPS27A;UBA52;UBB;UBC,RS27A_HUMAN,Polyubiquitin-B
24.429819436852,24.39100018796147,24.26069216561574,24.125340312720855,24.282065816408306,24.06907209307411,24.316999606517694,24.17949608276776,24.28912057394226,24.39100018796147,24.23169229389319,24.246265094980462,24.37119170688129,24.23899709451642,24.310080192577903,24.377824799213737,24.429819436852,24.492283523798655,24.357833324026274,24.448844262533754,RET4_HUMAN,13,RBP4,RETBP_HUMAN,Retinol-binding protein 4
19.327135949580917,19.324833188238845,19.352948620549274,19.17612444018235,19.58655212020123,19.08155105243681,19.393526625474113,19.209272484319662,19.243641210211855,19.493988319637374,19.34590113988268,19.500233083038918,19.260161500779933,19.09255327730766,19.243276274900172,19.39578513934986,19.277001281323017,19.441270491083376,19.638186642338326,19.585646600142077,COL10_HUMAN,1,COLEC10,Q9Y6Z7,Collectin-10
16.915739358935543,17.122029196715832,17.091755609907086,16.888291384797686,16.250503836303665,16.779603947233934,16.93648841725959,17.00965369223411,16.359313748998115,17.009380329244784,16.153722225484625,17.030947269115114,16.934681429932013,17.028920466602063,17.473951440867225,16.77710117287211,17.08905731135542,16.95254788616148,16.432700110574935,17.197447088102567,EMIL1_HUMAN,3,EMILIN1,Q9Y6C2,EMILIN-1
17.675116281462294,17.329113082209403,17.450647448984412,17.589073215493787,17.269601556301957,17.2584096107693,17.501899368693213,16.930829720301745,17.245367009708737,17.359251969810735,17.531868775177553,17.634761428321465,17.44991435789308,17.00609592681343,17.748821794614702,17.499363205925544,17.889551494752915,17.517823146038324,17.509535339218594,17.436922960577704,CBPQ_HUMAN,2,CPQ,Q9Y646,Carboxypeptidase Q
17.159013930136123,16.65669020448279,17.131495277147017,16.421923460312563,16.708410354610876,17.87232017413864,16.528850870597026,17.498880363223645,16.84722866574523,16.92833330758515,17.3784726752723,17.280272365700842,17.300406188459178,17.274032290160882,17.043497279465782,16.705227382434536,16.9955905123663,17.25287790390631,17.040086335327217,17.317006233235677,GPC6_HUMAN,2,GPC6,Q9Y625,Glypican-6
