"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HF_vs_HMF","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
5.51634731292727,17.7733784675598,30.189442410583,3.27973027029635e-11,2.01047465569166e-08,15.2282789820426,"P03146",1,29.492413984858,1.61651928789165e-11,9.9092632347758e-09,-5.51634731292728,"Up in HF",8.00395863461323,"C","Capsid protein","P03146"
-0.657297965622469,18.974269965823,-11.1456865739464,5.48541528577678e-07,0.000168127978509058,6.80289389405906,"P30048",3,-9.88040956785719,1.12202911191787e-06,0.000343901922802828,0.657297965622469,"Up in HMF",3.46356539597117,"PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial","P30048"
0.397692163267081,21.6641063838335,6.91903569486055,3.95708241288181e-05,0.00606422879774138,2.42396139661711,"P00450",21,8.92301161459929,2.96975838489982e-06,0.000606820629981197,-0.397692163267077,"Non-significant",3.21693966299622,"CP","Ceruloplasmin","P00450"
-0.797313821724227,17.0539110358469,-9.38177586367667,2.70184426606159e-06,0.000552076845031917,5.19198741352038,"P01130",1,-7.9226036596925,8.99964035221669e-06,0.00137919488397721,0.797313821724227,"Up in HMF",2.86037436250007,"LDLR","Low-density lipoprotein receptor","P01130"
-0.269573391773481,24.8754010373051,-5.36479149773689,0.000309414399337417,0.0229970588157678,0.282091754698166,"P06727",48,-7.71490548558472,1.14775640214882e-05,0.00140714934903446,0.269573391773477,"Non-significant",2.85165980589194,"APOA4","Apolipoprotein A-IV","P06727"
0.388345502565166,25.4208366284342,5.82826780799618,0.00016197237021753,0.0165481771572243,0.956544371235815,"P04217",16,6.93944405389998,2.97223339269448e-05,0.00303663178286952,-0.388345502565162,"Non-significant",2.51760786674588,"A1BG","Alpha-1B-glycoprotein","P04217"
0.197656306032272,26.4357844852691,4.07457130293492,0.00220185304069311,0.0515937868445777,-1.754173343947,"P02760",19,5.9489083827662,0.000111719750473634,0.00978345814861966,-0.197656306032279,"Non-significant",2.0095076084637,"AMBP","Protein AMBP","P02760"
-0.422264211837664,19.0497219219043,-5.89744801659756,0.00014743309104706,0.0165481771572243,1.05456227925678,"P61604",4,-5.76899698744808,0.000144109177718175,0.0110423657426551,0.422264211837664,"Non-significant",1.95693787235741,"HSPE1","10 kDa heat shock protein, mitochondrial","P61604"
0.462332421985003,32.1221084553096,4.95261693238998,0.000564464489860645,0.031456066571325,-0.343702437122432,"ALBU_BOVIN",67,5.46308465550773,0.000224486437080848,0.0125100169027781,-0.462332421985,"Non-significant",1.90274210351375,"ALB","Albumin","ALBU_BOVIN"
0.229369740498726,26.765524205426,4.26001619394906,0.00163710216393283,0.0477877917376583,-1.44817703902575,"P01023",90,5.50876576986894,0.000209933215045719,0.0125100169027781,-0.229369740498729,"Non-significant",1.90274210351375,"A2M","Alpha-2-macroglobulin","P01023"
