"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HF_vs_MF","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
5.51745967864991,17.7728222846985,14.6653919528838,4.15574998237724e-08,1.44121268839008e-05,9.36149746819821,"P03146",1,14.8489831021445,2.19704001225829e-08,1.34678552751433e-05,-5.51745967864992,"Up in HF",4.87070155916429,"C","Capsid protein","P03146"
-0.939767663100561,18.2126006459164,-12.5219916535043,1.88213161075795e-07,3.5321084035153e-05,7.84783630079198,"P02786",8,-13.7559847132506,4.72918681021326e-08,1.44949575733037e-05,0.939767663100561,"Up in MF",4.83878305148574,"TFRC","Transferrin receptor protein 1","P02786"
-1.39117959837145,17.2072337717528,-14.4783404777839,4.7021621154652e-08,1.44121268839008e-05,9.23912158415453,"P0DMM9",1,-12.9371809305199,8.71509424368838e-08,1.78078425712699e-05,1.39117959837145,"Up in MF",4.74938869233613,"SULT1A3;SULT1A4","Sulfotransferase 1A3","P0DMM9"
0.523453223396888,21.6012258537686,9.36730163416378,2.80271688478629e-06,0.000245437921481999,5.06941246490175,"P00450",21,12.0644768828566,1.73882124331545e-07,2.66474355538093e-05,-0.523453223396888,"Up in HF",4.5743445794486,"CP","Ceruloplasmin","P00450"
-0.585181336865467,20.2794374708663,-10.2108214996775,1.27194615430803e-06,0.000129950498765138,5.88950096091867,"P27797",6,-11.1212382406284,3.8606073107664e-07,4.7331045629996e-05,0.585181336865467,"Up in MF",4.32485390106082,"CALR","Calreticulin","P27797"
-0.923556231132924,16.9797267391565,-12.2570507090398,2.30480156836235e-07,3.5321084035153e-05,7.64223599152207,"P05387",2,-10.4589954961785,7.0026481545539e-07,7.15437219790256e-05,0.923556231132928,"Up in MF",4.14542846993341,"RPLP2","60S acidic ribosomal protein P2","P05387"
-0.880007714909102,17.0952579824393,-11.0126572066996,6.30503372597748e-07,7.72997134804839e-05,6.61340102112627,"P01130",1,-9.35905224317665,2.02624335570791e-06,0.000177441025292707,0.880007714909098,"Up in MF",3.75094596174001,"LDLR","Low-density lipoprotein receptor","P01130"
-1.19199000316879,17.6860982549362,-8.87929496441285,4.5474751680911e-06,0.000264079909960362,4.56478511530588,"P50226",5,-9.10236163132177,2.63443825558045e-06,0.000191008691251634,1.19199000316879,"Up in MF",3.7189468710939,"SULT1A1","Sulfotransferase 1A1","P50226"
-0.718739722148019,19.1979596770594,-9.09345882368138,3.66785680617397e-06,0.000264079909960362,4.78910671726114,"P61604",4,-9.0420686537256,2.80436903958354e-06,0.000191008691251634,0.718739722148019,"Up in MF",3.7189468710939,"HSPE1","10 kDa heat shock protein, mitochondrial","P61604"
-0.697420277204557,21.8847438917682,-7.80980778609744,1.41976849701685e-05,0.000580212059114221,3.37260309277767,"P60174",20,-8.63093547294758,4.3336005417783e-06,0.00026564971321101,0.697420277204561,"Up in MF",3.57569064860779,"TPI1","Triosephosphate isomerase","P60174"
-1.18267082269787,17.9747313516143,-8.83870155154499,4.73879120646654e-06,0.000264079909960362,4.52174915899589,"Q00839",1,-8.39342665470167,5.61371277299024e-06,0.000312836902713002,1.18267082269787,"Up in MF",3.50468202255809,"HNRNPU","Heterogeneous nuclear ribonucleoprotein U","Q00839"
-0.710211466178833,20.5807942743553,-7.59549122990426,1.80884209415904e-05,0.000652247178658523,3.11828257754382,"PRDX1_HUMAN",7,-8.05045396296878,8.23978200155153e-06,0.000420915530579257,0.710211466178837,"Up in MF",3.37580504973205,"PRDX1","Peroxiredoxin-1","PRDX1_HUMAN"
-0.818075952812784,22.1630807584385,-8.94060498434409,4.27427258453058e-06,0.000264079909960362,4.62946958216617,"P14174",1,-7.89353934805742,9.86154790906615e-06,0.000465009912942889,0.818075952812787,"Up in MF",3.33253778885089,"MIF","Macrophage migration inhibitory factor","P14174"
-0.985023006653492,17.3153092796357,-8.24001803769596,8.8597098915495e-06,0.000417769397193834,3.86714427627226,"P62310",1,-7.69201215113148,1.24695913036021e-05,0.000532148358630665,0.985023006653485,"Up in MF",3.2739672730577,"LSM3","U6 snRNA-associated Sm-like protein LSm3","P62310"
-1.03019955277061,16.9783893198468,-8.12409459762176,1.00413526666041e-05,0.000439667798902024,3.73593715620528,"Q04760",1,-7.65522580826833,1.30215748441435e-05,0.000532148358630665,1.03019955277062,"Up in MF",3.2739672730577,"GLO1","Lactoylglutathione lyase","Q04760"
-0.802471747299048,18.9294495311152,-8.34768030539764,7.89666358439796e-06,0.000403387898102996,3.98767787573557,"Q9Y624",2,-7.58108871740967,1.4215889547566e-05,0.000544646268291124,0.802471747299055,"Up in MF",3.26388546764168,"F11R","Junctional adhesion molecule A","Q9Y624"
0.486427040385486,32.1100611461094,6.41905900275853,7.51038212302228e-05,0.0012779208266289,1.62066313034538,"ALBU_BOVIN",67,7.32481070646376,1.93465291948653e-05,0.000575829184613793,-0.486427040385486,"Non-significant",3.23970632765605,"ALB","Albumin","ALBU_BOVIN"
-0.666717708750802,18.3118899401748,-7.12237394454893,3.14381318863531e-05,0.00083789455853628,2.53721494252857,"P08571",5,-7.3196414860829,1.94686702926981e-05,0.000575829184613793,0.666717708750802,"Up in MF",3.23970632765605,"CD14","Monocyte differentiation antigen CD14","P08571"
-0.666998035180111,20.823378763802,-7.07783266078453,3.31614530138753e-05,0.00084459656767841,2.48107665136884,"P31431",5,-7.27339311391741,2.05992085089466e-05,0.000575829184613793,0.666998035180107,"Up in MF",3.23970632765605,"SDC4","Syndecan-4","P31431"
-1.13619696429591,17.7753094870921,-7.43790729347191,2.16837595298926e-05,0.000738452477323566,2.92779148506014,"P55795",3,-7.43334389814198,1.69639607978089e-05,0.000575829184613793,1.13619696429591,"Up in MF",3.23970632765605,"HNRNPF;HNRNPH1","Heterogeneous nuclear ribonucleoprotein H","P55795"
-1.08121764499904,19.1494025342625,-7.21001675865395,2.83235326628795e-05,0.000826777405825958,2.64694538920061,"Q3LXA3",6,-7.43825220713564,1.68639779472638e-05,0.000575829184613793,1.08121764499904,"Up in MF",3.23970632765605,"TKFC","Triokinase/FMN cyclase","Q3LXA3"
-1.25116945238025,19.6570016056196,-7.23924390163507,2.73605002138907e-05,0.000826777405825958,2.68332397772783,"Q9BTM1",3,-7.27074801384093,2.066597399919e-05,0.000575829184613793,1.25116945238025,"Up in MF",3.23970632765605,"H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC4;H2AC6;H2AC7;H2AJ;H2AW","Histone H2A type 1-B/E","Q9BTM1"
-0.772675641319253,21.5140564539942,-6.95033188988307,3.86850839049656e-05,0.000912075247451688,2.31898026343551,"P07737",6,-7.22257877492146,2.19235486791514e-05,0.000584310232187817,0.772675641319253,"Up in MF",3.2333565084462,"PFN1","Profilin-1","P07737"
-1.05911261508146,18.1223768961972,-6.91880431004591,4.01993585433378e-05,0.000912674325446891,2.278575934083,"P23141",4,-7.02194547142783,2.81228542504688e-05,0.000689572386221494,1.05911261508146,"Up in MF",3.16142013806464,"CES1","Liver carboxylesterase 1","P23141"
-0.943330266236742,18.114354466524,-6.73892156839875,5.01612009724901e-05,0.000999969916752493,2.04557250176069,"P55072",8,-7.0278829122277,2.79144245895603e-05,0.000689572386221494,0.943330266236735,"Up in MF",3.16142013806464,"VCP","Transitional endoplasmic reticulum ATPase","P55072"
0.499043934222229,24.3831852482489,7.0462505669704,3.44452107536056e-05,0.00084459656767841,2.44111891495698,"P01042",4,6.95988089586604,3.04047870093376e-05,0.000716851324489383,-0.499043934222222,"Non-significant",3.14457090799917,"KNG1","Kininogen-1","P01042"
-0.973518330179601,18.6300163169813,-6.68220856589264,5.38319857305584e-05,0.000999969916752493,1.97123064674417,"O60701",6,-6.89734579308583,3.29070265492135e-05,0.000747111380543254,0.973518330179605,"Up in MF",3.12661464805145,"UGDH","UDP-glucose 6-dehydrogenase","O60701"
-0.854401980835853,17.9236015394776,-7.3463887638698,2.4122084198705e-05,0.000778254611252955,2.81577672784722,"Q04446",1,-6.82573030169509,3.60479263935986e-05,0.000789192102831284,0.854401980835849,"Up in MF",3.10281726923074,"GBE1","1,4-alpha-glucan-branching enzyme","Q04446"
-0.433689517395244,22.9227924422896,-6.0682070677688,0.000118723252197876,0.00177505740481214,1.13858528338518,"P05787",7,-6.60820566518283,4.77361895194724e-05,0.000943944650820534,0.433689517395241,"Non-significant",3.02505347026544,"KRT8","Keratin, type II cytoskeletal 8","P05787"
0.344921743351257,25.7910019030753,5.43157317626827,0.000284368181317801,0.00330576417045525,0.219790005059942,"P19823",44,6.6127876399283,4.74516957851123e-05,0.000943944650820534,-0.344921743351261,"Non-significant",3.02505347026544,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","P19823"
