"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","OF_vs_MF","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.376858398787999,21.5279284414641,6.76794872099243,4.58396307083239e-05,0.00995527013853016,2.48570908862483,"P00450",21,8.58989112479665,3.74170559923126e-06,0.00229366553232876,-0.376858398788002,"Non-significant",2.63946991165462,"CP","Ceruloplasmin","P00450"
-0.345125325565935,20.5853901426056,-5.98886941089851,0.000126150007300372,0.00995527013853016,1.50122621949967,"P07437",13,-7.24178970939675,1.83691285296543e-05,0.0040898869226161,0.345125325565931,"Non-significant",2.38828869922071,"TUBB4B","Tubulin beta-4B chain","P07437"
-0.38236607708636,21.4837677050968,-6.34249854300891,7.88998132143608e-05,0.00995527013853016,1.95935711944215,"P07858",8,-7.17366481810514,2.00157598170445e-05,0.0040898869226161,0.382366077086356,"Non-significant",2.38828869922071,"CTSB","Cathepsin B","P07858"
-0.859760553669812,18.6868952052362,-6.38994121193941,7.41785881045003e-05,0.00995527013853016,2.01937981599573,"O60701",6,-6.6408691644283,3.9949058671725e-05,0.00612219324144186,0.859760553669808,"Up in MF",2.2130929664134,"UGDH","UDP-glucose 6-dehydrogenase","O60701"
-0.631941383013672,22.2549397537725,-5.8050945377404,0.000162067626997541,0.00995527013853016,1.25557137428791,"P04406",12,-6.22059990177576,7.06951121978396e-05,0.00722268396287928,0.631941383013668,"Up in MF",2.14130138779517,"GAPDH","Glyceraldehyde-3-phosphate dehydrogenase","P04406"
-0.695432839979745,17.9343768365307,-6.05035871844425,0.000116125280473191,0.00995527013853016,1.5822567755541,"P50226",5,-6.23744888103051,6.90646658131461e-05,0.00722268396287928,0.695432839979748,"Up in MF",2.14130138779517,"SULT1A1","Sulfotransferase 1A1","P50226"
-0.346365298269234,18.3669167840188,-5.80359469834029,0.000162402449241928,0.00995527013853016,1.2535449928388,"P00352",5,-5.9741624512669,9.98878154888195e-05,0.00765390386183079,0.346365298269234,"Non-significant",2.11611699710742,"ALDH1A1","Retinal dehydrogenase 1","P00352"
-0.284633342868251,22.3187059749205,-4.84862992476038,0.000644500252277779,0.0172799829825879,-0.107880548863093,"P02675",24,-6.0353266699978,9.16046631326648e-05,0.00765390386183079,0.284633342868243,"Non-significant",2.11611699710742,"FGB","Fibrinogen beta chain","P02675"
0.311091765232412,22.0545054280237,5.19872991576772,0.000383013085748491,0.0151383749275347,0.407711136533517,"P02655",6,5.57682537892375,0.000177509117888556,0.00989209902415315,-0.311091765232415,"Non-significant",2.00471154481498,"APOC2","Apolipoprotein C-II","P02655"
0.79958232762991,20.6639255643564,5.50771407357113,0.000245509177045391,0.0116623808100179,0.846935022113378,"P02766",5,5.67918975240993,0.000152747184592642,0.00989209902415315,-0.799582327629903,"Up in OF",2.00471154481498,"TTR","Transthyretin","P02766"
-0.745657203435954,17.5299949692205,-5.96695537155982,0.000129944208977778,0.00995527013853016,1.47220735817207,"P0DMM9",1,-5.58539256634867,0.000175281200230871,0.00989209902415315,0.745657203435954,"Up in MF",2.00471154481498,"SULT1A3;SULT1A4","Sulfotransferase 1A3","P0DMM9"
-0.4047241104536,20.733537952218,-5.09732480540364,0.000444519981558931,0.0151383749275347,0.260317399887523,"PRDX1_HUMAN",7,-5.46586274874127,0.000209254004033943,0.0106893920394006,0.404724110453607,"Non-significant",1.97104699464547,"PRDX1","Peroxiredoxin-1","PRDX1_HUMAN"
-0.458349684364936,18.8047989651514,-4.93937945225955,0.00056222007305092,0.0164114716562007,0.027574197614527,"O75874",8,-5.28612278897565,0.000274172605890542,0.0113056232692056,0.458349684364936,"Non-significant",1.94670549038051,"IDH1","Isocitrate dehydrogenase [NADP] cytoplasmic","O75874"
-0.306588991247921,18.5291899818427,-4.6989102956301,0.000809473321873759,0.0198482858523446,-0.334073876971567,"P02786",8,-5.23773924402956,0.000295089677499658,0.0113056232692056,0.306588991247921,"Non-significant",1.94670549038051,"TFRC","Transferrin receptor protein 1","P02786"
-0.48921699695466,18.0987994707628,-5.51225170021076,0.000243935540273032,0.0116623808100179,0.853274051269078,"P55795",3,-5.27728309704567,0.000277873331774546,0.0113056232692056,0.489216996954653,"Non-significant",1.94670549038051,"HNRNPF;HNRNPH1","Heterogeneous nuclear ribonucleoprotein H","P55795"
-0.451774795080958,22.00756663283,-4.84468890519416,0.000648351726916021,0.0172799829825879,-0.113791353274312,"P60174",20,-5.32636154676377,0.000257976027326497,0.0113056232692056,0.451774795080954,"Non-significant",1.94670549038051,"TPI1","Triosephosphate isomerase","P60174"
-0.281667129157015,20.171552992601,-4.65776964068511,0.000862270372934129,0.0203296822541777,-0.396813425248634,"O00299",7,-5.14712965509006,0.000338953288831423,0.012222256826686,0.281667129157011,"Non-significant",1.91284859467603,"CLIC1","Chloride intracellular channel protein 1","O00299"
-0.477703586934361,17.2964100464267,-6.0162244223085,0.000121579948153872,0.00995527013853016,1.53734637045043,"P01130",1,-5.01566713610002,0.000415302031206714,0.0128735374338337,0.477703586934357,"Non-significant",1.89030209980101,"LDLR","Low-density lipoprotein receptor","P01130"
0.297486156145066,25.406629779657,4.3620067811666,0.00136761416773742,0.0251785739967026,-0.855051175644849,"P04217",16,5.06419601046549,0.000385187427042201,0.0128735374338337,-0.297486156145066,"Non-significant",1.89030209980101,"A1BG","Alpha-1B-glycoprotein","P04217"
