"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HMF_vs_OF","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-0.360227340620309,24.3379721001855,-7.10729710140679,2.98368446158683e-05,0.0081783737732714,2.89564359025052,"P01019",23,-9.77437617796587,9.98287911830848e-07,0.00061195048995231,0.360227340620302,"Non-significant",3.21328371316538,"AGT","Angiotensinogen","P01019"
-0.347179227645089,20.1642647608324,-6.8675320010231,4.00246677321602e-05,0.0081783737732714,2.60850621115773,"Q99574",6,-7.40709188308068,1.41921438845618e-05,0.00434989210061819,0.347179227645086,"Non-significant",2.36152151561716,"SERPINI1","Neuroserpin","Q99574"
-0.259622334114841,26.780650502234,-5.077876691487,0.000454118079493371,0.0168830968007024,0.198205462657277,"P01023",90,-6.74439469994686,3.32818789724484e-05,0.00485821665947048,0.259622334114841,"Non-significant",2.31352312108414,"A2M","Alpha-2-macroglobulin","P01023"
-0.354859383068167,26.966005412413,-5.27298390865159,0.000341070599312457,0.0168830968007024,0.4846358677636,"P02771",77,-6.24614631927938,6.55265408670036e-05,0.00485821665947048,0.35485938306816,"Non-significant",2.31352312108414,"AFP","Alpha-fetoprotein","P02771"
-0.507079509657189,18.1223557313902,-6.41500573212481,7.10417837243006e-05,0.00870972268459925,2.04432411770502,"P02786",8,-6.98783162874838,2.41828801829366e-05,0.00485821665947048,0.507079509657189,"Up in OF",2.31352312108414,"TFRC","Transferrin receptor protein 1","P02786"
-0.328708980577836,25.3910183674406,-5.20405310265414,0.000377135606626728,0.0168830968007024,0.384105937917797,"P04217",16,-6.24706786482769,6.54425061769265e-05,0.00485821665947048,0.32870898057784,"Non-significant",2.31352312108414,"A1BG","Alpha-1B-glycoprotein","P04217"
0.410164959536218,21.4976671463217,5.62464644485854,0.00020639707088488,0.0168830968007024,0.98613633884805,"P07858",8,6.1854085830487,7.13278139237101e-05,0.00485821665947048,-0.410164959536221,"Non-significant",2.31352312108414,"CTSB","Cathepsin B","P07858"
-0.683829038813123,16.9351351220002,-7.24141297631267,2.53915310574664e-05,0.0081783737732714,3.05279857510585,"P10253",1,-6.23102263906954,6.69222633041235e-05,0.00485821665947048,0.683829038813119,"Up in OF",2.31352312108414,"GAA","Lysosomal alpha-glucosidase","P10253"
-0.296848230209967,23.5280016199297,-5.16612037105781,0.000398699645923389,0.0168830968007024,0.32847373057564,"Q16819",23,-6.56861750122857,4.21107352080812e-05,0.00485821665947048,0.296848230209978,"Non-significant",2.31352312108414,"MEP1A","Meprin A subunit alpha","Q16819"
-0.630696204058022,16.9053718400933,-6.42131629044018,7.04630014584176e-05,0.00870972268459925,2.05239617222489,"P54760",2,-5.88669047075588,0.000109050274453602,0.00668478182400581,0.630696204058015,"Up in OF",2.17491276254958,"EPHB4","Ephrin type-B receptor 4","P54760"
0.216602607993831,24.901886429195,4.18730180871393,0.00179686912636149,0.0397020453704689,-1.18047285248994,"P06727",48,5.73396223683141,0.000136130907605582,0.00758620421474745,-0.216602607993828,"Non-significant",2.11997547060446,"APOA4","Apolipoprotein A-IV","P06727"
-0.251097338658191,21.590808971529,-4.37334304300544,0.00133583914926429,0.0327547759399605,-0.883301625425355,"P00450",21,-5.54087024611399,0.000181040551907308,0.00906016790114338,0.251097338658191,"Non-significant",2.04286375399378,"CP","Ceruloplasmin","P00450"
-0.481638782047675,20.0247672822243,-5.17809929315319,0.000391751168960711,0.0168830968007024,0.34606581298264,"P07306",7,-5.50101181500765,0.000192140591704509,0.00906016790114338,0.481638782047675,"Non-significant",2.04286375399378,"ASGR1","Asialoglycoprotein receptor 1","P07306"
0.416040116017033,17.8047082402835,5.30236617622258,0.000326833317662468,0.0168830968007024,0.527265893086603,"Q9UBG0",5,5.43297209286905,0.000212794382868101,0.00931735404986756,-0.416040116017037,"Non-significant",2.03070740145404,"MRC2","C-type mannose receptor 2","Q9UBG0"
-0.561851559440978,24.9773974816968,-5.05726580611569,0.000468209862335956,0.0168830968007024,0.167608221467355,"P10809",7,-5.33016356349178,0.000248599895802786,0.0101594490751405,0.561851559440978,"Up in OF",1.99312984226014,"HSPD1","60 kDa heat shock protein, mitochondrial","P10809"
-0.859652444985521,20.6338905056786,-5.11320199922414,0.000431006304765924,0.0168830968007024,0.250496313955134,"P02766",5,-5.28059247404621,0.000268102038947551,0.010271659367178,0.859652444985517,"Up in OF",1.98835939128144,"TTR","Transthyretin","P02766"
0.539037952807323,17.0543007924669,5.53747612757777,0.000233382866866628,0.0168830968007024,0.863598620411769,"Q96IY4",2,5.06658189208014,0.000372944874951935,0.0134479534320904,-0.53903795280732,"Up in HMF",1.87134380345178,"CPB2","Carboxypeptidase B2","Q96IY4"
0.980501807463844,15.3000351577391,5.10293643044346,0.000437590564302716,0.0168830968007024,0.235320119586128,"Q5R3I4",1,5.01781060394114,0.000402445685619507,0.0137055114047088,-0.980501807463842,"Up in HMF",1.86310475464478,"TTC38","Tetratricopeptide repeat protein 38","Q5R3I4"
0.324854767722826,20.3738381710699,4.17389886933236,0.00183599191164509,0.0397020453704689,-1.2020529999579,"O00468",32,4.80026797540384,0.000567494371002396,0.0183091604960247,-0.32485476772283,"Non-significant",1.73733156833088,"AGRN","Agrin","O00468"
