"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","OF_vs_HMF","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.360227340620316,24.3379721001855,7.10729710140694,2.98368446158626e-05,0.00817837377327106,2.8956435902507,"P01019",23,9.77437617796611,9.98287911830601e-07,0.000611950489952158,-0.360227340620302,"Non-significant",3.21328371316549,"AGT","Angiotensinogen","P01019"
0.347179227645093,20.1642647608324,6.86753200102314,4.00246677321585e-05,0.00817837377327106,2.60850621115777,"Q99574",6,7.40709188308072,1.41921438845611e-05,0.00434989210061796,-0.347179227645086,"Non-significant",2.36152151561718,"SERPINI1","Neuroserpin","Q99574"
0.259622334114848,26.780650502234,5.07787669148706,0.000454118079493331,0.0168830968007023,0.198205462657365,"P01023",90,6.74439469994689,3.32818789724474e-05,0.00485821665947019,-0.259622334114841,"Non-significant",2.31352312108416,"A2M","Alpha-2-macroglobulin","P01023"
0.35485938306816,26.966005412413,5.27298390865144,0.000341070599312533,0.0168830968007023,0.484635867763377,"P02771",77,6.24614631927919,6.55265408670213e-05,0.00485821665947019,-0.35485938306816,"Non-significant",2.31352312108416,"AFP","Alpha-fetoprotein","P02771"
0.507079509657189,18.1223557313902,6.41500573212487,7.10417837242941e-05,0.00870972268459846,2.04432411770511,"P02786",8,6.98783162874846,2.41828801829339e-05,0.00485821665947019,-0.507079509657189,"Up in OF",2.31352312108416,"TFRC","Transferrin receptor protein 1","P02786"
0.328708980577833,25.3910183674406,5.20405310265409,0.000377135606626757,0.0168830968007023,0.384105937917722,"P04217",16,6.24706786482763,6.54425061769315e-05,0.00485821665947019,-0.32870898057784,"Non-significant",2.31352312108416,"A1BG","Alpha-1B-glycoprotein","P04217"
-0.410164959536221,21.4976671463217,-5.62464644485857,0.00020639707088487,0.0168830968007023,0.986136338848097,"P07858",8,-6.18540858304874,7.13278139237059e-05,0.00485821665947019,0.410164959536221,"Non-significant",2.31352312108416,"CTSB","Cathepsin B","P07858"
0.683829038813119,16.9351351220002,7.24141297631263,2.53915310574676e-05,0.00817837377327106,3.0527985751058,"P10253",1,6.23102263906951,6.69222633041266e-05,0.00485821665947019,-0.683829038813119,"Up in OF",2.31352312108416,"GAA","Lysosomal alpha-glucosidase","P10253"
0.296848230209974,23.5280016199297,5.16612037105789,0.000398699645923343,0.0168830968007023,0.328473730575754,"Q16819",23,6.56861750122865,4.21107352080769e-05,0.00485821665947019,-0.296848230209978,"Non-significant",2.31352312108416,"MEP1A","Meprin A subunit alpha","Q16819"
0.630696204058015,16.9053718400933,6.42131629044013,7.04630014584218e-05,0.00870972268459846,2.05239617222483,"P54760",2,5.88669047075583,0.000109050274453609,0.00668478182400626,-0.630696204058015,"Up in OF",2.17491276254955,"EPHB4","Ephrin type-B receptor 4","P54760"
-0.216602607993835,24.901886429195,-4.18730180871412,0.00179686912636094,0.0397020453704674,-1.18047285248964,"P06727",48,-5.7339622368318,0.000136130907605504,0.00758620421474309,0.216602607993828,"Non-significant",2.11997547060471,"APOA4","Apolipoprotein A-IV","P06727"
0.251097338658191,21.590808971529,4.37334304300546,0.00133583914926424,0.0327547759399592,-0.883301625425318,"P00450",21,5.54087024611404,0.000181040551907294,0.00906016790114365,-0.251097338658191,"Non-significant",2.04286375399377,"CP","Ceruloplasmin","P00450"
0.481638782047675,20.0247672822243,5.17809929315317,0.000391751168960721,0.0168830968007023,0.346065812982611,"P07306",7,5.50101181500763,0.000192140591704515,0.00906016790114365,-0.481638782047675,"Non-significant",2.04286375399377,"ASGR1","Asialoglycoprotein receptor 1","P07306"
-0.41604011601703,17.8047082402835,-5.30236617622251,0.000326833317662504,0.0168830968007023,0.527265893086494,"Q9UBG0",5,-5.43297209286898,0.000212794382868124,0.00931735404986858,0.416040116017037,"Non-significant",2.03070740145399,"MRC2","C-type mannose receptor 2","Q9UBG0"
0.561851559440981,24.9773974816968,5.0572658061157,0.000468209862335952,0.0168830968007023,0.167608221467361,"P10809",7,5.33016356349178,0.000248599895802784,0.0101594490751404,-0.561851559440978,"Up in OF",1.99312984226014,"HSPD1","60 kDa heat shock protein, mitochondrial","P10809"
0.859652444985528,20.6338905056786,5.1132019992242,0.000431006304765889,0.0168830968007023,0.250496313955214,"P02766",5,5.28059247404626,0.000268102038947528,0.0102716593671772,-0.859652444985517,"Up in OF",1.98835939128147,"TTR","Transthyretin","P02766"
-0.539037952807327,17.0543007924669,-5.5374761275778,0.000233382866866618,0.0168830968007023,0.86359862041181,"Q96IY4",2,-5.06658189208017,0.000372944874951918,0.0134479534320897,0.53903795280732,"Up in HMF",1.8713438034518,"CPB2","Carboxypeptidase B2","Q96IY4"
-0.980501807463844,15.3000351577391,-5.10293643044344,0.000437590564302734,0.0168830968007023,0.235320119586087,"Q5R3I4",1,-5.01781060394112,0.000402445685619521,0.0137055114047093,0.980501807463842,"Up in HMF",1.86310475464477,"TTC38","Tetratricopeptide repeat protein 38","Q5R3I4"
-0.32485476772283,20.3738381710699,-4.17389886933243,0.0018359919116449,0.0397020453704674,-1.20205299995779,"O00468",32,-4.80026797540392,0.000567494371002327,0.0183091604960225,0.32485476772283,"Non-significant",1.73733156833093,"AGRN","Agrin","O00468"
-0.661421718994632,18.2818259869003,-4.57323711622379,0.000976572758904793,0.028506623867078,-0.569179795860633,"P05121",6,-4.75647123434211,0.000608638935388605,0.0186547833696608,0.661421718994628,"Up in HMF",1.72920978987736,"SERPINE1","Plasminogen activator inhibitor 1","P05121"
-0.227272830093113,22.6064721716074,-3.75515194685202,0.00364021902571504,0.0603095746692789,-1.88671050978134,"P0C0L4",49,-4.688253265219,0.000679108985384724,0.0198235146686112,0.227272830093106,"Non-significant",1.70281934350051,"C4A","Complement C4-A","P0C0L4"
0.320967564192816,20.4197714574987,4.40055088952373,0.00127966023863181,0.0326846552617207,-0.840223617761602,"P27797",6,4.64378438763161,0.000729635601825519,0.0203303010872292,-0.320967564192813,"Non-significant",1.69185618950982,"CALR","Calreticulin","P27797"
-0.565427355085241,17.9884876547522,-4.64487366456021,0.000874057272434175,0.0281998477895868,-0.457970739479035,"Q16651",3,-4.59243635477295,0.000792941646319646,0.0211336186606062,0.565427355085241,"Up in HMF",1.67502613334154,"PRSS8","Prostasin","Q16651"
0.226513274345695,23.8139640003212,3.68599428233579,0.00408412300779966,0.0641940359943895,-2.00151352614608,"P51654",20,4.51982782712253,0.000892494760970135,0.0227958036864455,-0.226513274345702,"Non-significant",1.64214509175175,"GPC3","Glypican-3","P51654"
-0.459359440071772,19.9835337590549,-4.43022969289724,0.00122121221638515,0.0326846552617207,-0.793347661457028,"Q6H9L7",3,-4.30946827048324,0.00126227997633918,0.0309511050198367,0.459359440071768,"Non-significant",1.50932384113658,"ISM2","Isthmin-2","Q6H9L7"
0.575520497151924,19.0029696426829,4.42349529945442,0.00123422278584214,0.0326846552617207,-0.803973732692237,"Q9Y624",2,4.25730146288576,0.00137683433617289,0.0324615172336148,-0.575520497151928,"Up in OF",1.48863118534813,"F11R","Junctional adhesion molecule A","Q9Y624"
-0.917091154359479,18.6599370687983,-4.15975926224425,0.0018782370566779,0.0397020453704674,-1.22484344044516,"P81605",2,-4.19268846952839,0.00153397607335798,0.0348269382580904,0.917091154359483,"Up in HMF",1.45808470401043,"DCD","Dermcidin","P81605"
0.476626811776285,16.6212857628743,4.24542395766745,0.00163708553096326,0.0385974396338645,-1.08715150187604,"P10646",3,4.16560137705134,0.00160532781805607,0.035145212588156,-0.476626811776288,"Non-significant",1.45413382535678,"TFPI","Tissue factor pathway inhibitor","P10646"
-0.366855711025767,17.1608974879593,-5.47916878698646,0.000253526755322584,0.0168830968007023,0.780981512833677,"P63313",1,-4.12625952386301,0.0017151923932314,0.0362556185189947,0.366855711025764,"Non-significant",1.44062468143185,"TMSB10","Thymosin beta-10","P63313"
0.48138061860034,17.3838269341822,4.58731264412583,0.000955467952203898,0.028506623867078,-0.547271089621209,"P11279",1,4.06854655869054,0.00189076029078922,0.0386345352751265,-0.481380618600348,"Non-significant",1.41302430740399,"LAMP1","Lysosome-associated membrane glycoprotein 1","P11279"
-0.717049087455312,16.4594515888475,-4.03311180778639,0.00230540419945467,0.0433670753360576,-1.43005531413928,"O95372",1,-3.93377249757656,0.00237764490775895,0.043022934451536,0.717049087455312,"Up in HMF",1.36629997115342,"LYPLA2","Acyl-protein thioesterase 2","O95372"
-0.328657425500982,22.7409836531657,-3.56966391253649,0.00496209832251055,0.0720462223973758,-2.19553064235192,"P00738",31,-3.97390197945113,0.00222034588265906,0.043022934451536,0.328657425500978,"Non-significant",1.36629997115342,"HP","Haptoglobin","P00738"
0.277488039324087,19.7172405429023,4.02513037150503,0.00233553180060379,0.0433670753360576,-1.44305131837647,"P24347",4,3.91729697577022,0.00244553932454656,0.043022934451536,-0.277488039324084,"Non-significant",1.36629997115342,"MMP11","Stromelysin-3","P24347"
-0.128438312378616,21.6120072160209,-2.70792070436826,0.0216979682991305,0.179741277937392,-3.64796585352407,"P98160",21,-3.91469417622913,0.00245644813344822,0.043022934451536,0.128438312378609,"Non-significant",1.36629997115342,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","P98160"
-0.430643350678913,17.7298220208509,-4.00865138580431,0.00239904794221215,0.0433670753360576,-1.46990679567091,"Q76LX8",3,-3.91505092529865,0.00245494994853234,0.043022934451536,0.430643350678913,"Non-significant",1.36629997115342,"ADAMTS13","A disintegrin and metalloproteinase with thrombospondin motifs 13","Q76LX8"
