"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HF_vs_OF","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
6.15663509368897,17.453234577179,23.038226466475,4.36847419847684e-10,2.6778746836663e-07,13.4771693956011,"P03146",1,23.1464607732165,1.74582497341513e-10,1.07019070870347e-07,-6.15663509368898,"Up in HF",6.97053882384983,"C","Capsid protein","P03146"
-0.593408437161507,20.2835510210143,-11.1106571058968,5.34889999917655e-07,0.000109295856649841,6.807553632202,"P27797",6,-12.0327635524257,1.48502856589722e-07,4.55161255447499e-05,0.593408437161511,"Up in OF",4.34183471335616,"CALR","Calreticulin","P27797"
-0.821821376744033,19.0565316713838,-11.252441875513,4.74576379028536e-07,0.000109295856649841,6.92853427330197,"P30048",3,-10.3356306456951,6.70618043315891e-07,0.000137029620184214,0.821821376744033,"Up in OF",3.86318554603969,"PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial","P30048"
-0.63317867185264,18.0593061502924,-8.56429833762656,5.9104859315725e-06,0.000579604759205588,4.34484308350608,"P02786",8,-9.41848849689229,1.65500867263755e-06,0.000253630079081704,0.63317867185264,"Up in OF",3.59579924288587,"TFRC","Transferrin receptor protein 1","P02786"
-0.762516233793239,18.9094717743623,-9.90369760375527,1.56693524462451e-06,0.000240132826238706,5.71287980317741,"Q9Y624",2,-8.52807307266024,4.2676699850316e-06,0.000523216340164874,0.762516233793242,"Up in OF",3.28131870135691,"F11R","Junctional adhesion molecule A","Q9Y624"
-0.621080112140071,19.1491298720555,-8.4571660230454,6.618651410178e-06,0.000579604759205588,4.22758890116073,"P61604",4,-8.28032180734031,5.63060567886497e-06,0.000575260213524038,0.621080112140071,"Up in OF",3.24013566185923,"HSPE1","10 kDa heat shock protein, mitochondrial","P61604"
-0.428295524556585,25.044175499139,-7.11834692607958,3.00889757027938e-05,0.00230556776322658,2.65166838654808,"P10809",7,-7.91024081484922,8.61969176240387e-06,0.000754838721479082,0.428295524556585,"Non-significant",3.12214582963407,"HSPD1","60 kDa heat shock protein, mitochondrial","P10809"
-0.539957475785545,17.007070903514,-9.14491855000428,3.26111227736332e-06,0.000399812365204744,4.9594576131096,"P10253",1,-6.73787060924181,3.67791302509632e-05,0.00269224270779055,0.539957475785538,"Up in OF",2.56988579069518,"GAA","Lysosomal alpha-glucosidase","P10253"
0.345032561841169,20.8552397778865,5.46923692476603,0.000260933193321044,0.0114251462504143,0.392863986358345,"Q15063",21,6.68294025868612,3.95272175695186e-05,0.00269224270779055,-0.345032561841169,"Non-significant",2.56988579069518,"POSTN","Periostin","Q15063"
-0.336550880687462,19.3046870331638,-5.21935096680193,0.000373820744847,0.0129104228506088,0.0171787927108777,"P07237",17,-6.27188325560445,6.86221018883349e-05,0.00420653484575493,0.336550880687462,"Non-significant",2.37607550915978,"P4HB","Protein disulfide-isomerase","P07237"
-0.513930344140537,16.7749137956603,-6.53415568211796,6.21149739634865e-05,0.00380764790396172,1.8942222202588,"P05387",2,-5.66188088646969,0.000162232678449181,0.00768455586501249,0.513930344140537,"Up in OF",2.11438122783218,"RPLP2","60S acidic ribosomal protein P2","P05387"
-0.557741087937746,17.1016683202778,-6.68392427709016,5.13744670767827e-05,0.00349917203534087,2.09272630605227,"P62310",1,-5.65876944738484,0.000162967742651162,0.00768455586501249,0.557741087937735,"Up in OF",2.11438122783218,"LSM3","U6 snRNA-associated Sm-like protein LSm3","P62310"
-0.290878513667561,20.1924151178212,-5.30056735947568,0.000332272319097882,0.0127301832254376,0.140261959673587,"Q99574",6,-5.72378242683609,0.000148320471709702,0.00768455586501249,0.290878513667558,"Non-significant",2.11438122783218,"SERPINI1","Neuroserpin","Q99574"
-0.743945448065542,22.2943021442602,-5.39867025660216,0.000288556105403363,0.0117923261741508,0.28767844791973,"P07148",5,-5.54106285625592,0.000193556901123337,0.00847502717061469,0.743945448065542,"Up in OF",2.07185890079106,"FABP1","Fatty acid-binding protein, liver","P07148"
-0.553530309854857,19.9888215183207,-5.18016470167943,0.000395820759678267,0.0129104228506088,-0.0425443538718504,"P07306",7,-5.44984140332191,0.000221457359238352,0.009050224080874,0.553530309854853,"Up in OF",2.04334066765863,"ASGR1","Asialoglycoprotein receptor 1","P07306"
0.383082319820957,32.1617335063916,4.65930039779865,0.000864338393163977,0.0172615680965845,-0.856847635270159,"ALBU_BOVIN",67,5.23908528395723,0.000303645086147506,0.00930672189042107,-0.383082319820954,"Non-significant",2.03120326376632,"ALB","Albumin","ALBU_BOVIN"
-0.446188195195766,18.2016251833973,-5.12283336691055,0.000430532158185978,0.0129104228506088,-0.13031555267721,"P08571",5,-5.24843118050459,0.000299384623052384,0.00930672189042107,0.446188195195766,"Non-significant",2.03120326376632,"CD14","Monocyte differentiation antigen CD14","P08571"
-0.809674744256878,17.9976579607849,-5.16960770186774,0.00040198108725656,0.0129104228506088,-0.0586714776337498,"P23141",4,-5.25403012212716,0.000296862721238789,0.00930672189042107,0.809674744256881,"Up in OF",2.03120326376632,"CES1","Liver carboxylesterase 1","P23141"
-0.397321941443476,19.5200250636068,-5.97615592224437,0.000129269867478469,0.00720385716039103,1.12750346806768,"Q16790",3,-5.37858478127924,0.000246222997135985,0.00930672189042107,0.397321941443479,"Non-significant",2.03120326376632,"CA9","Carbonic anhydrase 9","Q16790"
-0.427603149482497,18.47284268827,-5.75183961264426,0.000175617277011249,0.00828103006214581,0.806949270142256,"SODC_HUMAN",3,-5.30180789870334,0.000276238675091574,0.00930672189042107,0.427603149482501,"Non-significant",2.03120326376632,"SOD1","Superoxide dismutase [Cu-Zn]","SODC_HUMAN"
-0.392504391899433,21.3239708292842,-4.727012334769,0.000779178676342924,0.0170584474499362,-0.748876528516218,"P07737",6,-4.96089900854148,0.000465057216036057,0.0129581851559138,0.392504391899433,"Non-significant",1.88745581883296,"PFN1","Profilin-1","P07737"
-1.2073501361804,15.3849224444721,-4.96081558036319,0.0005473693918217,0.0145885842255088,-0.380867941894346,"Q9Y2B0",1,-4.96166649348821,0.00046450353496147,0.0129581851559138,1.20735013618041,"Up in OF",1.88745581883296,"CNPY2","Protein canopy homolog 2","Q9Y2B0"
-0.470162180525556,17.7314816393224,-5.89614035811048,0.000144085688887077,0.00736037727398151,1.01398038750401,"Q04446",1,-4.91728932656456,0.000497695248788314,0.0132646603264016,0.470162180525556,"Non-significant",1.87730386669622,"GBE1","1,4-alpha-glucan-branching enzyme","Q04446"
-0.246334006690105,19.8158005704418,-3.97507389434903,0.0025548202971081,0.0340457574375493,-1.98022272707089,"P11021",15,-4.81697908993374,0.000582323728235553,0.0144771436682807,0.246334006690105,"Non-significant",1.83931711572658,"HSPA5","Endoplasmic reticulum chaperone BiP","P11021"
-0.512141092693021,20.7459502925585,-4.68798398292903,0.000827116907222997,0.0172615680965845,-0.811034650703859,"P31431",5,-4.80820054334949,0.000590421846177842,0.0144771436682807,0.512141092693017,"Up in OF",1.83931711572658,"SDC4","Syndecan-4","P31431"
-0.64552239493549,16.8344051700348,-5.10453698045772,0.000442282022614657,0.0129104228506088,-0.158424494658647,"P0DMM9",1,-4.77642307639365,0.00062074578053297,0.0146352755179504,0.645522394935497,"Up in OF",1.83459909729584,"SULT1A3;SULT1A4","Sulfotransferase 1A3","P0DMM9"
-0.305487355725226,20.3784322191285,-4.33359285254687,0.00143643385920363,0.0258832529123592,-1.38457671093715,"PRDX1_HUMAN",7,-4.7086424743736,0.000691058622490458,0.015689590206913,0.30548735572523,"Non-significant",1.80438839951062,"PRDX1","Peroxiredoxin-1","PRDX1_HUMAN"
0.561337273038749,18.2997859882517,4.73758462277712,0.000766706612380591,0.0170584474499362,-0.73207404877861,"P15291",3,4.65114182167436,0.000757298618387172,0.0165794304668334,-0.561337273038749,"Up in HF",1.78043039232373,"B4GALT1","Beta-1,4-galactosyltransferase 1","P15291"
0.640868737763107,18.6376014081575,4.73940559807122,0.000764579892321923,0.0170584474499362,-0.729181509704513,"Q6P988",2,4.56644029939943,0.000867337044717056,0.0183337106348812,-0.640868737763114,"Up in HF",1.73674962750028,"NOTUM","Palmitoleoyl-protein carboxylesterase NOTUM","Q6P988"
-0.230057439582037,19.3326303998456,-3.87793993850727,0.00299467261600012,0.0382444648668349,-2.14394462807833,"P14625",9,-4.5418141278757,0.000902400407031043,0.018439048317001,0.230057439582041,"Non-significant",1.7342614976718,"HSP90B1","Endoplasmin","P14625"
-0.713817343339414,17.7403046119351,-4.65286251660638,0.00087293411255158,0.0172615680965845,-0.867145221571458,"Q00839",1,-4.4781255261096,0.0010001820190356,0.0197777928280266,0.713817343339411,"Up in OF",1.70382217664651,"HNRNPU","Heterogeneous nuclear ribonucleoprotein U","Q00839"
-0.496557163189046,17.3383818349463,-4.32510273483653,0.00145586636017684,0.0258832529123592,-1.39851134826427,"P50226",5,-4.43681882799051,0.00106951127798112,0.0204878254188258,0.496557163189046,"Non-significant",1.6885041352407,"SULT1A1","Sulfotransferase 1A1","P50226"
0.473147101051058,17.2140431829719,4.97128168918193,0.000538883758017512,0.0145885842255088,-0.364571171305041,"P63313",1,4.37447146492788,0.00118387847193832,0.0219914394938845,-0.473147101051058,"Non-significant",1.65774634209034,"TMSB10","Thymosin beta-10","P63313"
-0.180888993906592,21.4134251636365,-3.39859840604878,0.00666229357450308,0.0648251739868315,-2.96297593164521,"P02750",12,-4.32736245201658,0.00127877678015989,0.0230555931246474,0.180888993906592,"Non-significant",1.63722370070773,"LRG1","Leucine-rich alpha-2-glycoprotein","P02750"
-0.64697996734126,17.5307009886148,-4.25523570049038,0.00162670217458095,0.0269504981896791,-1.51351119761655,"P55795",3,-4.25107402364815,0.00144975446465271,0.025391413909489,0.646979967341256,"Up in OF",1.5953131149596,"HNRNPF;HNRNPH1","Heterogeneous nuclear ribonucleoprotein H","P55795"
-0.64651049464748,18.9320489590868,-4.0444252832004,0.00228253429260999,0.0333775349831768,-1.86390298150969,"Q3LXA3",6,-4.17943272820067,0.00163220027966925,0.0277927436510348,0.646510494647483,"Up in OF",1.55606857831479,"TKFC","Triokinase/FMN cyclase","Q3LXA3"
-0.515991226311741,18.1904620754118,-4.53379962814609,0.0010493534654961,0.0201016773234097,-1.05857668783415,"P04179",1,-4.15979954994056,0.00168628523135433,0.0279376445086542,0.515991226311737,"Up in OF",1.5538102131115,"SOD2","Superoxide dismutase [Mn], mitochondrial","P04179"
-0.166306643944562,24.4349324485234,-3.09708501280415,0.0111378845000166,0.0875323486988487,-3.48360443885066,"P01019",23,-4.14030410645504,0.00174184820870668,0.0280987618930841,0.166306643944559,"Non-significant",1.55131281585463,"AGT","Angiotensinogen","P01019"
-0.394188626617147,17.8151860681182,-4.79416353061302,0.000703466682018887,0.0170584474499362,-0.642411398667627,"O43493",1,-4.03946206649621,0.00206141760030509,0.0303854992312613,0.394188626617147,"Non-significant",1.51733362383531,"TGOLN2","Trans-Golgi network integral membrane protein 2","O43493"
0.636114084286355,16.418984087263,4.1973224015367,0.00178429696602867,0.0287835273730414,-1.60927128430339,"O95372",1,4.03357275332733,0.00208187759822671,0.0303854992312613,-0.636114084286355,"Up in HF",1.51733362383531,"LYPLA2","Acyl-protein thioesterase 2","O95372"
-0.892638321272237,16.8436228140832,-4.00465875009725,0.00243472084427419,0.0333775349831768,-1.93054115809227,"P06748",3,-4.06076752781002,0.00198913602169641,0.0303854992312613,0.892638321272237,"Up in OF",1.51733362383531,"NPM1","Nucleophosmin","P06748"
-0.561339245205886,18.1189855412639,-4.31325592167485,0.00148344632164629,0.0258832529123592,-1.41796982996584,"Q15084",1,-4.05537825453069,0.00200716625580106,0.0303854992312613,0.561339245205886,"Up in OF",1.51733362383531,"PDIA6","Protein disulfide-isomerase A6","Q15084"
0.664110877066975,20.1251853051762,4.03405061970278,0.00232125085476952,0.0333775349831768,-1.88127232546774,"P05155",2,3.96558859694689,0.00233399508208561,0.0332729996585692,-0.664110877066975,"Up in HF",1.47790804444408,"SERPING1","Plasma protease C1 inhibitor","P05155"
-0.483155846880077,19.9595333476374,-3.79761582998007,0.00341802090613721,0.0419049363092422,-2.2799953970993,"P50895",6,-3.93721980947883,0.00244842393503299,0.0341109970948915,0.483155846880081,"Non-significant",1.46710558559172,"BCAM","Basal cell adhesion molecule","P50895"
-0.620030158021095,15.7067984983488,-4.00536758199278,0.00243191698410255,0.0333775349831768,-1.92935191430033,"Q96FW1",2,-3.91568045967673,0.00253919756020511,0.0345895134312385,0.620030158021088,"Up in OF",1.46105554713899,"OTUB1","Ubiquitin thioesterase OTUB1","Q96FW1"
-0.65267206612689,16.8943839090589,-3.94742550036961,0.00267267364185661,0.0348584881374065,-2.02673168701198,"P54760",2,-3.8818556939088,0.00268887668328507,0.0358322044968207,0.652672066126886,"Up in OF",1.44572647200824,"EPHB4","Ephrin type-B receptor 4","P54760"
-0.541349964712683,17.8097627439355,-4.00075411891269,0.00245022687478459,0.0333775349831768,-1.93709307973911,"P14314",2,-3.85505812298624,0.00281395936754291,0.0359366060896626,0.54134996471268,"Up in OF",1.44446294075322,"PRKCSH","Glucosidase 2 subunit beta","P14314"
-0.388308041362997,16.2989484632911,-4.29788233653409,0.00152006052992648,0.0258832529123592,-1.44324626199886,"Q9BTY2",2,-3.86170154956743,0.00278239663019854,0.0359366060896626,0.388308041362997,"Non-significant",1.44446294075322,"FUCA2","Plasma alpha-L-fucosidase","Q9BTY2"
0.484166838608523,18.1931985467073,3.67512815747891,0.00418764840466006,0.0468433098780476,-2.48850690849873,"P05121",6,3.80793708178295,0.00304877794201483,0.0381408342541855,-0.484166838608534,"Non-significant",1.41860981186613,"SERPINE1","Plasminogen activator inhibitor 1","P05121"
-0.505808835341981,20.4244028123347,-3.64774552896646,0.00438314898869545,0.0471380759661458,-2.53527803150023,"B2MG_HUMAN",5,-3.74401265339392,0.00340028202042051,0.041101802232957,0.505808835341981,"Up in OF",1.38613913475001,"B2M","Beta-2-microglobulin","B2MG_HUMAN"
0.402451724105969,16.9860076781162,4.08442335389566,0.00213949394643765,0.0333007228259721,-1.79704440877021,"Q96IY4",2,3.7407071612499,0.00341956266538468,0.041101802232957,-0.402451724105969,"Non-significant",1.38613913475001,"CPB2","Carboxypeptidase B2","Q96IY4"
0.221919469829796,19.919746345941,3.18145932309205,0.00963971285472151,0.0806475338427708,-3.337792363992,"CATD_HUMAN",15,3.70578237018463,0.00363033201192386,0.0427960292944101,-0.221919469829793,"Non-significant",1.3685965238729,"CTSD","Cathepsin D","CATD_HUMAN"
0.30935596271712,24.4780292340015,3.71228358524681,0.00393676201552288,0.0464083676060678,-2.42513187095123,"P01042",4,3.67268145039199,0.00384251924759716,0.0444427226184351,-0.30935596271712,"Non-significant",1.35219934347681,"KNG1","Kininogen-1","P01042"
-0.458852585047374,18.4947867947632,-3.81858797921233,0.0033017880745792,0.0413060426472867,-2.24441824187333,"O43278",2,-3.62139155806929,0.0041969725708336,0.0468960322324185,0.458852585047367,"Non-significant",1.32886390040776,"SPINT1","Kunitz-type protease inhibitor 1","O43278"
-0.402304127974741,16.8564061889722,-4.07481698742,0.00217296723171107,0.0333007228259721,-1.81308631544156,"P01130",1,-3.61991854983179,0.00420763747599187,0.0468960322324185,0.402304127974741,"Non-significant",1.32886390040776,"LDLR","Low-density lipoprotein receptor","P01130"
