"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","OF_vs_HF","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-6.15663509368898,17.453234577179,-23.0382264664751,4.36847419847668e-10,2.67787468366621e-07,13.4771693956011,"P03146",1,-23.1464607732166,1.74582497341506e-10,1.07019070870343e-07,6.15663509368898,"Up in HF",6.97053882384985,"C","Capsid protein","P03146"
0.593408437161507,20.2835510210143,11.1106571058969,5.34889999917616e-07,0.000109295856649833,6.80755363220207,"P27797",6,12.0327635524258,1.48502856589707e-07,4.55161255447452e-05,-0.593408437161511,"Up in OF",4.34183471335621,"CALR","Calreticulin","P27797"
0.82182137674403,19.0565316713838,11.252441875513,4.74576379028539e-07,0.000109295856649833,6.92853427330196,"P30048",3,10.3356306456951,6.70618043315898e-07,0.000137029620184215,-0.821821376744033,"Up in OF",3.86318554603968,"PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial","P30048"
0.633178671852637,18.0593061502924,8.56429833762656,5.91048593157245e-06,0.00057960475920553,4.34484308350608,"P02786",8,9.41848849689231,1.65500867263752e-06,0.0002536300790817,-0.63317867185264,"Up in OF",3.59579924288588,"TFRC","Transferrin receptor protein 1","P02786"
0.762516233793246,18.9094717743623,9.90369760375538,1.56693524462434e-06,0.000240132826238681,5.71287980317751,"Q9Y624",2,8.52807307266033,4.2676699850312e-06,0.000523216340164825,-0.762516233793242,"Up in OF",3.28131870135695,"F11R","Junctional adhesion molecule A","Q9Y624"
0.621080112140074,19.1491298720555,8.4571660230455,6.61865141017735e-06,0.00057960475920553,4.22758890116082,"P61604",4,8.2803218073404,5.63060567886441e-06,0.00057526021352398,-0.621080112140071,"Up in OF",3.24013566185927,"HSPE1","10 kDa heat shock protein, mitochondrial","P61604"
0.428295524556585,25.044175499139,7.11834692607956,3.00889757027947e-05,0.00230556776322665,2.65166838654804,"P10809",7,7.91024081484919,8.61969176240415e-06,0.000754838721479106,-0.428295524556585,"Non-significant",3.12214582963406,"HSPD1","60 kDa heat shock protein, mitochondrial","P10809"
0.539957475785538,17.007070903514,9.14491855000425,3.26111227736344e-06,0.000399812365204758,4.95945761310956,"P10253",1,6.73787060924176,3.67791302509658e-05,0.00269224270779046,-0.539957475785538,"Up in OF",2.56988579069519,"GAA","Lysosomal alpha-glucosidase","P10253"
-0.345032561841172,20.8552397778865,-5.46923692476606,0.000260933193321032,0.0114251462504137,0.392863986358388,"Q15063",21,-6.68294025868615,3.95272175695174e-05,0.00269224270779046,0.345032561841169,"Non-significant",2.56988579069519,"POSTN","Periostin","Q15063"
0.336550880687462,19.3046870331638,5.21935096680193,0.000373820744846999,0.0129104228506088,0.0171787927108724,"P07237",17,6.27188325560445,6.86221018883352e-05,0.00420653484575495,-0.336550880687462,"Non-significant",2.37607550915978,"P4HB","Protein disulfide-isomerase","P07237"
0.513930344140537,16.7749137956603,6.53415568211797,6.21149739634856e-05,0.00380764790396167,1.89422222025881,"P05387",2,5.6618808864697,0.000162232678449179,0.00768455586501406,-0.513930344140537,"Up in OF",2.11438122783209,"RPLP2","60S acidic ribosomal protein P2","P05387"
0.557741087937735,17.1016683202778,6.68392427708997,5.13744670767948e-05,0.00349917203534169,2.09272630605202,"P62310",1,5.6587694473847,0.000162967742651195,0.00768455586501406,-0.557741087937735,"Up in OF",2.11438122783209,"LSM3","U6 snRNA-associated Sm-like protein LSm3","P62310"
0.290878513667554,20.1924151178212,5.30056735947556,0.000332272319097937,0.0127301832254397,0.140261959673409,"Q99574",6,5.72378242683597,0.000148320471709727,0.00768455586501406,-0.290878513667558,"Non-significant",2.11438122783209,"SERPINI1","Neuroserpin","Q99574"
0.743945448065535,22.2943021442602,5.39867025660215,0.000288556105403368,0.011792326174151,0.287678447919705,"P07148",5,5.54106285625591,0.00019355690112334,0.00847502717061483,-0.743945448065542,"Up in OF",2.07185890079105,"FABP1","Fatty acid-binding protein, liver","P07148"
0.55353030985485,19.9888215183207,5.18016470167938,0.000395820759678294,0.0129104228506088,-0.042544353871925,"P07306",7,5.44984140332186,0.000221457359238367,0.0090502240808746,-0.553530309854853,"Up in OF",2.0433406676586,"ASGR1","Asialoglycoprotein receptor 1","P07306"
-0.383082319820964,32.1617335063916,-4.6593003977987,0.000864338393163912,0.0172615680965847,-0.856847635270086,"ALBU_BOVIN",67,-5.23908528395727,0.000303645086147487,0.00930672189042049,0.383082319820954,"Non-significant",2.03120326376635,"ALB","Albumin","ALBU_BOVIN"
0.446188195195759,18.2016251833973,5.12283336691045,0.000430532158186037,0.0129104228506088,-0.13031555267736,"P08571",5,5.2484311805045,0.000299384623052427,0.00930672189042049,-0.446188195195766,"Non-significant",2.03120326376635,"CD14","Monocyte differentiation antigen CD14","P08571"
0.809674744256881,17.9976579607849,5.16960770186779,0.000401981087256532,0.0129104228506088,-0.058671477633685,"P23141",4,5.25403012212721,0.000296862721238767,0.00930672189042049,-0.809674744256881,"Up in OF",2.03120326376635,"CES1","Liver carboxylesterase 1","P23141"
0.397321941443479,19.5200250636068,5.9761559222445,0.000129269867478445,0.00720385716038972,1.12750346806786,"Q16790",3,5.37858478127934,0.000246222997135948,0.00930672189042049,-0.397321941443479,"Non-significant",2.03120326376635,"CA9","Carbonic anhydrase 9","Q16790"
0.427603149482497,18.47284268827,5.75183961264427,0.000175617277011247,0.00828103006214571,0.806949270142262,"SODC_HUMAN",3,5.30180789870335,0.000276238675091572,0.00930672189042049,-0.427603149482501,"Non-significant",2.03120326376635,"SOD1","Superoxide dismutase [Cu-Zn]","SODC_HUMAN"
0.392504391899429,21.3239708292842,4.72701233476899,0.000779178676342945,0.0170584474499366,-0.748876528516251,"P07737",6,4.96089900854147,0.000465057216036068,0.0129581851559141,-0.392504391899433,"Non-significant",1.88745581883295,"PFN1","Profilin-1","P07737"
1.2073501361804,15.3849224444721,4.96081558036317,0.000547369391821713,0.0145885842255091,-0.380867941894377,"Q9Y2B0",1,4.9616664934882,0.000464503534961481,0.0129581851559141,-1.20735013618041,"Up in OF",1.88745581883295,"CNPY2","Protein canopy homolog 2","Q9Y2B0"
0.470162180525556,17.7314816393224,5.89614035811059,0.000144085688887056,0.00736037727398046,1.01398038750415,"Q04446",1,4.91728932656462,0.000497695248788268,0.0132646603264004,-0.470162180525556,"Non-significant",1.87730386669626,"GBE1","1,4-alpha-glucan-branching enzyme","Q04446"
