"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","C_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-3.48840975761415,16.7950521707535,-12.5698162959483,2.67858154130183e-06,0.0165054194575019,4.4778374928985,"P0C6L3;P29996",2,-13.3277713311301,3.13480341328419e-07,0.00193166586326572,3.48840975761415,"Up in D",2.71406799504783,"P0C6L3;P29996","Small delta antigen","P0C6L3;P29996"
-2.92256593704222,16.3661749362946,-9.62106121594305,1.78152227647763e-05,0.0548887013382758,3.17879475652403,"P02489;A0A140G945;E7EWH7;A0A096LPJ9",2,-10.2568395479701,2.89617941022272e-06,0.00892312876289622,2.92256593704222,"Up in D",2.04948283999486,"CRYAA;CRYAA2","Alpha-crystallin A2 chain","P02489;A0A140G945;E7EWH7;A0A096LPJ9"
-0.247951030731222,18.1254665851593,-8.02975851003827,6.18844528507895e-05,0.0635553330777608,2.19717478649432,"P00736;A0A3B3ISR2;F5H2D0;B4DPQ0",18,-8.90167744740854,9.33999386170045e-06,0.0143882605439495,0.247951030731222,"Non-significant",1.84199170653777,"C1R","Complement C1r subcomponent","P00736;A0A3B3ISR2;F5H2D0;B4DPQ0"
0.246957778930671,17.9380302429199,8.78420462059009,3.34889234509388e-05,0.0635553330777608,2.69281660817638,"Q5VYS8;Q5VYS9",12,8.9611356200356,8.84561061182778e-06,0.0143882605439495,-0.246957778930675,"Non-significant",1.84199170653777,"TUT7","Terminal uridylyltransferase 7","Q5VYS8;Q5VYS9"
-0.23424673080445,19.4625747203827,-7.44856936666813,0.00010264900900836,0.0743176002447635,1.77314369075171,"P09871;H0Y5D1;A0A087X232;F8WCZ6;F5H7T4",23,-8.50503011921522,1.35291451128842e-05,0.0147758356886417,0.23424673080445,"Non-significant",1.83044794701509,"C1S","Complement C1s subcomponent","P09871;H0Y5D1;A0A087X232;F8WCZ6;F5H7T4"
-2.84063196182253,19.2058398723602,-7.69108817369603,8.28003047631683e-05,0.0728879254215204,1.95483775372121,"P20591;F8W8T1",44,-8.44059102546308,1.43873765225333e-05,0.0147758356886417,2.84063196182252,"Up in D",1.83044794701509,"MX1","Interferon-induced GTP-binding protein Mx1","P20591;F8W8T1"
-0.311614990234403,23.2415132522583,-7.21488441718459,0.000126933238025245,0.0743176002447635,1.59131998676679,"P00738;H0Y300;H3BS21;J3QR68;J3QLC9;A0A087WU08;A0A0C4DGL8",41,-8.27119876033035,1.69426186104022e-05,0.0149143451253284,0.311614990234403,"Non-significant",1.82639581133981,"HP","Haptoglobin","P00738;H0Y300;H3BS21;J3QR68;J3QLC9;A0A087WU08;A0A0C4DGL8"
0.358575820922848,18.1066026687622,6.99810506952918,0.00015531898164532,0.0743176002447635,1.41649309178309,"Q14517;A0A087WVP1",39,7.90981290971536,2.42305907259573e-05,0.017851578995162,-0.358575820922852,"Non-significant",1.74832336394634,"FAT1","Protocadherin Fat 1","Q14517;A0A087WVP1"
0.167662620544426,17.4907827377319,6.86156358960963,0.000176809549460597,0.0743176002447635,1.30323369174653,"Q8IYB7",20,7.83731669099528,2.60733870425929e-05,0.017851578995162,-0.167662620544426,"Non-significant",1.74832336394634,"DIS3L2","DIS3-like exonuclease 2","Q8IYB7"
-0.232046604156473,17.3659374713898,-8.04200299483633,6.12479288765709e-05,0.0635553330777608,2.20569606084216,"P30838;I3L3I9;C9JMC5;E9PNN6",9,-7.57980230427454,3.39727352545045e-05,0.0209339994638257,0.232046604156476,"Non-significant",1.67914779129166,"ALDH3A1","Aldehyde dehydrogenase, dimeric NADP-preferring","P30838;I3L3I9;C9JMC5;E9PNN6"
