"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_I","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-3.64800715446473,16.6416321992874,-10.3840188859052,1.0960434703511e-05,0.0337690993215174,2.33894664808467,"A0A669KAU9",1,-10.8956866853024,1.91130812518899e-06,0.00665076269764458,3.64800715446473,"Up in I",2.17712854772172,"CUL4B","Cullin-4B","A0A669KAU9"
0.441211223602281,20.3383991718292,10.4422577965283,1.0539416971789e-05,0.0337690993215174,2.35695233628928,"P02743",10,10.7376340728284,2.15863768180609e-06,0.00665076269764458,-0.441211223602274,"Non-significant",2.17712854772172,"APCS","Serum amyloid P-component","P02743"
2.51528120040893,19.368515253067,7.14333655499563,0.000140215787924104,0.277113499197829,0.92754771897964,"P20591;F8W8T1",44,7.82381573906918,2.81781956419096e-05,0.0578780138484824,-2.51528120040892,"Non-significant",1.23748638061873,"MX1","Interferon-induced GTP-binding protein Mx1","P20591;F8W8T1"
3.20019125938415,16.9391614198685,6.59416251193504,0.000236253616652973,0.277113499197829,0.581510587209971,"P0C6L3;P29996",2,7.13511372310961,5.77369238038965e-05,0.0889437311199025,-3.20019125938415,"Non-significant",1.05088465619137,"P0C6L3;P29996","Small delta antigen","P0C6L3;P29996"
0.104386329650879,23.9944047927856,4.87444938266877,0.00152352894087333,0.307913794305323,-0.794902372706834,"P21980",44,6.85800115951178,7.81820233150016e-05,0.096351525533408,-0.104386329650879,"Non-significant",1.01614140477089,"TGM2","Protein-glutamine gamma-glutamyltransferase 2","P21980"
1.18128538131715,18.4800107479095,5.75777093619052,0.000558059017787145,0.286563305633699,-0.0275952633771608,"P00973;H0YI20;A0A6Q8PHR1",11,6.28830420621394,0.000149986777235032,0.0968928306231663,-1.18128538131715,"Non-significant",1.01370835644756,"OAS1","2'-5'-oligoadenylate synthase 1","P00973;H0YI20;A0A6Q8PHR1"
0.101242542266856,24.9004018306732,4.75484781850484,0.00176003955126297,0.307913794305323,-0.909548941375265,"P05089;A0A5F9ZH78;A0A5F9ZGN6",31,6.24830130028356,0.00015724250344558,0.0968928306231663,-0.101242542266853,"Non-significant",1.01370835644756,"ARG1","Arginase-1","P05089;A0A5F9ZH78;A0A5F9ZGN6"
0.170699596404994,22.2203042507171,5.56875604182981,0.000685801896207366,0.307913794305323,-0.180448264958639,"P21964;E7EMS6",27,6.51092566988771,0.000115732515126655,0.0968928306231663,-0.170699596405001,"Non-significant",1.01370835644756,"COMT","Catechol O-methyltransferase","P21964;E7EMS6"
0.0814151763915945,22.7515306472778,4.14515015140418,0.00379456919781309,0.307913794305323,-1.53593067515513,"P50395",48,6.35124895103832,0.000139298390931195,0.0968928306231663,-0.0814151763916016,"Non-significant",1.01370835644756,"GDI2","Rab GDP dissociation inhibitor beta","P50395"
1.08914518356325,15.9173996448517,6.26296056550274,0.000328790309472816,0.277113499197829,0.352872926194467,"Q96AZ6;H0YMM4",4,6.6619769667661,9.73988835106463e-05,0.0968928306231663,-1.08914518356325,"Non-significant",1.01370835644756,"ISG20","Interferon-stimulated gene 20 kDa protein","Q96AZ6;H0YMM4"
