"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","DM_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-3.54961228370668,16.7644509077072,-9.68648591530631,1.80196637896893e-05,0.111037168272065,1.96119534688853,"P0C6L3;P29996",2,-10.3677224155707,3.15191308933558e-06,0.0194220884564859,3.54961228370668,"Up in D",1.71170407224672,"P0C6L3;P29996","Small delta antigen","P0C6L3;P29996"
-3.03402280807495,19.109144449234,-7.61505199317787,9.26513294982581e-05,0.190305830789422,1.09082314875257,"P20591;F8W8T1",44,-8.29928586063122,1.89184484689397e-05,0.0550348882281927,3.03402280807495,"Non-significant",1.2593619112076,"MX1","Interferon-induced GTP-binding protein Mx1","P20591;F8W8T1"
-1.76119518280032,15.0536408424378,-8.00128246252205,6.65261617750173e-05,0.190305830789422,1.28266635812676,"P29508;P48594;H0Y5H9;C9JZ65",1,-7.93968921873334,2.67940059533557e-05,0.0550348882281927,1.76119518280032,"Non-significant",1.2593619112076,"SERPINB3;SERPINB4","Serpin B3","P29508;P48594;H0Y5H9;C9JZ65"
-0.823846340179447,19.7356278896332,-5.14540842138615,0.00111332826766494,0.354556619032911,-0.589529107078285,"O14879",19,-5.60956137957855,0.000358236881922169,0.174492546111553,0.82384634017945,"Non-significant",0.758223120290831,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","O14879"
-1.18331098556521,18.4789979457855,-5.83246024016227,0.000518600185921756,0.354556619032911,-0.0305959588814044,"P00973;H0YI20;A0A6Q8PHR1",11,-6.3426851616711,0.000147771417685069,0.174492546111553,1.1833109855652,"Non-significant",0.758223120290831,"OAS1","2'-5'-oligoadenylate synthase 1","P00973;H0YI20;A0A6Q8PHR1"
-0.347428798675526,19.3110868930817,-5.39849978009697,0.000834134678397253,0.354556619032911,-0.374241609066906,"P01893;A0A1W2PR11;A0A140T9U0;A0A140T912;A0A1W2PRX1;A0A1W2PNZ7;A0A1W2PP77;A0A140T9M0;A0A140T930;Q5QT33;A0A1W2PRZ0;Q53YP1;A0A140T9J9;A0A140T962;A0A140T9B3;O78179;A0A140T9W2;A0A140T937;A2BF26;A0A0G2JPT2;A0A0G2JIF0;A0A1W2PS56;Q5RIP0;A0A0G2JH50",8,-5.65205213194059,0.000339654179536395,0.174492546111553,0.347428798675526,"Non-significant",0.758223120290831,"HLA-C","HLA class I histocompatibility antigen, C alpha chain","P01893;A0A1W2PR11;A0A140T9U0;A0A140T912;A0A1W2PRX1;A0A1W2PNZ7;A0A1W2PP77;A0A140T9M0;A0A140T930;Q5QT33;A0A1W2PRZ0;Q53YP1;A0A140T9J9;A0A140T962;A0A140T9B3;O78179;A0A140T9W2;A0A140T937;A2BF26;A0A0G2JPT2;A0A0G2JIF0;A0A1W2PS56;Q5RIP0;A0A0G2JH50"
-0.980109214782729,19.8426384925842,-5.22028574766494,0.0010212487935321,0.354556619032911,-0.524657822514128,"P05161;A0A096LNZ9;A0A096LPJ4",12,-5.67848250719417,0.000328625474908536,0.174492546111553,0.980109214782726,"Non-significant",0.758223120290831,"ISG15","Ubiquitin-like protein ISG15","P05161;A0A096LNZ9;A0A096LPJ4"
-0.859333038330025,18.8913674354553,-5.06759719810546,0.00121882546674639,0.354556619032911,-0.658007931763279,"P09914",25,-5.52925753986803,0.000396445252444295,0.174492546111553,0.859333038330025,"Non-significant",0.758223120290831,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","P09914"
0.117761611938477,19.3922209739685,4.69668927158545,0.00189879396755697,0.354556619032911,-0.99969000722614,"P11717",70,6.11956976960711,0.000192054868131183,0.174492546111553,-0.117761611938477,"Non-significant",0.758223120290831,"IGF2R","Cation-independent mannose-6-phosphate receptor","P11717"
-1.10048675537115,18.2724351882934,-5.16826585106959,0.00108428314108493,0.354556619032911,-0.56962000809831,"P29728;A0A087X0V5",19,-5.63244036698363,0.000348097545706388,0.174492546111553,1.10048675537115,"Non-significant",0.758223120290831,"OAS2","2'-5'-oligoadenylate synthase 2","P29728;A0A087X0V5"
-1.11277866363524,15.0686898231506,-6.36548566497388,0.000298714524046976,0.342688511788575,0.350465457391159,"Q00978;H0YMB0;H0YNP4",2,-6.44591380348238,0.000131170487103215,0.174492546111553,1.11277866363525,"Non-significant",0.758223120290831,"IRF9","Interferon regulatory factor 9","Q00978;H0YMB0;H0YNP4"
-0.384585380554224,16.6659426689148,-6.25586531762861,0.000333679174088194,0.342688511788575,0.275594070901129,"Q8IYM9;C9JWC5;H7C376;H7C262;H7C2K0",4,-5.75864627116635,0.000297489518691978,0.174492546111553,0.384585380554221,"Non-significant",0.758223120290831,"TRIM22","E3 ubiquitin-protein ligase TRIM22","Q8IYM9;C9JWC5;H7C376;H7C262;H7C2K0"
-0.871271133422873,16.0263366699219,-5.24185352699474,0.00099631009142224,0.354556619032911,-0.506157277444186,"Q96AZ6;H0YMM4",4,-5.55974352781545,0.00038144259815096,0.174492546111553,0.871271133422876,"Non-significant",0.758223120290831,"ISG20","Interferon-stimulated gene 20 kDa protein","Q96AZ6;H0YMM4"
