"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BF_vs_CFM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
0.400260369142838,19.0664651767277,5.94227446765144,0.000373163654274495,0.0306621367058394,0.624239956688013,"AGRIN_HUMAN",47,9.86800125783212,4.71825769298436e-06,0.00204772383875521,-0.400260369142831,"Non-significant",2.68872861380546,"AGRN","Agrin","AGRIN_HUMAN"
0.402297419170736,21.5589001800704,6.30326463417525,0.000252610432966755,0.0265538485130289,1.00152968512742,"FINC_HUMAN",111,10.5812193667966,2.66642250176988e-06,0.00204772383875521,-0.402297419170733,"Non-significant",2.68872861380546,"FN1","Fibronectin","FINC_HUMAN"
-0.42164983681965,18.5826203088169,-6.22231359881413,0.000275327922370115,0.0265538485130289,0.918581073062457,"BCAM_HUMAN",10,-7.89248767987565,2.8072091056432e-05,0.00487331500739659,0.421649836819647,"Non-significant",2.3121755152445,"BCAM","Basal cell adhesion molecule","BCAM_HUMAN"
0.532650564562164,21.451564051167,7.02999747031272,0.000120595583177212,0.0265538485130289,1.70529713473375,"CYTC_HUMAN",9,8.21865386259932,2.04325161976212e-05,0.00487331500739659,-0.532650564562164,"Up in BF",2.3121755152445,"CST3","Cystatin-C","CYTC_HUMAN"
-0.330990243910918,20.3167502599365,-4.99770654831118,0.00112191959377759,0.0458047935383136,-0.457361027994299,"HPT_HUMAN",24,-8.11882124618974,2.24948054504941e-05,0.00487331500739659,0.330990243910918,"Non-significant",2.3121755152445,"HP","Haptoglobin","HPT_HUMAN"
0.574804611285259,20.1812610074067,6.28625384488222,0.000257206509612641,0.0265538485130289,0.984177502188319,"APOH_HUMAN",9,7.11080978693832,6.2759714049084e-05,0.00778220454208642,-0.574804611285249,"Up in BF",2.10889735868622,"APOH","Beta-2-glycoprotein 1","APOH_HUMAN"
-1.42202271425481,15.6029555580706,-7.37700389714581,8.64376927765288e-05,0.0265538485130289,2.01676361753499,"MOGS_HUMAN",3,-7.17186552837814,5.88003043706914e-05,0.00778220454208642,1.4220227142548,"Up in CFM",2.10889735868622,"MOGS","Mannosyl-oligosaccharide glucosidase","MOGS_HUMAN"
-1.85102628922373,16.8641405697832,-6.48430075548632,0.000208944628720527,0.0265538485130289,1.18364537526744,"RL7A_HUMAN",4,-6.70217519420544,9.81265927428993e-05,0.0106467353126046,1.85102628922372,"Up in CFM",1.97278354274914,"RPL7A","Large ribosomal subunit protein eL8","RL7A_HUMAN"
-0.327013203224048,19.3329634583726,-4.81286583938406,0.00141184191700216,0.0465511815722539,-0.685689595919167,"BTD_HUMAN",12,-6.57476247264186,0.000113247961463316,0.0109221367277954,0.327013203224041,"Non-significant",1.96169239108967,"BTD","Biotinidase","BTD_HUMAN"
-0.274574666960593,19.9799415147785,-4.33802129752206,0.00260703628744073,0.06563867014612,-1.29770619782355,"A1AG1_HUMAN",11,-5.99470563897342,0.00022301560465106,0.012905169655808,0.274574666960589,"Non-significant",1.88923628169765,"ORM1","Alpha-1-acid glycoprotein 1","A1AG1_HUMAN"
-0.550531547815503,17.4656447522929,-7.88558788187812,5.42015222400116e-05,0.0265538485130289,2.44675456024676,"BASI_HUMAN",4,-6.14415759691507,0.000186528922632665,0.012905169655808,0.550531547815496,"Up in CFM",1.88923628169765,"BSG","Basigin","BASI_HUMAN"
1.23761483642152,20.1163070838083,5.65227638529714,0.000516613206009761,0.0342906547591273,0.307022972189094,"CALM1_HUMAN",8,6.02234062449854,0.000215721705000878,0.012905169655808,-1.23761483642152,"Up in BF",1.88923628169765,"CALM1;CALM2;CALM3","Calmodulin-1","CALM1_HUMAN"
0.487866215257512,19.0190991618221,5.28717737246272,0.00079043180026009,0.0400655870080433,-0.110904206715819,"CO1A2_HUMAN",11,6.23945661473897,0.000166693774961723,0.012905169655808,-0.487866215257512,"Non-significant",1.88923628169765,"COL1A2","Collagen alpha-2(I) chain","CO1A2_HUMAN"
1.44055938806914,16.5000170418679,6.71010351217114,0.000165777846402723,0.0265538485130289,1.40437604688578,"cRAP-CASB_BOVIN",1,6.24563443328297,0.000165489856849435,0.012905169655808,-1.44055938806914,"Up in BF",1.88923628169765,"cRAP-CSN2","Beta-casein","cRAP-CASB_BOVIN"
0.255578302359062,21.5511134987718,3.74349259624383,0.00588850823844554,0.0825226725278843,-2.11402125648541,"FIBB_HUMAN",37,6.06330984178337,0.000205382512263324,0.012905169655808,-0.255578302359062,"Non-significant",1.88923628169765,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-0.39928770350997,18.7301743841481,-5.24535599196728,0.000830853186802742,0.0400655870080433,-0.160125460131997,"ICAM1_HUMAN",8,-5.83276637519505,0.000271540558816647,0.0147310753158031,0.399287703509962,"Non-significant",1.8317655500566,"ICAM1","Intercellular adhesion molecule 1","ICAM1_HUMAN"
-0.760894250653593,17.5273554230251,-5.29605529768924,0.000782131733521694,0.0400655870080433,-0.100491414471623,"ASGR1_HUMAN",9,-5.75610950988569,0.000298424103003911,0.0152371836121997,0.760894250653589,"Up in CFM",1.81709529905378,"ASGR1","Asialoglycoprotein receptor 1","ASGR1_HUMAN"
-0.477805485896621,18.2906437478753,-5.90566426503662,0.000388575465166167,0.0306621367058394,0.584898394380113,"NPC2_HUMAN",5,-5.38865068901665,0.000474436994503926,0.0228784061794115,0.477805485896617,"Non-significant",1.64057423388237,"NPC2","NPC intracellular cholesterol transporter 2","NPC2_HUMAN"
-0.581449330413786,19.1042955124833,-5.01462399143081,0.00109883270653786,0.0458047935383136,-0.436740744043576,"AK1C3_HUMAN",7,-5.29051356835277,0.000538673966365611,0.0233784501402675,0.581449330413783,"Up in CFM",1.63118428350097,"AKR1C3","Aldo-keto reductase family 1 member C3","AK1C3_HUMAN"
0.278512288826889,21.4808102272095,3.84666389979635,0.00509321486829982,0.0801087033912123,-1.96858979662394,"COMP_HUMAN",15,5.3065156158986,0.000527586438283409,0.0233784501402675,-0.278512288826885,"Non-significant",1.63118428350097,"COMP","Cartilage oligomeric matrix protein","COMP_HUMAN"
-0.883462525450444,16.7225164318519,-6.37878398459789,0.00023327427428366,0.0265538485130289,1.07806460053657,"PTMS_HUMAN",1,-5.1673646495376,0.000632942251595781,0.0261616130659589,0.88346252545044,"Up in CFM",1.58233548190559,"PTMS","Parathymosin","PTMS_HUMAN"
-0.385580944731533,21.9668510302571,-4.65149739240343,0.00173257022714823,0.0485119663601504,-0.88957136617049,"APOM_HUMAN",8,-5.13175701310513,0.000663421698745857,0.0261750015687002,0.385580944731533,"Non-significant",1.58211328362131,"APOM","Apolipoprotein M","APOM_HUMAN"
1.02990406436689,15.4533763631867,5.72238603585257,0.00047706852981499,0.0342906547591273,0.384892206714424,"SEPT7_HUMAN",1,5.08646333627044,0.000704506823942969,0.0265874749209781,-1.02990406436689,"Up in BF",1.5753229067436,"SEPTIN7","Septin-7","SEPT7_HUMAN"
-0.444263082924955,18.7360162113377,-4.27858409440404,0.0028216691523401,0.0679307573001566,-1.3768705707721,"EST1_HUMAN",14,-5.04272085506469,0.000746806840766438,0.0270095140743862,0.444263082924952,"Non-significant",1.56848322909322,"CES1","Liver carboxylesterase 1","EST1_HUMAN"
0.31513502040335,24.6016208114561,3.83823303870106,0.00515366716013215,0.0801087033912123,-1.98041740779148,"CO3_HUMAN",142,4.9851123405596,0.000806753701004862,0.0280104884988888,-0.31513502040335,"Non-significant",1.55267931707712,"C3","Complement C3","CO3_HUMAN"
0.300541749179988,17.2125431188476,3.62325923597876,0.00698661303426883,0.0932981555960822,-2.28535313310563,"LAMA5_HUMAN",41,4.91402882684836,0.000887981398861654,0.0296449174696891,-0.300541749179995,"Non-significant",1.52804975437648,"LAMA5","Laminin subunit alpha-5","LAMA5_HUMAN"
0.419679924037677,21.471500065894,4.32664102547938,0.00264672057040806,0.06563867014612,-1.31282010129015,"PLMN_HUMAN",9,4.856494732417,0.000960191773417891,0.0308683873824715,-0.419679924037677,"Non-significant",1.51048605821429,"PLG","Plasminogen","PLMN_HUMAN"
-0.301984484787862,18.5961321825396,-3.62607622594329,0.00695851791362014,0.0932981555960822,-2.28131691580152,"PDIA1_HUMAN",19,-4.73578853908435,0.00113311091242307,0.0351264382851151,0.301984484787866,"Non-significant",1.45436588412599,"P4HB","Protein disulfide-isomerase","PDIA1_HUMAN"
-0.216586520758451,20.4172857901867,-3.07898727234736,0.0155177875489542,0.132053329338159,-3.08227771364547,"TPIS_HUMAN",23,-4.63549897255878,0.0013023398926715,0.0389803802358227,0.216586520758462,"Non-significant",1.40915392885323,"TPI1","Triosephosphate isomerase","TPIS_HUMAN"
1.24485285128579,15.8615512129406,4.68175155554218,0.00166685101376547,0.0482275559982809,-0.851023670219027,"AACT_HUMAN",2,4.60519614733736,0.00135867472265055,0.0393109886420227,-1.24485285128578,"Up in BF",1.4054860338605,"SERPINA3","Alpha-1-antichymotrypsin","AACT_HUMAN"
-0.957225199348748,15.4620881616428,-4.81141255985935,0.00141442329659387,0.0465511815722539,-0.687506823473253,"DKK1_HUMAN",2,-4.49500266428695,0.0015866601682145,0.044426484710006,0.957225199348748,"Up in CFM",1.35235804938449,"DKK1","Dickkopf-related protein 1","DKK1_HUMAN"
0.583758240413545,18.526115799708,4.74082518860427,0.00154622474083336,0.0465560638029035,-0.776185723873909,"CO2A1_HUMAN",4,4.45201072390117,0.00168646079219577,0.0457452489883104,-0.583758240413545,"Up in BF",1.33965400422712,"COL2A1","Collagen alpha-1(II) chain","CO2A1_HUMAN"
0.164426224948787,22.2142559437462,2.50588832558902,0.0371787803306739,0.205471690709842,-3.94293690643925,"CO4A_HUMAN",62,4.31018356232698,0.00206633239557998,0.0464223309548306,-0.164426224948784,"Non-significant",1.33327305656849,"C4A","Complement C4-A","CO4A_HUMAN"
0.828561516797595,17.0086915940348,4.08748396069747,0.00365187482994807,0.0754720798189267,-1.63516161150152,"COIA1_HUMAN",7,4.32472999009719,0.00202345349474373,0.0464223309548306,-0.828561516797595,"Up in BF",1.33327305656849,"COL18A1","Collagen alpha-1(XVIII) chain","COIA1_HUMAN"
-0.715790188917651,15.7895412140326,-5.5926810375257,0.000553075076760117,0.0342906547591273,0.24023326817762,"FUBP2_HUMAN",1,-4.37770205919639,0.00187517568819935,0.0464223309548306,0.715790188917655,"Up in CFM",1.33327305656849,"KHSRP","Far upstream element-binding protein 2","FUBP2_HUMAN"
-0.317973667614751,17.600897485066,-3.53329832974686,0.00795061248308923,0.0958490504905757,-2.41478550374688,"G6PI_HUMAN",13,-4.30368684034195,0.0020857959760811,0.0464223309548306,0.317973667614748,"Non-significant",1.33327305656849,"GPI","Glucose-6-phosphate isomerase","G6PI_HUMAN"
