"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_CTRL","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc"
0.294525434553019,19.52,9.21798831213275,1.75773298739556e-05,0.0203222307369183,3.42768020685793,"ACSM5_HUMAN",21,11.6944310977018,6.52688528363644e-07,0.00195773616538712,-0.29,"Non-significant",2.708,"ACSM5","Acyl-coenzyme A synthetase ACSM5, mitochondrial"
0.278251845035477,22.2,8.54798104846093,3.02864777142761e-05,0.0203222307369183,2.95534665787398,"MMSA_HUMAN",32,11.5056034301695,7.53700159918044e-07,0.00195773616538712,-0.28,"Non-significant",2.708,"ALDH6A1","Methylmalote-semialdehyde dehydrogese [acylating], mitochondrial"
0.293829220378093,20.38,7.605301199719,6.93338563440536e-05,0.0240126255804905,2.21168306652632,"ACSS3_HUMAN",38,9.65245054338799,3.49021984428421e-06,0.00302194868184275,-0.29,"Non-significant",2.52,"ACSS3","Acyl-CoA synthetase short-chain family member 3, mitochondrial"
0.576741570231381,18.01,9.03165537872717,2.03788864951348e-05,0.0203222307369183,3.30066183550296,"FMO5_HUMAN",10,9.66818289768295,3.4415980997587e-06,0.00302194868184275,-0.58,"Up in CTRL.myr",2.52,"FMO5","Flavin-containing monooxygese 5"
0.512944655274197,22.2,8.50897393516461,3.12950617700378e-05,0.0203222307369183,2.92647806169256,"GATM_HUMAN",24,9.71982145617095,3.2871551273655e-06,0.00302194868184275,-0.51,"Up in CTRL.myr",2.52,"GATM","Glycine amidinotransferase, mitochondrial"
-0.590666636287825,16.63,-9.35304563903345,1.5815564030396e-05,0.0203222307369183,3.5177434648061,"TE_HUMAN",9,-9.87000073303241,2.87957834431346e-06,0.00302194868184275,0.59,"Up in CTRL",2.52,"TNC","Tescin"
0.307340986621806,21.75,7.77963693221035,5.91319521922347e-05,0.0236300378183584,2.35673157128941,"METK1_HUMAN",23,9.42721690767286,4.27559609042276e-06,0.00317310309853518,-0.31,"Non-significant",2.499,"MAT1A","S-adenosylmethionine synthase isoform type-1"
0.47058930251303,23.49,8.08395575479856,4.50885474875172e-05,0.0212612373355994,2.60155130389308,"ST2A1_HUMAN",22,9.22878049323386,5.12989372051918e-06,0.00333122473476214,-0.47,"Non-significant",2.477,"SULT2A1","Sulfotransferase 2A1"
0.359045494537096,19.7,7.62214248112822,6.82674327532441e-05,0.0240126255804905,2.22585137024187,"ACSL5_HUMAN",26,9.0131948978786,6.27556850890715e-06,0.00362239760041918,-0.36,"Non-significant",2.441,"ACSL5","Long-chain-fatty-acid--CoA ligase 5"
0.250506625648683,22.99,6.93754907122434,0.000131125797537261,0.0243699365780526,1.62177672176584,"AATM_HUMAN",31,8.89419535787725,7.02599859861285e-06,0.00365000627197938,-0.25,"Non-significant",2.438,"GOT2","Aspartate aminotransferase, mitochondrial"
-0.536249398146371,15.82,-8.57838582915955,2.95254432232876e-05,0.0203222307369183,2.9777406578264,"FAT1_HUMAN",7,-8.67706131104715,8.66158325378598e-06,0.00377268039298463,0.54,"Up in CTRL",2.423,"FAT1","Protocadherin Fat 1"
0.243012450159153,20.75,6.67951799583757,0.000169843644457862,0.0243699365780526,1.37840106422928,"SARDH_HUMAN",38,8.67079858186156,8.71456491161031e-06,0.00377268039298463,-0.24,"Non-significant",2.423,"SARDH","Sarcosine dehydrogese, mitochondrial"
0.297761058132426,21.82,6.90962924978287,0.000134801370979762,0.0243699365780526,1.59587202004081,"ACOT1_HUMAN",36,8.46766934486518,1.06410290366327e-05,0.00393966964168286,-0.3,"Non-significant",2.405,"ACOT1","Acyl-coenzyme A thioesterase 1"
0.248120909473478,24.68,6.55035162272861,0.000193865539407295,0.0243699365780526,1.25316999542327,"CPSM_HUMAN",111,8.33622151905712,1.21337274816026e-05,0.00393966964168286,-0.25,"Non-significant",2.405,"CPS1","Carbamoyl-phosphate synthase [ammonia], mitochondrial"
-0.807032026137072,15.08,-12.1712830993164,2.25782379805423e-06,0.0117293946308917,5.07025061321899,"H3BS21_HUMAN",2,-8.5248991976902,1.00549594112226e-05,0.00393966964168286,0.81,"Up in CTRL",2.405,"HP","Haptoglobin (Fragment)"
0.355604923512267,19.02,8.27484300907814,3.81958730724567e-05,0.0212612373355994,2.74987076422523,"KBL_HUMAN",9,8.39833415848253,1.14016488599064e-05,0.00393966964168286,-0.36,"Non-significant",2.405,"GCAT","2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"
0.303692050001072,22.71,6.77665059894147,0.000153950307295,0.0243699365780526,1.47106803936619,"ACS2B_HUMAN",32,8.18332877840919,1.41644371044674e-05,0.00408801393098378,-0.3,"Non-significant",2.388,"ACSM2B","Acyl-coenzyme A synthetase ACSM2B, mitochondrial"
