"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL_vs_HBV","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc"
-5.6936289469401,17.12,-17.7606564337828,1.57287578030674e-07,0.000149580486707171,7.74555054252475,"HBSAG_HBVD3",2,-17.4635598315433,1.35752840837629e-07,0.000129100951636585,5.69,"Up in HBV",3.889,"S","Large envelope protein"
-4.19083221954446,16.12,-14.2106427607182,8.37558128163899e-07,0.000398258889941934,6.39939445178693,"XPP3_HUMAN",1,-13.7798566058724,8.35850240664112e-07,0.000397446789435785,4.19,"Up in HBV",3.401,"XPNPEP3","Xaa-Pro aminopeptidase 3"
-0.999216638490115,23.55,-7.27163866390782,0.000104032288047002,0.00516815106311995,1.8198357180586,"CO3_HUMAN",96,-12.2812548433288,2.00107432040502e-06,0.000634340559568392,1,"Up in HBV",3.198,"C3","Complement C3"
-1.36309969896765,30.04,-8.50203232471176,3.51767592494181e-05,0.00314485046905585,2.91295035687429,"ALBU_HUMAN",84,-11.6474054466979,2.98198098298472e-06,0.000708965978704617,1.36,"Up in HBV",3.149,"ALB","Albumin"
-1.01752825610851,20.82,-7.46914333587371,8.65963648759161e-05,0.00457517461094423,2.00646539455077,"CERU_HUMAN",38,-10.2916654057059,7.50591622388664e-06,0.00121313736004031,1.02,"Up in HBV",2.916,"CP","Ceruloplasmin"
-0.930815243147954,20.74,-6.75263740150537,0.000171688700262347,0.00567795593402227,1.30720440755635,"CO4A_HUMAN",60,-10.191686595682,8.06835380719271e-06,0.00121313736004031,0.93,"Up in HBV",2.916,"C4A","Complement C4-A"
-1.50806017635853,20.2,-9.00245002521897,2.34739473806244e-05,0.00314485046905585,3.31368421449225,"KNG1_HUMAN",18,-10.0528002688658,8.92950738200018e-06,0.00121313736004031,1.51,"Up in HBV",2.916,"KNG1","Kininogen-1"
-1.63279961112889,19.98,-8.54561550378013,3.3932660581313e-05,0.00314485046905585,2.94879485911759,"APOE_HUMAN",21,-9.42504808173077,1.43456183905746e-05,0.00138344227181781,1.63,"Up in HBV",2.859,"APOE","Apolipoprotein E"
-1.23416097425864,20.72,-8.51577254234864,3.4779120260101e-05,0.00314485046905585,2.92427075586127,"APOH_HUMAN",14,-9.52388951089464,1.32902403813183e-05,0.00138344227181781,1.23,"Up in HBV",2.859,"APOH","Beta-2-glycoprotein 1"
-1.84799973710354,16.41,-9.05305925683216,2.25569447593688e-05,0.00314485046905585,3.35292466659429,"KAIN_HUMAN",7,-9.24856978378752,1.64709337895464e-05,0.00138344227181781,1.85,"Up in HBV",2.859,"SERPINA4","Kallistatin"
1.27691292499104,15.34,9.16894543540465,2.06043850006902e-05,0.00314485046905585,3.44191744263695,"NDRG1_HUMAN",4,9.17516338765982,1.74566848178904e-05,0.00138344227181781,-1.28,"Up in CTRL",2.859,"NDRG1","Protein NDRG1"
1.59636218207397,19.22,8.62741586453925,3.17281958746238e-05,0.00314485046905585,3.01557550070721,"SPYA_HUMAN",17,9.4069769855364,1.45485215923957e-05,0.00138344227181781,-1.6,"Up in CTRL",2.859,"AGXT","Serine--pyruvate aminotransferase"
-0.986229284066408,20.87,-6.34291712631987,0.000260304649413236,0.00641143875098332,0.878508017749817,"FINC_HUMAN",73,-8.75907887056452,2.44541924264046e-05,0.00178891823057775,0.99,"Up in HBV",2.747,"FN1","Fibronectin"
-1.50392364032767,16.48,-8.46162913856867,3.63757677808773e-05,0.00314485046905585,2.87955598941607,"APOA2_HUMAN",4,-8.50554062734723,3.02292898947055e-05,0.00205343247784749,1.5,"Up in HBV",2.688,"APOA2","Apolipoprotein A-II"
-0.973251271677583,22.18,-6.73806787232399,0.000174192226112155,0.00567795593402227,1.29233252527345,"ANGT_HUMAN",16,-7.68551912701153,6.22920423613226e-05,0.00283638802925333,0.97,"Up in HBV",2.547,"AGT","Angiotensinogen"
-1.08381057600046,22.24,-6.61503487423546,0.000197026862063864,0.00567795593402227,1.1656649808821,"APOA1_HUMAN",25,-7.70959717264545,6.09309660515534e-05,0.00283638802925333,1.08,"Up in HBV",2.547,"APOA1","Apolipoprotein A-I"
-1.34204602281518,19.49,-8.55617243697316,3.36387598516693e-05,0.00314485046905585,2.95744959791722,"APOC1_HUMAN",2,-7.74242524390517,5.91282469427072e-05,0.00283638802925333,1.34,"Up in HBV",2.547,"APOC1","Apolipoprotein C-I"
-0.832913303088578,20.15,-5.90342862550776,0.000415782707194437,0.00709542858524136,0.393594311031285,"C1R_HUMAN",33,-7.69517420937833,6.17422439765282e-05,0.00283638802925333,0.83,"Up in HBV",2.547,"C1R","Complement C1r subcomponent"
1.62211460736665,16.1,7.83805398401448,6.20907102978896e-05,0.00453410844127799,2.3432457297035,"ILEU_HUMAN",5,7.88220957914963,5.20886931461676e-05,0.00283638802925333,-1.62,"Up in CTRL",2.547,"SERPINB1","Leukocyte elastase inhibitor"
-0.880641725455561,21.13,-6.18803547082064,0.000306195403224943,0.00651390879503292,0.710652049624139,"ITIH4_HUMAN",26,-7.67957597840794,6.26331741475498e-05,0.00283638802925333,0.88,"Up in HBV",2.547,"ITIH4","Inter-alpha-trypsin inhibitor heavy chain H4"
-1.11679804227138,22.09,-7.15340589335879,0.000116323220348251,0.00526778012148508,1.70592804261369,"TTHY_HUMAN",14,-7.88121410472411,5.21354049642632e-05,0.00283638802925333,1.12,"Up in HBV",2.547,"TTR","Transthyretin"
-0.828917424617774,19.6,-6.17150561159629,0.000311600406888646,0.00651390879503292,0.692544655452645,"FIBG_HUMAN",21,-7.56756652458043,6.94670774154724e-05,0.00285309955868506,0.83,"Up in HBV",2.545,"FGG","Fibrinogen gamma chain"
-0.78265683639049,23.99,-5.50851039344978,0.000646553466832124,0.00842290886242945,-0.0654419155517969,"HPT_HUMAN",42,-7.48546805829459,7.5002617210438e-05,0.00285309955868506,0.78,"Up in HBV",2.545,"HP","Haptoglobin"
1.68650733764076,17.21,7.46988009341823,8.65377437971804e-05,0.00457517461094423,2.00715317064002,"OTC_HUMAN",7,7.61864867305378,6.62527279051151e-05,0.00285309955868506,-1.69,"Up in CTRL",2.545,"OTC","Ornithine carbamoyltransferase, mitochondrial"
-1.14234467960677,20.89,-6.57399053100447,0.000205369082214568,0.00574429403488395,1.12297437411139,"PLMN_HUMAN",25,-7.52720324696962,7.21296834168228e-05,0.00285309955868506,1.14,"Up in HBV",2.545,"PLG","Plasminogen"
1.23102777501532,17.65,6.68619273082787,0.000183440899801531,0.00567795593402227,1.23916143630212,"ACOC_HUMAN",18,7.33098479692593,8.67981024085602e-05,0.0029203657651346,-1.23,"Up in CTRL",2.535,"ACO1","Cytoplasmic aconitate hydratase"
-1.35362180736422,17.16,-6.91713660733249,0.000146032688028369,0.00567795593402227,1.4732627773465,"HRG_HUMAN",12,-7.3041009375619,8.90542662343884e-05,0.0029203657651346,1.35,"Up in HBV",2.535,"HRG","Histidine-rich glycoprotein"
1.39755045607803,15.55,8.01916577292534,5.2975949869927e-05,0.00419834402719171,2.5031597984716,"IMB1_HUMAN",2,7.3993143124265,8.13441211110351e-05,0.0029203657651346,-1.4,"Up in CTRL",2.535,"KPNB1","Importin subunit beta-1"
-0.866259501408525,23.44,-5.92437394641212,0.000406386916146844,0.00709542858524136,0.417314512654658,"VTDB_HUMAN",28,-7.3463463861045,8.55374600998606e-05,0.0029203657651346,0.87,"Up in HBV",2.535,"GC","Vitamin D-binding protein"
-0.969291773600705,22.49,-6.44784283321197,0.000233563702243183,0.00618005055739736,0.990390086217435,"AMBP_HUMAN",15,-7.21867798414016,9.66666956921765e-05,0.00297869722320936,0.97,"Up in HBV",2.526,"AMBP","Protein AMBP"
-0.874108103370386,21.7,-6.13319045370089,0.000324539740691161,0.00651390879503292,0.650428568472956,"CLUS_HUMAN",19,-7.21227968645412,9.72653184960725e-05,0.00297869722320936,0.87,"Up in HBV",2.526,"CLU","Clusterin"
1.55210547726008,14.81,7.7566359916446,6.67481789462585e-05,0.00453410844127799,2.27021035473638,"PGRC1_HUMAN;PGRC2_HUMAN",1,7.18122793385428,0.000100229559561198,0.00297869722320936,-1.55,"Up in CTRL",2.526,"PGRMC1;PGRMC2","Membrane-associated progesterone receptor component 1"
-1.36212547434397,16.3,-7.65154237693018,7.33462595361741e-05,0.00457517461094423,2.17486547859813,"CO4B_HUMAN",2,-7.0851384025099,0.000110056430914129,0.00302459064505503,1.36,"Up in HBV",2.519,"C4B","Complement C4-B"
1.56635877715689,15.86,7.52620501907841,8.2184386800781e-05,0.00457517461094423,2.05955068598528,"ENOB_HUMAN",2,7.12728045657317,0.000105620833714909,0.00302459064505503,-1.57,"Up in CTRL",2.519,"ENO3","Beta-enolase"
