"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_HBV.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc"
1.5397460503775,14.47,9.33931938965378,1.01656505465141e-05,0.00966753366973493,3.93872162987082,"GRPE1_HUMAN",2,9.22048034778789,1.12071392054817e-05,0.0106579893844131,-1.54,"Up in CTRL.myr",1.972,"GRPEL1","GrpE protein homolog 1, mitochondrial"
1.54080205833068,16,8.43273066368063,2.22353394587884e-05,0.0101824828447625,3.24325640630514,"CREG1_HUMAN",1,8.08452103570243,3.0553372457723e-05,0.0118423828333639,-1.54,"Up in CTRL.myr",1.927,"CREG1","Protein CREG1"
1.05013354936819,16.41,8.03220668259047,3.21213969866325e-05,0.0101824828447625,2.90848165181745,"PPGB_HUMAN",2,7.87102735053491,3.73576745531984e-05,0.0118423828333639,-1.05,"Up in CTRL.myr",1.927,"CTSA","Lysosomal protective protein"
0.728954137339244,16.92,5.90134623694446,0.000299488637194665,0.0237344744976772,0.790382457852145,"ANXA5_HUMAN",6,6.1591466891549,0.000222133566997686,0.0176040851845666,-0.73,"Up in CTRL.myr",1.754,"ANXA5","Annexin A5"
1.06905954474058,15.52,6.52371348766792,0.000147950919366794,0.0175876655397276,1.47310472658757,"APT_HUMAN",1,6.19357425288701,0.00021360276296151,0.0176040851845666,-1.07,"Up in CTRL.myr",1.754,"APRT","Adenine phosphoribosyltransferase"
0.734100592788245,19.3,5.95723559564378,0.000280551687739936,0.0237344744976772,0.854047687053733,"CATB_HUMAN",10,6.20619951646337,0.000210564926746186,0.0176040851845666,-0.73,"Up in CTRL.myr",1.754,"CTSB","Cathepsin B"
1.52281209016405,14.93,6.94133496391089,9.46019467219703e-05,0.0175876655397276,1.9001407156922,"CATS_HUMAN",2,6.89133578243156,9.96040661609764e-05,0.0176040851845666,-1.52,"Up in CTRL.myr",1.754,"CTSS","Cathepsin S"
0.905600133963873,16.67,6.52507525549046,0.000147730478799377,0.0175876655397276,1.47453671371803,"DPP4_HUMAN",7,6.73522944745333,0.000117559175592902,0.0176040851845666,-0.91,"Up in CTRL.myr",1.754,"DPP4","Dipeptidyl peptidase 4"
0.890434418201302,16.71,6.34242358135085,0.000180794967536853,0.0191040015697274,1.28009810785522,"HSPB1_HUMAN",6,6.55389881270713,0.000143018121729788,0.0176040851845666,-0.89,"Up in CTRL.myr",1.754,"HSPB1","Heat shock protein beta-1"
1.17234642502195,14.74,6.6574465628806,0.000127930936677919,0.0175876655397276,1.61248420768361,"PMM2_HUMAN",1,6.36281404907245,0.000176574539908703,0.0176040851845666,-1.17,"Up in CTRL.myr",1.754,"PMM2","Phosphomannomutase 2"
0.952893674561526,18.72,6.19366329776757,0.000213760991453159,0.0203286702871955,1.11816362385666,"RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN",4,6.33471543742165,0.000182200462311065,0.0176040851845666,-0.95,"Up in CTRL.myr",1.754,"RPS27A;UBA52;UBB;UBC","Polyubiquitin-B"
1.38457577482986,17.7,6.55585592187621,0.000142842797760411,0.0175876655397276,1.50683444228684,"S10AA_HUMAN",2,6.50489361416299,0.000150898860336601,0.0176040851845666,-1.38,"Up in CTRL.myr",1.754,"S100A10","Protein S100-A10"
0.734720322661527,19.64,5.81998246421216,0.000329604477356645,0.0241118352281669,0.696846549766835,"SAP_HUMAN",7,6.04873485970811,0.000252112519020416,0.0184430004298781,-0.73,"Up in CTRL.myr",1.734,"PSAP","Prosaposin"
0.954712101950697,20.44,5.39350374724207,0.000552564006448475,0.0309110805960294,0.189759352701953,"K22E_HUMAN",36,5.75812322484306,0.000354448961853271,0.0234994095404982,-0.95,"Up in CTRL.myr",1.629,"KRT2","Keratin, type II cytoskeletal 2 epidermal"
0.858148215777696,19.29,5.57584556966821,0.000441710392983629,0.0300047559805308,0.410051106057271,"SAA1_HUMAN",7,5.72067770045098,0.000370653147326469,0.0234994095404982,-0.86,"Up in CTRL.myr",1.629,"SAA1","Serum amyloid A-1 protein"
