"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBV_vs_CTRL.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc"
6.23218250274658,16.45,19.3840064981883,6.79010096116198e-08,6.3215839948418e-05,8.78990656164824,"HBSAG_HBVD3",2,18.9484023783162,6.22554041187564e-08,5.79597812345622e-05,-6.23,"Up in HBV",4.237,"S","Large envelope protein"
-3.82793474197389,14.89,-12.9167814882643,1.48834744581003e-06,0.00046188382401638,6.0088484162974,"A0A6Q8PFV8_HUMAN",1,-12.2897658275777,1.78707008199824e-06,0.000554587415446788,3.83,"Up in CTRL.myr",3.256,"GNB4","Guanine nucleotide-binding protein subunit beta-4"
-2.69552397727967,15.33,-14.0760662152552,7.7891511670954e-07,0.000362584986828291,6.62553410440142,"YKT6_HUMAN",1,-12.4355301210755,1.63309543860714e-06,0.000554587415446788,2.7,"Up in CTRL.myr",3.256,"YKT6","Synaptobrevin homolog YKT6"
-4.3171238899231,16.31,-11.8277146359142,2.87664940653132e-06,0.000596647770633359,5.36685894450418,"AFG32_HUMAN",1,-11.4799858954166,3.00264893633729e-06,0.000698866539932505,4.32,"Up in CTRL.myr",3.156,"AFG3L2","AFG3-like protein 2"
-2.10253524780276,19.34,-11.6575993387009,3.20433818814908e-06,0.000596647770633359,5.26050348699357,"CNN2_HUMAN",1,-10.1471678786939,7.61024593155177e-06,0.00141702779245494,2.1,"Up in CTRL.myr",2.849,"CNN2","Calponin-2"
-1.52614307403567,19.35,-9.02945092632097,2.0861061950205e-05,0.00242770608445511,3.36743570410126,"ATPA_HUMAN",11,-9.70224907804557,1.06322438447711e-05,0.00164976983658032,1.53,"Up in CTRL.myr",2.783,"ATP5F1A","ATP synthase subunit alpha, mitochondrial"
0.929273128509539,21.45,6.9007722950845,0.000138173048091332,0.00918850769807359,1.39395343185273,"APOB_HUMAN",111,9.37625123861794,1.369992524752e-05,0.00182209005792016,-0.93,"Up in HBV",2.739,"APOB","Apolipoprotein B-100"
-2.74295663833618,18.61,-9.61330986589124,1.32516375605831e-05,0.00176246779555755,3.83301475240508,"IFNE_HUMAN",1,-9.10564363470907,1.70062520932546e-05,0.0019791025873525,2.74,"Up in CTRL.myr",2.704,"IFNE","Interferon epsilon"
-0.964872360229478,16.81,-7.85887173432104,5.60902595650582e-05,0.0043516693045891,2.34070268196694,"ANXA5_HUMAN",6,-8.48866992361536,2.84284087769502e-05,0.00294076095237118,0.96,"Up in CTRL.myr",2.532,"ANXA5","Annexin A5"
-1.82656574249265,18.88,-8.84725720590675,2.41570019534571e-05,0.00249890764651873,3.21612745278183,"LRCC1_HUMAN",1,-7.94858618449294,4.57413719603196e-05,0.00387138339045978,1.83,"Up in CTRL.myr",2.412,"LRRCC1","Leucine-rich repeat and coiled-coil domain-containing protein 1"
